season,controller,cost_saving,cost_saving_pct,grid_saving_kwh,grid_saving_pct,peak_grid_reduction_kw,peak_grid_reduction_pct,fallback_count,soc_min,soc_final,zone_temp_max_c
autumn,default_mpc,15218.078607237432,5.075825085916537,123731.17892854102,1.7539951937313738,-555.3617979733663,-5.38069782191644,0,0.0,0.116608146670911,33.23673086873887
autumn,measured_data_mpc,11857.19180582976,3.9548377406811284,79752.53851659596,1.130560384676964,-556.362492747945,-5.390393188457005,0,0.0,0.3608910665275398,33.25750856363393
spring,default_mpc,18233.457031828584,6.1392581380116775,187237.78402311075,2.654345353598984,-547.9989679994924,-5.296637596577397,0,0.0,0.0786637051395675,33.16970902647292
spring,measured_data_mpc,14161.427274035115,4.768193847508772,131498.9517357545,1.8641730533397818,-540.6471689659375,-5.225579405891818,0,0.0,0.1361096413691202,33.237302313682726
summer,default_mpc,20664.39937578939,6.570208183881629,163647.6108785309,2.3023306123933946,-454.30187301405203,-4.392033932923136,0,0.0,0.0760971455538187,33.40265086451208
summer,measured_data_mpc,15045.15060915047,4.783578262419058,123080.80822632276,1.7316031138879255,-436.1201971979317,-4.216259757456907,0,0.0,0.1448829416436797,33.43961810379672
winter,default_mpc,44879.94473609442,16.012683634874527,916364.7873286456,14.364098649761875,-574.0071475136974,-5.567584821604929,0,0.0721768141424308,1.0,29.859543770155145
winter,measured_data_mpc,40706.74161262202,14.523729453821566,793070.6606436772,12.431452368359128,-569.1300297536891,-5.520279196698657,0,0.1098596495818812,1.0,29.66037832547104
