scenario_id,location_id,pv_capacity_mwp,tes_capacity_mwh_th,critical_peak_uplift,critical_peak_window_set,controller,run_dir,status,facility_energy_kwh,grid_import_kwh,pv_generation_kwh,pv_spill_kwh,pv_used_kwh,pv_self_consumption_ratio,pv_facility_load_coverage_ratio,peak_grid_kw,total_cost,energy_cost,critical_peak_duration_h,critical_peak_grid_kwh,critical_peak_avg_grid_kw,critical_peak_pv_used_kwh,critical_peak_tes_discharge_kwh_th,critical_peak_tes_charge_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_discharge_cp_ratio,tes_effective_capacity_kwh_th,tes_cp_capacity_utilization,soc_initial,soc_final,soc_delta,soc_min_observed,soc_max_observed,grid_balance_max_abs_error_kw,signed_valve_max_abs_delta,signed_valve_violation_max,peak_reduction_kw,peak_reduction_ratio,critical_peak_cost_impact,critical_peak_suppression_ratio,critical_peak_grid_reduction_kwh,marginal_cp_suppression_per_mwh,marginal_peak_reduction_per_mwp,diminishing_return_after_this_capacity,is_pareto_frontier,pareto_rank,is_recommended
phase3_nanjing_pv10mwp_tes0mwh_cp00,nanjing,10.0,0.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes0mwh_cp00,completed,1686187.9901001842,1422911.090100184,263276.9,0.0,263276.9,1.0,0.15613733554368248,10223.316749332938,130844.42969029924,130844.42969029924,28.0,262908.1176246728,9389.575629452602,18613.699999999997,0.0,0.0,0.0,0.0,,0.0,,0.5,0.5,0.0,0.5,0.5,7.389644451905042e-13,0.0,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv10mwp_tes0mwh_cp20,nanjing,10.0,0.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes0mwh_cp20,completed,1686187.9901001842,1422911.090100184,263276.9,0.0,263276.9,1.0,0.15613733554368248,10223.316749332938,139075.1607693726,139075.1607693726,28.0,262908.1176246728,9389.575629452602,18613.699999999997,0.0,0.0,0.0,0.0,,0.0,,0.5,0.5,0.0,0.5,0.5,7.389644451905042e-13,0.0,0.0,0.0,0.0,8230.73107907336,0.0,0.0,,0.0,False,True,1.0,False
phase3_nanjing_pv10mwp_tes9mwh_cp00,nanjing,10.0,9.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes9mwh_cp00,completed,1686839.9017717417,1423563.0017717415,263276.9,0.0,263276.9,1.0,0.1560769932721368,10223.316749332938,130819.33734667137,130819.33734667137,28.0,262853.30307715933,9387.617967041404,18613.699999999997,281.25,7.464352929918322,15293.828552775587,11446.046019881302,0.024571804054560026,6300.0,0.044642857142857144,0.5,0.5120002868449297,0.012000286844929708,0.4964951821214826,0.8496027133282824,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv10mwp_tes9mwh_cp20,nanjing,10.0,9.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes9mwh_cp20,completed,1687037.645904346,1423760.7459043458,263276.9,0.0,263276.9,1.0,0.15605869889101912,10223.316749332938,138887.1762918363,138887.1762918363,28.0,258234.4279596267,9222.658141415239,18613.699999999997,23375.625587663362,7.464352929918322,29114.08247620361,23746.03105246411,0.9844013736871489,6300.0,3.7104167599465656,0.5,0.5179362048219662,0.01793620482196623,0.15,0.8495961926593812,7.389644451905042e-13,0.25,0.0,0.0,0.0,8067.838945164942,0.019790724826689088,4673.689665046142,0.0021989694251876766,0.0,False,True,1.0,False
phase3_nanjing_pv10mwp_tes18mwh_cp00,nanjing,10.0,18.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes18mwh_cp00,completed,1687482.7436655546,1424205.8436655542,263276.9,0.0,263276.9,1.0,0.15601753617231617,10223.316749332938,130884.25215623132,130884.25215623132,28.0,262854.73852964584,9387.669233201637,18613.699999999997,281.25,14.928705859836644,29996.625121271747,22369.140943602426,0.012573124766350828,12600.0,0.022321428571428572,0.5,0.5120002868449297,0.012000286844929708,0.49874474960660886,0.8495927549688594,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv10mwp_tes18mwh_cp20,nanjing,10.0,18.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes18mwh_cp20,completed,1687810.577572945,1424533.6775729451,263276.9,0.0,263276.9,1.0,0.1559872319194667,10223.316749332938,138357.46285381005,138357.46285381005,28.0,253552.78987630963,9055.456781296773,18613.699999999997,46790.993266681195,14.928705859836644,57139.22835115272,46828.62835845734,0.99919632299524,12600.0,3.7135708941810472,0.5,0.5074312723546001,0.00743127235460006,0.15,0.8495908011367594,7.389644451905042e-13,0.25,0.0,0.0,0.0,7473.210697578732,0.09203561314506137,9355.327748363197,0.008027209813152476,0.0,False,True,1.0,False
phase3_nanjing_pv10mwp_tes36mwh_cp00,nanjing,10.0,36.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes36mwh_cp00,completed,1688505.426232011,1425228.5262320112,263276.9,0.0,263276.9,1.0,0.15592304052437445,10223.316749332938,130970.10151718458,130970.10151718458,28.0,262857.6094346189,9387.771765522104,18613.699999999997,281.25,29.857411719673287,43202.99546271938,29954.1611319415,0.009389346567281772,25200.0,0.011160714285714286,0.5,0.5120002868449297,0.012000286844929708,0.49899861435228876,0.8495827320257108,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv10mwp_tes36mwh_cp20,nanjing,10.0,36.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes36mwh_cp20,completed,1688920.38351653,1425643.4835165297,263276.9,0.0,263276.9,1.0,0.15588473119841603,10223.316749332938,137802.8346025059,137802.8346025059,28.0,249804.5465214364,8921.590947194158,18613.699999999997,65641.21600822022,128.2949117196733,82475.3104135471,65641.21600822022,1.0,25200.0,2.604810159056358,0.5,0.5003676846979934,0.0003676846979934201,0.3483199173721265,0.8495827320257108,7.389644451905042e-13,0.25,0.0,0.0,0.0,6832.733085321321,0.1698510108423359,13103.571103236434,0.0043230776498485845,0.0,False,True,1.0,False
phase3_nanjing_pv10mwp_tes72mwh_cp00,nanjing,10.0,72.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes72mwh_cp00,completed,1690421.1196379785,1427144.2196379784,263276.9,0.0,263276.9,1.0,0.15574633855520187,10223.316749332938,131151.52577093075,131151.52577093075,28.0,262882.28153302654,9388.652911893805,18613.699999999997,281.25,158.15232343934662,63722.7735965301,40106.25,0.0070126227208976155,50400.0,0.005580357142857143,0.5,0.5120002868449297,0.012000286844929708,0.4987601883675415,0.8495759816676369,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv10mwp_tes72mwh_cp20,nanjing,10.0,72.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv10mwp_tes72mwh_cp20,completed,1690387.469689983,1427110.569689983,263276.9,0.0,263276.9,1.0,0.1557494389427088,10223.316749332938,137809.43673851257,137809.43673851257,28.0,250492.34438685176,8946.155156673278,18613.699999999997,62603.065327675504,545.1671041129515,93526.79405129919,68932.21171571636,0.9081830361958656,50400.0,1.2421243120570535,0.5,0.49682051103014174,-0.0031794889698582574,0.494771163952041,0.7817504781061169,7.389644451905042e-13,0.25,0.0,0.0,0.0,6657.910967581818,0.19109117967545297,12415.773237821064,0.0005900046898088077,0.0,False,True,1.0,False
