seed,timestamp,epoch,episode,num_timesteps,elapsed_seconds,ent_coef,critic_loss,actor_loss,ent_coef_loss,learning_rate,n_updates,last_episode,last_reward,last_comfort_pct,reward_mean_last5
01,2026-04-12T02:34:36,1775954076.6776805,1,1500,19.29046770001878,,,,,,,,,,
02,2026-04-12T02:34:36,1775954076.6853201,1,1000,12.464389800006757,,,,,,,,,,
03,2026-04-12T02:34:36,1775954076.6913178,1,1000,12.94535199998063,,,,,,,,,,
04,2026-04-12T02:34:36,1775954076.6988332,1,500,6.165026200003922,,,,,,,,,,
05,2026-04-12T02:34:36,1775954076.7066286,1,500,6.258478000003379,,,,,,,,,,
06,2026-04-12T02:34:36,1775954076.715141,1,500,6.661617100005969,,,,,,,,,,
07,2026-04-12T02:34:36,1775954076.721138,0,0,0.6155193999875337,,,,,,,,,,
08,2026-04-12T02:34:36,1775954076.7276506,0,0,0.6265124999918044,,,,,,,,,,
01,2026-04-12T02:39:36,1775954376.7485461,2,9500,310.6361151000019,0.9635061621665955,5.460815906524658,-4.896162986755371,-0.31222671270370483,5e-05,739,1,-8991.541640659523,43.065860061636805,-8991.541640659523
02,2026-04-12T02:39:36,1775954376.758052,2,9500,315.3636068000051,0.9635066986083984,5.786053657531738,-5.012265682220459,-0.3118354082107544,5e-05,739,1,-8838.08343924549,40.086748088117794,-8838.08343924549
03,2026-04-12T02:39:36,1775954376.7776275,2,9000,188.27451829999336,0.9880692362785339,5.787356853485107,-4.623481273651123,-0.10039432346820831,5e-05,239,1,-8919.746836567383,43.9789978312978,-8919.746836567383
04,2026-04-12T02:39:36,1775954376.7890744,2,9000,190.3639234000002,0.987942636013031,6.145003318786621,-4.571842193603516,-0.10142234712839127,5e-05,239,1,-8846.041739259741,43.5224289464673,-8846.041739259741
05,2026-04-12T02:39:36,1775954376.7975879,2,9000,190.3508911000099,0.9880650043487549,6.204862594604492,-4.4402079582214355,-0.10047909617424011,5e-05,239,1,-9682.355468272002,52.48259331126584,-9682.355468272002
06,2026-04-12T02:39:36,1775954376.8080902,2,9000,191.94687750001322,0.9879636764526367,6.063655853271484,-4.478793621063232,-0.1012863963842392,5e-05,239,1,-8779.615681853655,43.4311151695012,-8779.615681853655
