hour,month,outdoor_temp_C,indoor_temp_C,humidity_pct,power_facility_kW,power_ite_kW,power_cooling_kW,pue,fan_flow_kgs,chiller_t_C,crah_supply_C,crah_return_C,ct_pump_kgs,ite_utilization,reward
1,1.0,0.2,19.92,16.57,16906.98,14972.42,1934.55,1.1292,1900.0,5.6,11.0,19.66,3159.0,1.0,0.0
2,1.0,-2.0,20.43,16.06,16472.28,14979.04,1493.24,1.0997,1800.0,6.02,11.5,20.43,3257.6,0.3577,-0.5498
3,1.0,-0.9,15.15,22.9,6326.92,5361.58,965.34,1.18,1701.5,6.48,11.99,15.26,3259.0,0.3605,-2.0165
4,1.0,-4.0,15.83,21.43,5824.92,5407.66,417.26,1.0772,1603.2,6.98,12.49,15.83,3259.0,0.3669,-1.6224
5,1.0,-6.0,16.62,20.38,5839.49,5509.02,330.47,1.06,1504.4,7.48,12.99,16.62,3259.0,0.3685,-1.2218
6,1.0,-3.3,17.33,19.91,5864.24,5536.8,327.44,1.0591,1426.7,7.96,13.49,17.33,0.0,0.3853,-0.8638
7,1.0,-6.0,18.3,18.32,6425.15,5793.34,631.81,1.1091,1329.3,8.26,13.99,18.3,295.7,0.4102,-0.5545
8,1.0,-5.0,19.41,17.1,6375.42,6172.86,202.55,1.0328,1232.5,8.76,14.45,19.41,344.1,0.4199,-0.5164
9,1.0,-3.2,20.41,16.45,6537.32,6324.41,212.91,1.0337,1134.6,9.25,14.89,20.4,401.4,0.4272,-0.5168
10,1.0,-1.0,21.42,15.1,6658.47,6437.48,220.99,1.0343,1038.4,9.75,15.28,21.42,433.5,0.4292,-0.5172
11,1.0,3.0,22.22,14.37,6704.31,6472.53,231.78,1.0358,946.2,10.0,15.45,22.22,466.4,0.4403,-0.5179
12,1.0,3.4,23.0,14.02,6879.27,6641.23,238.05,1.0358,853.2,10.0,15.3,23.01,493.7,0.4373,-0.5179
13,1.0,3.8,23.4,13.38,6837.37,6593.98,243.39,1.0369,773.2,10.0,14.95,23.39,512.0,0.432,-0.5185
14,1.0,5.0,23.27,13.48,6765.65,6511.52,254.14,1.039,739.4,10.0,14.54,23.4,527.3,0.4322,-0.5195
15,1.0,5.5,23.04,13.96,6750.77,6510.56,240.2,1.0369,724.6,10.0,14.13,23.27,539.1,0.4296,-0.5184
16,1.0,5.4,22.94,13.75,6708.32,6466.4,241.92,1.0374,697.5,10.0,13.76,23.04,550.1,0.4297,-0.5187
17,1.0,4.1,23.15,13.57,6707.38,6464.15,243.23,1.0376,657.3,10.0,13.41,22.94,564.3,0.4239,-0.5188
18,1.0,4.2,22.92,14.04,6621.63,6373.89,247.74,1.0389,639.0,10.0,13.04,23.15,580.9,0.4111,-0.5194
19,1.0,2.3,22.27,14.3,6428.85,6177.01,251.84,1.0408,635.2,10.0,12.64,22.27,597.5,0.4028,-0.5204
20,1.0,1.4,23.12,13.58,6304.23,6049.44,254.8,1.0421,556.1,10.0,12.35,23.13,619.9,0.3996,-0.5211
21,1.0,-0.4,21.38,15.39,6258.92,5998.08,260.84,1.0435,628.6,9.99,11.93,21.38,638.5,0.3821,-0.5217
22,1.0,-2.0,22.47,14.13,5995.04,5731.51,263.53,1.046,535.1,9.99,11.86,22.47,664.5,0.3808,-0.523
23,1.0,-3.0,21.26,15.2,5983.96,5712.36,271.59,1.0475,578.6,9.99,11.49,21.26,690.8,0.3919,-0.5238
24,1.0,-2.3,22.83,14.07,6151.24,5874.08,277.15,1.0472,511.2,9.99,11.46,22.83,721.6,0.4011,-0.5236
25,1.0,-5.0,20.96,15.48,6298.8,6012.24,286.56,1.0477,601.4,9.96,11.06,20.96,748.4,0.396,-0.5238
26,1.0,-4.0,22.84,13.8,6225.4,5932.32,293.08,1.0494,511.6,9.99,11.36,22.84,791.2,0.3749,-0.5247
27,1.0,-3.6,20.26,16.45,5921.73,5619.48,302.26,1.0538,606.4,9.97,11.08,20.26,826.0,0.3748,-0.5269
28,1.0,-6.0,22.4,14.16,5924.4,5615.39,309.01,1.055,509.2,10.0,11.48,22.4,874.1,0.3811,-0.5275
29,1.0,-5.0,20.61,15.8,6036.4,5713.28,323.12,1.0566,595.4,9.98,11.11,20.61,915.7,0.4269,-0.5283
30,1.0,-4.6,23.99,13.07,6729.82,6395.46,334.36,1.0523,505.9,9.99,11.49,23.99,969.5,0.4347,-0.5261
31,1.0,-6.0,21.68,14.78,6863.57,6517.03,346.53,1.0532,605.7,9.84,11.03,21.68,998.0,0.4185,-0.5266
32,1.0,-7.0,21.8,14.67,6625.05,6269.15,355.9,1.0568,585.2,9.98,11.2,21.68,1058.1,0.4066,-0.5284
33,1.0,-2.4,21.19,15.51,6466.28,6092.37,373.91,1.0614,602.4,9.99,11.17,21.19,1121.0,0.4135,-0.5307
34,1.0,0.0,22.83,13.77,6587.36,6195.84,391.53,1.0632,533.9,9.99,11.35,22.83,1188.6,0.4089,-0.5316
35,1.0,5.7,20.67,15.72,6563.88,6127.67,436.2,1.0712,629.4,9.96,11.02,20.67,1244.4,0.409,-0.5356
36,1.0,6.2,22.8,14.04,6570.63,6125.9,444.73,1.0726,533.5,9.99,11.42,22.8,1310.6,0.4114,-0.5363
37,1.0,8.0,20.76,15.61,6645.9,6166.11,479.8,1.0778,627.5,9.97,11.02,20.76,1369.0,0.4126,-0.5389
38,1.0,9.0,22.85,13.74,6672.83,6181.24,491.59,1.0795,534.8,9.99,11.39,22.85,1441.5,0.4125,-0.5398
39,1.0,9.6,20.71,15.9,6714.89,6182.26,532.63,1.0862,632.2,9.91,11.02,20.71,1504.9,0.398,-0.5431
40,1.0,10.0,21.98,14.47,6497.2,5962.48,534.72,1.0897,555.6,9.99,11.35,21.98,1582.0,0.394,-0.5448
