timestamp,step,status,objective_value,fallback,horizon_steps
2025-07-01 00:00:00,0,optimal,13703.140698461542,0,48
2025-07-01 00:15:00,1,optimal,13678.251738461542,0,48
2025-07-01 00:30:00,2,optimal,13653.36277846154,0,48
2025-07-01 00:45:00,3,optimal,13628.47381846154,0,48
2025-07-01 01:00:00,4,optimal,13603.58485846154,0,48
2025-07-01 01:15:00,5,optimal,13793.655140769231,0,48
2025-07-01 01:30:00,6,optimal,13983.725423076925,0,48
2025-07-01 01:45:00,7,optimal,14173.795705384617,0,48
2025-07-01 02:00:00,8,optimal,14363.865987692308,0,48
2025-07-01 02:15:00,9,optimal,14575.585575000001,0,48
2025-07-01 02:30:00,10,optimal,14787.305162307694,0,48
2025-07-01 02:45:00,11,optimal,14999.024749615386,0,48
2025-07-01 03:00:00,12,optimal,15210.744336923079,0,48
2025-07-01 03:15:00,13,optimal,15429.876654230771,0,48
2025-07-01 03:30:00,14,optimal,15649.008971538464,0,48
2025-07-01 03:45:00,15,optimal,15868.141288846156,0,48
2025-07-01 04:00:00,16,optimal,16087.273606153849,0,48
2025-07-01 04:15:00,17,optimal,16318.562103461541,0,48
2025-07-01 04:30:00,18,optimal,16549.850600769234,0,48
2025-07-01 04:45:00,19,optimal,16781.13909807693,0,48
2025-07-01 05:00:00,20,optimal,17012.42759538462,0,48
2025-07-01 05:15:00,21,optimal,17624.068247307696,0,48
2025-07-01 05:30:00,22,optimal,18235.708899230773,0,48
2025-07-01 05:45:00,23,optimal,18847.34955115385,0,48
2025-07-01 06:00:00,24,optimal,19458.990203076926,0,48
2025-07-01 06:15:00,25,optimal,20083.545735000007,0,48
2025-07-01 06:30:00,26,optimal,20708.101266923084,0,48
2025-07-01 06:45:00,27,optimal,21332.65679884616,0,48
2025-07-01 07:00:00,28,optimal,21957.212330769238,0,48
2025-07-01 07:15:00,29,optimal,22749.99278307693,0,48
2025-07-01 07:30:00,30,optimal,23542.773235384622,0,48
2025-07-01 07:45:00,31,optimal,24335.553687692314,0,48
2025-07-01 08:00:00,32,optimal,25128.334140000006,0,48
2025-07-01 08:15:00,33,optimal,25343.532655384624,0,48
2025-07-01 08:30:00,34,optimal,25558.73117076924,0,48
2025-07-01 08:45:00,35,optimal,25773.929686153853,0,48
2025-07-01 09:00:00,36,optimal,25989.128201538468,0,48
2025-07-01 09:15:00,37,optimal,26076.80507653847,0,48
2025-07-01 09:30:00,38,optimal,26164.48195153847,0,48
2025-07-01 09:45:00,39,optimal,26252.15882653847,0,48
2025-07-01 10:00:00,40,optimal,26339.835701538468,0,48
2025-07-01 10:15:00,41,optimal,26057.924616923083,0,48
2025-07-01 10:30:00,42,optimal,25776.013532307697,0,48
2025-07-01 10:45:00,43,optimal,25494.102447692312,0,48
2025-07-01 11:00:00,44,optimal,25212.191363076927,0,48
2025-07-01 11:15:00,45,optimal,25270.56443307693,0,48
2025-07-01 11:30:00,46,optimal,25328.937503076926,0,48
2025-07-01 11:45:00,47,optimal,25387.310573076924,0,48
2025-07-01 12:00:00,48,optimal,25445.683643076925,0,48
2025-07-01 12:15:00,49,optimal,25470.572603076926,0,48
2025-07-01 12:30:00,50,optimal,25495.461563076926,0,48
