season,controller,cost_saving,cost_saving_pct,grid_saving_kwh,grid_saving_pct,peak_grid_reduction_kw,peak_grid_reduction_pct,fallback_count,soc_min,soc_final,zone_temp_max_c,temp_violation_degree_hours_27c,temp_violation_delta_vs_no_mpc,zone_temp_max_delta_vs_no_mpc,cost_comparison_valid
autumn,io_coupled_measured_mpc,12664.800035882858,2.21175808953997,54683.79280053731,0.8280003839883445,-515.803096775433,-4.997428000062812,0,0.0,0.2179034791876248,33.311506122806094,467.3950583608615,467.3950583608615,7.45956590546313,False
autumn,io_coupled_mpc,10930.54655245971,1.9088911543806084,59737.47810064815,0.9045212899962928,-517.2173670590637,-5.011130348806464,0,0.0,0.1246341406309275,33.37888776819885,472.0543407660063,472.0543407660063,7.526947550855887,False
autumn,tes_only_mpc,12836.972434552037,2.2418259701597303,75438.74219740275,1.1422636270839184,-579.0334211372756,-5.610043541524943,0,0.0,0.2391285194205641,33.34682803386268,516.4744024272643,516.4744024272643,7.494887816519714,False
spring,io_coupled_measured_mpc,8354.01050997083,1.5009382887309268,45891.117399529554,0.7125572671858666,-502.3291486088601,-4.855895703135591,0,0.0,0.2474355346570227,33.27628468877185,461.5263595314712,75.35214488658539,4.149517048588919,False
spring,io_coupled_mpc,7112.5296807589475,1.2778854078343187,49706.40922940243,0.7717977928880945,-497.8870577030211,-4.81295507306796,0,0.0,0.1741381369972827,32.98595407981013,467.3037113768414,81.12949673195561,3.8591864396271944,False
spring,tes_only_mpc,16958.385344160022,3.046858733026905,135351.77200256567,2.10162432802086,-529.1876914194236,-5.115530810888122,0,0.0,0.2206381299555082,33.28837578609394,549.9062103450129,163.73199570012713,4.1616081459110035,False
summer,io_coupled_measured_mpc,16703.809032771504,2.646134398603649,89689.9946317235,1.3155139420386908,-376.56946651279577,-3.6563433215005032,0,0.0,0.2169495302793574,33.426973550521346,526.0429659631106,526.0429659631106,7.680520815907212,False
summer,io_coupled_mpc,15195.677729616407,2.407223733912728,92190.27534398995,1.3521864175974478,-378.2036952985036,-3.672211048541043,0,0.0,0.1612906433186425,33.413258670639614,536.9610487816901,536.9610487816901,7.666805936025479,False
summer,tes_only_mpc,16932.755917311646,2.682403026043428,103251.7949626986,1.5144295232894043,-429.08049962061705,-4.166205066232136,0,0.0,0.2382425250522084,33.372127478802845,551.4382590525005,551.4382590525005,7.625674744188711,False
winter,io_coupled_measured_mpc,72266.48505489813,12.898339739738091,765567.2263057083,12.426052841416604,-523.520917971382,-5.078435914200974,0,0.0947598210329373,1.0,29.67001272079132,134.05367383056011,134.05367383056011,4.4289799336409885,False
winter,io_coupled_mpc,75237.28020704386,13.428576199148473,815535.1539048916,13.237090837021173,-523.5361064699409,-5.078583250847738,0,0.0511334426448307,1.0,29.88533054599808,159.42346651456114,159.42346651456114,4.644297758847749,False
winter,tes_only_mpc,77111.08930491761,13.763019286195357,833981.7059340039,13.53649998409477,-565.6304140958127,-5.486920790556776,0,0.091803885031516,1.0,29.77195449111678,167.16949953934335,167.16949953934335,4.530921703966449,False
