case,controller_type,closed_loop_steps,horizon_steps,total_cost,energy_cost,cold_station_proxy_total_cost,grid_import_kwh,cold_station_proxy_grid_import_kwh,pv_spill_kwh,cold_station_proxy_pv_spill_kwh,facility_energy_kwh,cold_station_energy_kwh,peak_grid_kw,peak_slack_max_kw,temp_violation_degree_hours,fallback_count,physical_consistency_violation_count,signed_valve_violation_count,initial_soc,final_soc_after_last_update,soc_delta,soc_inventory_delta_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_charge_weighted_avg_price,tes_discharge_weighted_avg_price,tes_arbitrage_price_spread,weighted_avg_chiller_cop,solve_time_avg_s,solve_time_p95_s,optimal_rate,feasible_rate
attribution_7day_no_tes_direct,no_tes,672,,303552.6866075612,303552.6866075612,24213.07842318197,3251529.4683104996,247424.8539521916,0.0,19895.385641692286,3360516.588310499,336516.5883104993,20633.249999999985,0.0,0.0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,,,,6.697899041285474,0.0,0.0,1.0,1.0
attribution_7day_mpc_no_tes,mpc_no_tes,672,,289706.51665937144,289706.51665937144,14245.199180983289,3239731.9158604518,251182.71780758345,0.0,35450.80194713145,3348719.035860452,324719.03586045204,21090.000000000047,0.0,0.0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,,,,7.048524152831161,0.04778199925591155,0.15279142999961529,1.0,1.0
attribution_7day_rbc_tes,rbc,672,,303263.15008485713,303263.15008485713,23954.47304530697,3255772.890747384,251392.03049905165,0.0,19619.139751667382,3364760.0107473843,340760.0107473843,20576.549999999985,0.0,0.0,0,0,0,0.5,0.555236643307602,0.05523664330760203,994.2595795368366,37012.5,27562.5,41.638297872340424,163.62857142857143,121.99027355623102,6.701121206133429,0.0,0.0,1.0,1.0
attribution_7day_mpc_tes,mpc,672,,289447.58559233067,289447.58559233067,13981.367531846983,3238814.2699429905,250206.02873234387,0.0,35391.75878935343,3347801.38994299,323801.38994299044,21090.0,0.0,1.376676550535194e-13,0,0,0,0.5,0.15,-0.35,-6300.0,21676.86771568328,22821.691485537613,29.189600484922128,186.39451187889094,157.2049113939688,7.049904783309989,0.09959545193453052,0.3773121200003515,1.0,1.0
attribution_7day_mpc_tes_soc_neutral,mpc,672,,289400.13706524903,289400.13706524903,13968.870112922237,3238582.225740901,250395.08221889113,0.0,35812.85647799035,3347569.345740901,323569.3457409008,21090.0,0.0,6.306066779870889e-14,0,0,0,0.5,0.15,-0.35,-6300.0,43477.064341914636,41014.5996773455,29.215685985240093,189.99592085081937,160.78023486557927,7.047318989837216,0.1084284333333585,0.36000510500052757,1.0,1.0
