timestamp,step,solve_status,objective_value,solve_time_s,mip_gap,mode_index,predicted_peak_grid_kw,episode_peak_grid_so_far_kw
2025-07-01 00:00:00,0,optimal,13930.305298405456,0.04115939998882823,0.0004371484320718221,-1,21090.0,18000.0
2025-07-01 00:15:00,1,optimal,13935.628718085423,0.038887499991687946,0.0002210658082839914,-1,21090.0,18000.0
2025-07-01 00:30:00,2,optimal,13941.78936180768,0.04016079999564681,3.5259417561160686e-05,-1,21090.0,18000.0
2025-07-01 00:45:00,3,optimal,13950.790484947336,0.04226070000731852,1.9838475899429008e-05,-1,21090.0,18000.0
2025-07-01 01:00:00,4,optimal,13975.552423745516,0.04042679999838583,0.0011162582287717177,-1,21090.0,18000.0
2025-07-01 01:15:00,5,optimal,14208.946548023954,0.03642589999071788,0.0032796060465745437,-1,21090.0,18000.0
2025-07-01 01:30:00,6,optimal,14375.314315970667,0.039061799994669855,0.0007056230391694507,-1,21090.0,18000.0
2025-07-01 01:45:00,7,optimal,14586.322097936563,0.03836010000668466,0.001226009683747342,-1,21090.0,18000.0
2025-07-01 02:00:00,8,optimal,14772.533894232189,0.04142389999469742,2.45127560824462e-05,-1,21090.0,18000.0
2025-07-01 02:15:00,9,optimal,14998.13237340993,0.037096200001542456,1.14593135718435e-06,-1,21090.0,18000.0
2025-07-01 02:30:00,10,optimal,15224.858636392235,0.03835099999560043,1.3783029046256735e-05,-1,21090.0,18000.0
2025-07-01 02:45:00,11,optimal,15452.137978559122,0.035606499994173646,2.298416179157257e-05,-1,21090.0,18000.0
2025-07-01 03:00:00,12,optimal,15685.077354064528,0.03196969999407884,0.0,2,21090.0,21090.0
2025-07-01 03:15:00,13,optimal,15900.852938806569,0.033673300000373274,0.0,2,21090.0,21090.0
2025-07-01 03:30:00,14,optimal,16166.404484684319,0.04115159998764284,0.0023665329356737604,2,21090.0,21090.0
2025-07-01 03:45:00,15,optimal,16374.177278321258,0.30241610000666697,0.0002682119483426991,2,21090.0,21090.0
2025-07-01 04:00:00,16,optimal,16615.592842491867,0.25734019999799784,0.00022044323338966127,2,21090.0,21090.0
2025-07-01 04:15:00,17,optimal,16964.177471654097,0.07315569999627769,0.0023241257471076377,2,21090.0,21090.0
2025-07-01 04:30:00,18,optimal,17256.78724894836,0.07325839999248274,0.0010468535802614402,2,21090.0,21090.0
2025-07-01 04:45:00,19,optimal,17559.22653355368,0.0383363000000827,0.0003069621457415059,2,21090.0,21090.0
2025-07-01 05:00:00,20,optimal,17886.932041807348,0.038517399996635504,0.0009413364771373555,2,21049.2,21090.0
2025-07-01 05:15:00,21,optimal,18504.086920588354,0.03796790000342298,9.14662674998014e-05,2,21049.2,21090.0
2025-07-01 05:30:00,22,optimal,19136.60363953894,0.04060969999409281,2.5323938688041184e-05,2,21049.2,21090.0
2025-07-01 05:45:00,23,optimal,19772.144710664736,0.2309326999966288,5.836300240635982e-05,2,21049.2,21090.0
2025-07-01 06:00:00,24,optimal,20408.927703294667,0.21211979999497999,9.811585724318709e-05,2,20842.62,21090.0
2025-07-01 06:15:00,25,optimal,21070.332150510527,0.07451099999889266,0.0006421596636524013,2,20842.62,21090.0
2025-07-01 06:30:00,26,optimal,21714.284729954157,0.03723380000155885,0.0003045734279513299,2,20842.62,21090.0
2025-07-01 06:45:00,27,optimal,22360.37433372827,0.0356958000047598,3.925841024890652e-05,2,20842.62,21090.0
2025-07-01 07:00:00,28,optimal,23019.84650264921,0.21837679999589454,8.792855658728578e-05,2,20328.24,21090.0
2025-07-01 07:15:00,29,optimal,23866.600875468182,0.03810820000944659,0.0009942771159764398,2,20328.24,21090.0
2025-07-01 07:30:00,30,optimal,24679.509085970312,0.040566499999840744,0.00043270006659715466,2,20328.24,21090.0
2025-07-01 07:45:00,31,optimal,25497.401512418048,0.03792499999690335,6.885475847285606e-05,2,20328.24,21090.0
2025-07-01 08:00:00,32,optimal,26330.675850706957,0.03696850000414997,4.525717502057792e-05,-1,20255.34,21090.0
2025-07-01 08:15:00,33,optimal,26625.67484017204,0.034996799993677996,5.697568248325418e-06,-1,20255.34,21090.0
2025-07-01 08:30:00,34,optimal,26936.286286489052,0.03665389999514446,0.0004965114719653702,-1,20255.34,21090.0
2025-07-01 08:45:00,35,optimal,27260.07771086274,0.03607819999160711,0.0010327335231148315,-1,20255.34,21090.0
2025-07-01 09:00:00,36,optimal,27578.142998865475,0.24667310000222642,0.00023009757056255352,-1,20255.34,21090.0
2025-07-01 09:15:00,37,optimal,27800.98400588443,0.03677229999448173,0.0005572130922669994,-1,20397.0,21090.0
2025-07-01 09:30:00,38,optimal,28004.29321049759,0.27168829999573063,0.0003150600968079229,-1,20726.880320978707,21090.0
2025-07-01 09:45:00,39,optimal,28248.846649640567,0.04002519999630749,0.0015436445156678442,-1,20397.0,21090.0
2025-07-01 10:00:00,40,optimal,28423.175848101197,0.32365419999405276,0.0003026160634871926,-1,21090.0,21090.0
2025-07-01 10:15:00,41,optimal,28281.08901077969,0.03676620000624098,0.00276885600210954,-1,20792.200689432015,21090.0
2025-07-01 10:30:00,42,optimal,28047.878761967517,0.03803909999260213,0.002066697315583189,-1,20933.909383423776,21090.0
2025-07-01 10:45:00,43,optimal,27786.663563243714,0.36711510000168346,0.0003571514000654414,-1,20945.403773293147,21090.0
2025-07-01 11:00:00,44,optimal,27573.574000904322,0.40971959999296814,0.00037577445555841087,2,20945.403773293147,21090.0
2025-07-01 11:15:00,45,optimal,27562.0936731245,0.6120132999931229,0.0003933111283639198,2,20945.403773293056,21090.0
2025-07-01 11:30:00,46,optimal,27561.140597792008,0.038056700010201894,0.0006276939517485486,2,20944.67994350593,21090.0
2025-07-01 11:45:00,47,optimal,27547.871455044096,0.38478520000353456,0.0004335460072189193,2,20945.40377329314,21090.0
2025-07-01 12:00:00,48,optimal,27547.805269686072,0.037626699995598756,0.0007381344144059134,2,20944.67994350591,21090.0
2025-07-01 12:15:00,49,optimal,27618.739930408294,0.03839489999518264,0.003230343611414622,2,20924.305339916453,21090.0
2025-07-01 12:30:00,50,optimal,27556.16838510608,0.03904450000845827,0.0009007885671352572,2,20945.403773293143,21090.0
2025-07-01 12:45:00,51,optimal,27650.04390760676,0.03676360000099521,0.004235556834265849,2,20924.242413601372,21090.0
2025-07-01 13:00:00,52,optimal,27547.411723477595,0.41311839999980293,0.0004773099686014377,2,20945.403773293147,21090.0
2025-07-01 13:15:00,53,optimal,27394.416563319795,0.04115040000760928,0.003273241025078427,2,20964.723829787294,21090.0
2025-07-01 13:30:00,54,optimal,27137.767575737955,0.0385043999995105,0.002314403718587939,2,20988.70151714144,21090.0
2025-07-01 13:45:00,55,optimal,26858.165737396183,0.38387399999191985,0.0004943058637130736,2,21011.605335938257,21090.0
2025-07-01 14:00:00,56,optimal,26627.652259745337,0.28644440000061877,0.0004932738023352051,2,21090.0,21090.0
2025-07-01 14:15:00,57,optimal,26406.718629255996,0.03970760000811424,0.0016861541416413911,2,21054.774228360377,21090.0
2025-07-01 14:30:00,58,optimal,26199.256928288534,0.04122310000821017,0.003423525707609621,2,21074.616212583205,21090.0
2025-07-01 14:45:00,59,optimal,25899.34866709702,0.03798310000274796,0.0016496557337759238,2,21074.61621258316,21090.0
2025-07-01 15:00:00,60,optimal,25666.228913947307,0.038961800004472025,0.0024490612407703336,2,21074.616212583147,21090.0
2025-07-01 15:15:00,61,optimal,25355.806780336527,0.5204182000015862,0.0005289522114356623,2,21074.616212583227,21090.0
2025-07-01 15:30:00,62,optimal,25094.66720038265,0.41303619999962393,0.0005399026284766388,2,21074.61621258323,21090.0
2025-07-01 15:45:00,63,optimal,24864.517993961057,0.03846809999959078,0.001808654718932502,2,21074.61621258316,21090.0
2025-07-01 16:00:00,64,optimal,24602.202769025327,0.04114549999940209,0.0018096360976770176,2,21052.74990825092,21090.0
2025-07-01 16:15:00,65,optimal,24315.028112538614,0.04079980000096839,0.003522277872519242,2,21016.14204665654,21090.0
2025-07-01 16:30:00,66,optimal,23933.26167354141,0.3713112999976147,0.0006265644271931827,2,21090.000000000073,21090.0
2025-07-01 16:45:00,67,optimal,23652.0026474761,0.04142770000908058,0.003204582316003456,2,20942.13369566779,21090.0
2025-07-01 17:00:00,68,optimal,23327.20391937895,0.0666143000125885,0.002669131759144946,-1,20905.0501213943,21090.0
2025-07-01 17:15:00,69,optimal,22745.262548315117,0.0709078999934718,0.002773281315174528,-1,20868.125344678985,21090.0
2025-07-01 17:30:00,70,optimal,22163.09274191591,0.042622599998139776,0.0028768926957681794,-1,20865.223265513305,21090.0
2025-07-01 17:45:00,71,optimal,21548.321074589498,0.04306100000394508,0.0014344216860378638,-1,20923.92825365885,21090.0
2025-07-01 18:00:00,72,optimal,20985.20036567924,0.044614099999307655,0.0024490761149645545,-1,20923.928253658934,21090.0
2025-07-01 18:15:00,73,optimal,20374.568546229886,0.043894099988392554,0.001807105353201905,2,21090.0,21090.0
2025-07-01 18:30:00,74,optimal,19725.963920984097,0.0430183999997098,0.00425290042582637,2,21090.0,21090.0
2025-07-01 18:45:00,75,optimal,19008.761795300277,0.04473310000321362,0.003070342292739493,2,21090.0,21090.0
