timestamp,step,controller,Q_load_kw_th,P_nonplant_kw,P_pv_kw,T_wb_C,price_cny_per_kwh,cp_flag,Q_chiller_kw_th,Q_tes_net_kw_th,P_plant_kw,P_grid_pos_kw,P_spill_kw,d_peak_kw,peak_slack_kw,soc,soc_next,u_signed,signed_du,mode_index,solver_status,solver_time_s
2025-07-01 02:30:00,10,mpc_no_tes,2137.445073984375,18000.0,0.0,25.522104768880208,0.029,0,2137.445073984375,0.0,293.3643364043555,18293.364336404356,0.0,18320.176799999997,460.94952040435965,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 02:45:00,11,mpc_no_tes,2126.2883923556133,18000.0,0.0,25.26161251692057,0.029,0,2126.2883923556133,0.0,291.8330818508079,18291.833081850808,0.0,18320.176799999997,459.4182658508107,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 03:00:00,12,mpc_no_tes,2115.2760690062846,18000.0,0.0,25.0,0.029,0,2115.2760690062846,0.0,290.3216404711126,18290.321640471113,0.0,18320.176799999997,457.9068244711161,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 03:15:00,13,mpc_no_tes,2104.4552603956135,18000.0,0.0,24.73838748307943,0.029,0,2104.4552603956135,0.0,288.83648448929796,18288.836484489297,0.0,18320.176799999997,456.4216684892999,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 03:30:00,14,mpc_no_tes,2093.8723028873123,18000.0,0.0,24.477895231119792,0.029,0,2093.8723028873123,0.0,287.3839735712836,18287.383973571283,0.0,18320.176799999997,454.9691575712859,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 03:45:00,15,mpc_no_tes,2083.5725143301565,18000.0,0.0,24.219638711935488,0.029,0,2083.5725143301565,0.0,285.970327591814,18285.970327591815,0.0,18320.176799999997,453.5555115918178,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 04:00:00,16,mpc_no_tes,2073.6,18000.0,0.0,23.964723819589917,0.029,0,2073.6,0.0,284.60159999999996,18284.6016,0.0,18320.176799999997,452.186784000005,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 04:15:00,17,mpc_no_tes,2063.997463734213,18000.0,0.0,23.714242138787352,0.029,0,2063.997463734213,0.0,283.2836518975207,18283.28365189752,0.0,18320.176799999997,450.86883589752324,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 04:30:00,18,mpc_no_tes,2054.806025067293,18000.0,0.0,23.46926627053964,0.029,0,2054.806025067293,0.0,282.022126940486,18282.022126940486,0.0,18320.176799999997,449.6073109404897,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
2025-07-01 04:45:00,19,mpc_no_tes,2046.065043150708,18000.0,0.0,23.230845239123994,0.029,0,2046.065043150708,0.0,280.8224271724347,18280.822427172436,0.0,18320.176799999997,448.4076111724389,0.5,0.5,0.0,0.0,0,optimal_relaxed_modes,0.01646660000551492
