timestamp,step,status,objective_value,fallback,horizon_steps
2025-07-01 00:00:00,0,optimal,13564.15571457071,0,48
2025-07-01 00:15:00,1,optimal,13528.599025188896,0,48
2025-07-01 00:30:00,2,optimal,13496.584136276622,0,48
2025-07-01 00:45:00,3,optimal,13464.57498199894,0,48
2025-07-01 01:00:00,4,optimal,13439.517674468234,0,48
2025-07-01 01:15:00,5,optimal,13625.70114783915,0,48
2025-07-01 01:30:00,6,optimal,13812.865128754354,0,48
2025-07-01 01:45:00,7,optimal,14002.997382817153,0,48
2025-07-01 02:00:00,8,optimal,14193.12966788133,0,48
2025-07-01 02:15:00,9,optimal,14404.911288962396,0,48
2025-07-01 02:30:00,10,optimal,14616.692941075864,0,48
2025-07-01 02:45:00,11,optimal,14828.474624237258,0,48
2025-07-01 03:00:00,12,optimal,15040.256338462112,0,48
2025-07-01 03:15:00,13,optimal,15259.450813765965,0,48
2025-07-01 03:30:00,14,optimal,15478.645320164362,0,48
2025-07-01 03:45:00,15,optimal,15697.839857672861,0,48
2025-07-01 04:00:00,16,optimal,15917.03442630702,0,48
2025-07-01 04:15:00,17,optimal,16148.385206082416,0,48
2025-07-01 04:30:00,18,optimal,16379.736017014622,0,48
2025-07-01 04:45:00,19,optimal,16611.086859119227,0,48
2025-07-01 05:00:00,20,optimal,16842.437732411825,0,48
2025-07-01 05:15:00,21,optimal,17445.687750546585,0,48
2025-07-01 05:30:00,22,optimal,18048.95234312002,0,48
2025-07-01 05:45:00,23,optimal,18652.235393655526,0,48
2025-07-01 06:00:00,24,optimal,19255.526768784686,0,48
2025-07-01 06:15:00,25,optimal,19871.741360923726,0,48
2025-07-01 06:30:00,26,optimal,20488.353528515665,0,48
2025-07-01 06:45:00,27,optimal,21099.625188417333,0,48
2025-07-01 07:00:00,28,optimal,21710.90586178882,0,48
2025-07-01 07:15:00,29,optimal,22486.783907441295,0,48
2025-07-01 07:30:00,30,optimal,23262.672164710984,0,48
2025-07-01 07:45:00,31,optimal,24040.84405643566,0,48
2025-07-01 08:00:00,32,optimal,24822.754823925377,0,48
2025-07-01 08:15:00,33,optimal,25051.094166653016,0,48
2025-07-01 08:30:00,34,optimal,25279.450392917755,0,48
2025-07-01 08:45:00,35,optimal,25507.82352797127,0,48
2025-07-01 09:00:00,36,optimal,25736.213597094687,0,48
2025-07-01 09:15:00,37,optimal,25840.613206790204,0,48
2025-07-01 09:30:00,38,optimal,25945.01288057742,0,48
2025-07-01 09:45:00,39,optimal,26049.412618488397,0,48
2025-07-01 10:00:00,40,optimal,26153.81242055522,0,48
2025-07-01 10:15:00,41,optimal,25877.55161177572,0,48
2025-07-01 10:30:00,42,optimal,25601.302645587144,0,48
2025-07-01 10:45:00,43,optimal,25325.065894933086,0,48
2025-07-01 11:00:00,44,optimal,25048.958736396482,0,48
2025-07-01 11:15:00,45,optimal,25096.555860880617,0,48
2025-07-01 11:30:00,46,optimal,25152.111708849276,0,48
2025-07-01 11:45:00,47,optimal,25210.509138505575,0,48
2025-07-01 12:00:00,48,optimal,25268.906568161874,0,48
2025-07-01 12:15:00,49,optimal,25152.884951238797,0,47
2025-07-01 12:30:00,50,optimal,25036.86333431572,0,46
2025-07-01 12:45:00,51,optimal,24920.841717392643,0,45
2025-07-01 13:00:00,52,optimal,24804.820100469566,0,44
