location_id,recommended_pv_mwp,recommended_tes_mwh_th,rule_name,cp_suppression_ratio,peak_reduction_ratio,pv_self_consumption_ratio,pv_facility_load_coverage_ratio,max_cp_suppression_ratio,max_peak_reduction_ratio,max_pv_facility_load_coverage_ratio,threshold_gap_score,notes
beijing,20.0,72.0,minimum_capacity_best_available,0.4388373684122978,4.010674236595075e-05,0.8293272520603131,0.3228446102162879,0.5866078666665189,4.010674236595075e-05,0.420889612852145,0.0891097115875692,best available: no case met all thresholds
guangzhou,20.0,72.0,minimum_capacity_best_available,0.36483271534126915,0.004277206307229885,0.9469369867897449,0.25682577621681635,0.5275407520371611,0.013584506034015842,0.38597876340250825,0.11790281061556021,best available: no case met all thresholds
nanjing,20.0,72.0,minimum_capacity_best_available,0.35175138686798446,0.0,0.912149585370951,0.2660525735068102,0.48228265301205586,0.0010055085012412506,0.3826618409923734,0.08320795849398298,best available: no case met all thresholds
