algorithm,tag,total_steps,cost_usd_total,total_load_mwh,pue_avg,comfort_violation_pct,pv_total_gen_mwh,pv_consumed_mwh,self_consumption_rate_pct,pv_load_coverage_pct,grid_import_mwh,grid_export_mwh,sign_rate,dsoc_prepeak,dsoc_peak,mechanism_gate_pass,mode_switches,cost_saving_vs_baseline_usd,cost_saving_vs_baseline_pct,pue_improvement_vs_baseline,self_consumption_uplift_vs_baseline_pp
baseline_neutral,w2_baseline_neutral_year_20260503_232820,35041,6993059.4375408,78260.41937290001,1.3237472670923387,0.2910875831169202,7143.35189799685,7143.35189799685,100.0,9.127668820633037,71117.06747490315,0.0,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0
heuristic,w2_mpc_heuristic_year_20260503_232820,35040,7371878.680570356,83535.69462561607,1.4121337023632723,4.537671232876712,7143.35189799685,7143.35189799685,100.0,8.551256956695436,76392.34272761924,0.0,1.0,0.24109745000799496,-0.4977936384008646,False,3231,-378819.2430295553,-5.4170745496018835,-0.0883864352709336,0.0
mpc_milp,w2_mpc_milp_year_20260503_232820,35040,7375161.676005263,83711.59597563744,1.4147070888808422,7.100456621004566,7143.35189799685,7143.35189799685,100.0,8.533288387042314,76568.2440776406,0.0,0.9721056529252037,0.21190882164440797,-0.5910972940784266,False,5309,-382102.23846446257,-5.4640210322427025,-0.09095982178850348,0.0
