algorithm,tag,total_steps,cost_usd_total,total_load_mwh,pue_avg,comfort_violation_pct,pv_total_gen_mwh,pv_consumed_mwh,self_consumption_rate_pct,pv_load_coverage_pct,grid_import_mwh,grid_export_mwh,sign_rate,dsoc_prepeak,dsoc_peak,mechanism_gate_pass,mode_switches,cost_saving_vs_baseline_usd,cost_saving_vs_baseline_pct,pue_improvement_vs_baseline,self_consumption_uplift_vs_baseline_pp
baseline_neutral,w2b_baseline_neutral_year_20260504_054338,35041,14206633.459784597,159232.1029353,1.211863847652396,0.019976598841357267,7143.35189799685,7143.35189799685,100.0,4.48612545228984,152088.75103730313,0.0,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0
heuristic,w2b_mpc_heuristic_year_20260504_054338,35040,14354248.124875812,162010.60074448586,1.2326106893126272,2.66837899543379,7143.35189799685,7143.35189799685,100.0,4.409187957560228,154867.248846489,0.0,1.0,0.23214354999363424,-0.5059317482772647,True,3166,-147614.6650912147,-1.039054505834015,-0.02074684166023122,0.0
mpc_milp,w2b_mpc_milp_year_20260504_054338,35040,14310199.876191188,161734.95291614532,1.230227373719408,4.694634703196347,7143.35189799685,7143.35189799685,100.0,4.416702616966452,154591.60101814847,0.0,0.9700027270248159,0.20427645061294364,-0.6438533993193561,False,5578,-103566.41640659049,-0.729000411672202,-0.01836352606701208,0.0
