case_id,controller,steps,cost_total,energy_cost,whole_facility_energy_cost,plant_energy_cost,peak_slack_penalty_cost,objective_cost,grid_import_kwh,plant_energy_kwh,pv_used_kwh,pv_spill_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_kwh,peak_cap_success_flag,soc_initial,soc_target,soc_final,terminal_soc_abs_error,soc_delta,soc_min,soc_max,soc_violation_count,TES_charge_kwh_th,TES_discharge_kwh_th,TES_discharge_during_cp_kwh_th,TES_charge_during_valley_kwh_th,grid_reduction_during_cp_kwh,cp_hours,TES_charge_weighted_avg_price,TES_discharge_weighted_avg_price,TES_arbitrage_spread,solver_time_avg_s,solver_time_p95_s,solver_status,mode_integrality,strict_success,fallback_reason,mode_fractionality_max,solver_message,max_signed_du,signed_valve_violation_count,grid_balance_violation_count,plant_tracking_error_abs_max_kw_th,cap_ratio,peak_cap_kw,phase_d_track,peak_reduction_kw,cost_increase_vs_no_cap,TES_peak_cap_help_kwh,TES_peak_cap_help_max_kw
strict_cap_1p0_mpc_no_tes,mpc_no_tes,96,39049.6711420425,39049.6711420425,39049.6711420425,815.5133980425037,0.0,39049.671142042505,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.005195800040382892,0.005195800040382892,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,1.0,18383.9328,strict,0.0,0.0,0.0,0.0
relaxed_cap_1p0_mpc_no_tes,mpc_no_tes,96,38903.66912401059,38903.66912401059,38903.66912401059,669.5113800105844,0.0,38903.669124010594,418771.43999999994,7115.040000000001,20343.6,0.0,18320.176799999997,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0054484999855048954,0.0054484999855048954,optimal_relaxed_modes,relaxed,False,,0.2916,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,1.0,18383.9328,relaxed,63.75600000000122,-146.00201803191158,0.0,0.0
strict_cap_1p0_paper_like_mpc_tes,paper_like_mpc_tes,96,38808.08377410196,38808.08377410196,38808.08377410196,573.9260301019509,0.0,38808.08377410195,419877.36549333227,8220.96549333228,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.46193598566728206,0.850000000000001,0,15831.986931524096,15283.37190507747,226.27052031690823,9805.375067551664,37.23965810302107,3.0,0.059999098327182254,0.14615188251264963,0.08615278418546737,0.974919400003273,0.974919400003273,optimal,strict,True,,8.304468224196171e-14,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.25000000000003114,0,0,0.0,1.0,18383.9328,strict,0.0,-241.5873679405413,0.0,0.0
relaxed_cap_1p0_paper_like_mpc_tes,paper_like_mpc_tes,96,38711.510566580306,38711.510566580306,38711.510566580306,477.35282258029736,0.0,38711.510566580306,418846.19523415266,7189.795234152617,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.432017955693874,0.85,0,17784.336267818908,17239.67153810949,281.24999999999994,11593.760298523739,38.60156249999999,3.0,0.05788474415369245,0.14092519678546037,0.08304045263176792,0.00770300003932789,0.00770300003932789,optimal_relaxed_modes,relaxed,False,,0.47329736138016376,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2500000000000009,0,0,0.0,1.0,18383.9328,relaxed,0.0,-338.16057546219236,0.0,0.0
strict_cap_0p99_mpc_no_tes,mpc_no_tes,96,39049.6711420425,39049.6711420425,39049.6711420425,815.5133980425037,191036856.51863843,191075906.18978047,420348.24,8691.84,20343.6,0.0,18383.9328,183.83932800000184,1910.3685651863843,False,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.004959099984262139,0.004959099984262139,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,0.99,18200.093471999997,strict,0.0,0.0,0.0,0.0
relaxed_cap_0p99_mpc_no_tes,mpc_no_tes,96,38903.66912401059,38903.66912401059,38903.66912401059,669.5113800105844,112981233.56494534,113020137.23406932,418771.43999999994,7115.040000000001,20343.6,0.0,18320.176799999997,120.08332800000062,1129.8123356494534,False,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.00540200003888458,0.00540200003888458,optimal_relaxed_modes,relaxed,False,,0.2916,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,0.99,18200.093471999997,relaxed,63.75600000000122,-146.00201803191158,0.0,0.0
strict_cap_0p99_paper_like_mpc_tes,paper_like_mpc_tes,96,38913.451882457084,38913.451882457084,38913.451882457084,679.2941384570832,11922444.543389665,11969445.59286429,419987.51366353605,8331.11366353603,20343.6,0.0,18306.64470547458,106.55123347458533,119.22444543389665,False,0.5,0.5,0.3989050300978945,0.10109496990210548,-0.10109496990210548,0.15,0.85,0,18311.517536008974,19745.85353969126,226.27052031690823,8222.615658323695,44.19607115571945,3.0,0.068971325052984,0.10781666143588975,0.03884533638290574,0.07616370002506301,0.07616370002506301,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.25000000000000766,0,0,0.0,0.99,18200.093471999997,strict,77.28809452541827,-136.21925958541397,1791.1441197524878,77.28809452541651
relaxed_cap_0p99_paper_like_mpc_tes,paper_like_mpc_tes,96,38783.89539659938,38783.89539659938,38783.89539659938,549.7376525993759,0.0,38783.895396599335,418829.4341395721,7173.034139572031,20343.6,0.0,18200.093471999997,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,16911.247853425208,16488.704031406774,226.27052031690823,7495.013748660839,31.055628913495656,3.0,0.06689347300498415,0.12153292469351559,0.054639451688531446,0.00801699998555705,0.00801699998555705,optimal_relaxed_modes,relaxed,False,,0.4924726727928302,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.25000000000000044,0,0,0.0,0.99,18200.093471999997,relaxed,183.83932800000184,-265.7757454431194,1129.8123356494534,120.08332800000062
strict_cap_0p97_mpc_no_tes,mpc_no_tes,96,39049.6711420425,39049.6711420425,39049.6711420425,815.5133980425037,677336938.1216552,677375987.7927972,420348.24,8691.84,20343.6,0.0,18383.9328,551.5179840000019,6773.369381216552,False,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.005310000036843121,0.005310000036843121,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,0.97,17832.414815999997,strict,0.0,0.0,0.0,0.0
relaxed_cap_0p97_mpc_no_tes,mpc_no_tes,96,38903.66912401059,38903.66912401059,38903.66912401059,669.5113800105844,586114588.1682315,586153491.8373554,418771.43999999994,7115.040000000001,20343.6,0.0,18320.176799999997,487.76198400000067,5861.145881682315,False,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.005759200023021549,0.005759200023021549,optimal_relaxed_modes,relaxed,False,,0.2916,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,0.97,17832.414815999997,relaxed,63.75600000000122,-146.00201803191158,0.0,0.0
