step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
13,155,2024-01-02 14:45:00,1.0,6.123780687491243,0.0,0.0,0.0,1.0,0.0,0.0,6.1250193725954425,25.237452392920247,9.6,2.6124181038551417,1154.774036176039,3840.390715488396,9409.411634203529,9409.411634203529,0.0,9409.411634203529,68.21823434797558,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
14,156,2024-01-02 15:00:00,1.0,6.124606481522743,0.0,0.0,0.0,1.0,0.0,0.0,6.125845132309191,25.237439936430924,9.7,2.5405933932013514,1158.0423485867793,3851.2600251925574,9412.681531408154,9412.681531408152,93.72,9318.961531408155,193.3684517767192,0.083,0.0,no_control,0.083,93.72,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
15,157,2024-01-02 15:15:00,1.0,6.1254322554045295,0.0,0.0,0.0,1.0,0.0,0.0,6.126670856062248,25.237325732822885,9.8,2.4661981946758518,1136.2652928853745,3778.83684982979,9390.904989631805,9390.904989631805,0.0,9390.904989631805,68.0840611748306,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
16,158,2024-01-02 15:30:00,1.0,6.1262579971387785,0.0,0.0,0.0,1.0,0.0,0.0,6.1274965394601075,25.237127511349755,9.9,2.389185840563285,1104.452570292883,3673.038415979318,9359.092301977387,9359.092301977387,0.0,9359.092301977387,67.85341918933607,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
17,159,2024-01-02 15:45:00,1.0,6.127083700756214,0.0,0.0,0.0,1.0,0.0,0.0,6.128322178868931,25.23684937037385,10.0,2.3095091409082866,1068.0821338955984,3552.0825563196017,9322.721622811021,9322.721622811021,0.0,9322.721622811021,67.58973176537991,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
18,160,2024-01-02 16:00:00,1.0,6.127909362144047,0.0,0.0,0.0,1.0,0.0,0.0,6.129147770848665,25.23646440383916,9.75,2.4234363573911333,1087.0110269153436,3615.0336989069647,9341.65004293333,9341.65004293333,26.28,9315.37004293333,193.2939283908666,0.083,0.0,no_control,0.083,26.28,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
19,161,2024-01-02 16:15:00,1.0,6.128734977843006,0.0,0.0,0.0,1.0,0.0,0.0,6.1299733107803505,25.236008423022078,9.5,2.527970802827744,1126.5168997495498,3746.416967396578,9381.154845923385,9381.154845923385,0.0,9381.154845923385,68.01337263294455,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
20,162,2024-01-02 16:30:00,1.0,6.1295605437936,0.0,0.0,0.0,1.0,0.0,0.0,6.1307987955968315,25.2354998050968,9.25,2.6233979214223253,1170.7919784480769,3893.6610132745036,9425.428577051889,9425.428577051889,0.0,9425.428577051889,68.3343571836262,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
21,163,2024-01-02 16:45:00,1.0,6.130386056168576,0.0,0.0,0.0,1.0,0.0,0.0,6.131624223034365,25.234948672768958,9.0,2.7099961947611817,1214.085272761867,4037.639973934336,9468.72034211435,9468.720342114348,0.0,9468.72034211435,68.64822248032904,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
22,164,2024-01-02 17:00:00,1.0,6.131211512263666,0.0,0.0,0.0,1.0,0.0,0.0,6.132449591245699,25.234330962859765,8.75,2.417691517676255,1145.0152947784322,3807.9364182110467,9399.64870224534,9399.648702245338,0.0,9399.64870224534,371.28612373869095,0.158,0.0,no_control,0.158,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
