step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
13,155,2024-01-02 14:45:00,1.0,6.123780687491243,0.0,0.0,0.0,1.0,0.0,0.0,6.1250193725954425,25.237452392920247,9.6,2.6124181038551417,1154.774036176039,3840.390715488396,9409.411634203529,9409.411634203529,0.0,9409.411634203529,68.21823434797558,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
14,156,2024-01-02 15:00:00,1.0,6.124606481522743,0.0,0.0,0.0,1.0,0.0,0.0,6.125845132309191,25.237439936430924,9.7,2.5405933932013514,1158.0423485867793,3851.2600251925574,9412.681531408154,9412.681531408152,93.72,9318.961531408155,193.3684517767192,0.083,0.0,rbc,0.083,93.72,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
15,157,2024-01-02 15:15:00,1.0,6.1254322554045295,0.0,0.0,0.0,1.0,0.0,0.0,6.126670856062248,25.237325732822885,9.8,2.4661981946758518,1136.2652928853745,3778.83684982979,9390.904989631805,9390.904989631805,0.0,9390.904989631805,68.0840611748306,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
16,158,2024-01-02 15:30:00,1.0,6.1262579971387785,0.0,0.0,0.0,1.0,0.0,0.0,6.1274965394601075,25.237127511349755,9.9,2.389185840563285,1104.452570292883,3673.038415979318,9359.092301977387,9359.092301977387,0.0,9359.092301977387,67.85341918933607,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
17,159,2024-01-02 15:45:00,1.0,6.127083700756214,0.0,0.0,0.0,1.0,0.0,0.0,6.128322178868931,25.23684937037385,10.0,2.3095091409082866,1068.0821338955984,3552.0825563196017,9322.721622811021,9322.721622811021,0.0,9322.721622811021,67.58973176537991,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
18,160,2024-01-02 16:00:00,1.0,6.127909362144047,0.0,0.0,0.0,1.0,0.0,0.0,6.129147770848665,25.23646440383916,9.75,2.4234363573911333,1087.0110269153436,3615.0336989069647,9341.65004293333,9341.65004293333,26.28,9315.37004293333,193.2939283908666,0.083,0.0,rbc,0.083,26.28,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
19,161,2024-01-02 16:15:00,1.0,6.128734977843006,0.0,0.0,0.0,1.0,0.0,0.0,6.1299733107803505,25.236008423022078,9.5,2.527970802827744,1126.5168997495498,3746.416967396578,9381.154845923385,9381.154845923385,0.0,9381.154845923385,68.01337263294455,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
20,162,2024-01-02 16:30:00,1.0,6.1295605437936,0.0,0.0,0.0,1.0,0.0,0.0,6.1307987955968315,25.2354998050968,9.25,2.6233979214223253,1170.7919784480769,3893.6610132745036,9425.428577051889,9425.428577051889,0.0,9425.428577051889,68.3343571836262,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
21,163,2024-01-02 16:45:00,1.0,6.130386056168576,0.0,0.0,0.0,1.0,0.0,0.0,6.131624223034365,25.234948672768958,9.0,2.7099961947611817,1214.085272761867,4037.639973934336,9468.72034211435,9468.720342114348,0.0,9468.72034211435,68.64822248032904,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
22,164,2024-01-02 17:00:00,1.0,6.131211512263666,0.5,1.0,0.0,0.0,2701.26393514768,0.0,6.546312247587149,25.03161905240659,8.75,2.417691517676255,0.0,0.0,7104.300397567878,7104.300397567876,0.0,7104.300397567878,280.61986570393117,0.158,0.5,rbc,0.158,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
23,165,2024-01-02 17:15:00,1.0,6.349061112538464,0.0,1.0,0.0,0.0,964.5765426581538,0.0,6.69491742657136,25.123675175759303,8.5,2.127946797850147,0.0,0.0,7159.7231780873,7159.7231780873,0.0,7159.7231780873,51.907993041132926,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
24,166,2024-01-02 17:30:00,1.0,6.6242317215340085,0.0,0.0,0.0,1.0,0.0,0.0,6.6957138174090645,25.200138296199746,8.25,1.840743679121912,787.2449275091248,2618.1123022413426,9040.775805398125,9040.775805398125,0.0,9040.775805398125,65.54562458913641,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
25,167,2024-01-02 17:45:00,0.995250351804531,6.695315624881849,0.0,0.0,0.0,1.0,0.0,0.0,6.696513478389914,25.223568571157077,8.0,1.55606381458665,725.9968145463189,2414.4216432943776,8980.293964257626,8980.293964257624,0.0,8980.293964257626,65.10713124086779,0.029,0.0,rbc,0.029,0.0,0.995250351804531,0.0,0.0,0.0,not_used,0.0,False,,0.0
26,168,2024-01-02 18:00:00,0.9951006283715031,6.696113650779888,0.5,1.0,0.0,0.0,112.82994106385627,0.0,6.714604525044397,25.252025250988392,7.25,1.1963342883461126,0.0,0.0,7249.435408952663,7249.435408952662,0.0,7249.435408952663,286.3526986536302,0.158,0.5,rbc,0.158,0.0,0.9951006283715031,0.5,0.0,0.0,not_used,0.0,False,,0.5
27,169,2024-01-02 18:15:00,0.9932459061399349,6.705999320274147,0.0,1.0,0.0,0.0,-897.8624972794879,0.0,6.577813467175158,25.222383260716864,6.5,0.8195801905627865,0.0,0.0,7317.15812378207,7317.15812378207,0.0,7317.15812378207,53.04939639742001,0.029,0.0,rbc,0.029,0.0,0.9932459061399349,0.0,0.0,0.0,not_used,0.0,False,,0.0
28,170,2024-01-02 18:30:00,1.0,6.642879631817941,0.0,0.0,0.0,1.0,0.0,0.0,6.5786118493608186,24.69232799313085,5.75,0.4264296428307089,0.0,0.0,7225.88616886679,7225.88616886679,0.0,7225.88616886679,52.38767472428423,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
29,171,2024-01-02 18:45:00,1.0,6.578414081638908,0.0,0.0,0.0,1.0,0.0,0.0,6.579394591792177,24.620962380195895,5.0,0.017474188127158098,0.0,0.0,7148.411583069066,7148.411583069067,0.0,7148.411583069066,51.82598397725073,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
30,172,2024-01-02 19:00:00,1.0,6.579003223376306,0.5,1.0,0.0,0.0,0.0,0.0,6.5801742167269275,24.59928739637113,5.0,0.21653058502083197,0.0,0.0,7158.078991734767,7158.078991734767,0.0,7158.078991734767,340.00875210740145,0.19,0.5,rbc,0.19,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
31,173,2024-01-02 19:15:00,1.0,6.5797844070657225,0.0,1.0,0.0,0.0,0.0,0.0,6.580952871564143,24.592345172561014,5.0,0.4145175756522574,0.0,0.0,7174.638235474174,7174.638235474174,0.0,7174.638235474174,52.016127207187765,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
32,174,2024-01-02 19:30:00,1.0,6.580563546949494,0.0,0.0,0.0,1.0,0.0,0.0,6.581731192987675,24.589497227315672,5.0,0.6114385857771828,0.0,0.0,7194.938799056272,7194.938799056272,0.0,7194.938799056272,52.16330629315797,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
33,175,2024-01-02 19:45:00,1.0,6.5813420350784835,0.0,0.0,0.0,1.0,0.0,0.0,6.582509357936644,24.58821829827253,5.0,0.8072998670663233,0.0,0.0,7218.537203116534,7218.537203116535,0.0,7218.537203116534,52.33439472259488,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
34,176,2024-01-02 20:00:00,1.0,6.582120278243983,0.5,1.0,0.0,0.0,0.0,0.0,6.583287434219184,24.587456931778846,4.8,0.518742562535989,0.0,0.0,7184.473502578342,7184.473502578341,0.0,7184.473502578342,341.26249137247123,0.19,0.5,rbc,0.19,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
35,177,2024-01-02 20:15:00,1.0,6.582898398899453,0.0,1.0,0.0,0.0,0.0,0.0,6.584065444204359,24.586892011093745,4.6,0.23273761692151862,0.0,0.0,7156.770287283985,7156.770287283985,0.0,7156.770287283985,51.886584582808894,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
36,178,2024-01-02 20:30:00,1.0,6.583676442034427,0.0,0.0,0.0,1.0,0.0,0.0,6.584843396383949,24.586415468450284,4.4,-0.36318926117945444,0.0,0.0,7113.032109952435,7113.0321099524335,0.0,7113.032109952435,51.56948279715516,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
37,179,2024-01-02 20:45:00,1.0,6.584454423090991,0.0,0.0,0.0,1.0,0.0,0.0,6.585621294579461,24.58598652558506,4.2,-0.6377204950952952,0.0,0.0,7097.54332220064,7097.54332220064,0.0,7097.54332220064,51.457189085954646,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
38,180,2024-01-02 21:00:00,1.0,6.585232348282902,0.5,1.0,0.0,0.0,0.0,0.0,6.5863991408501015,24.585609650503645,4.1000000000000005,-0.5689397390099692,0.0,0.0,7101.186709095825,7101.186709095826,0.0,7101.186709095825,280.4968750092851,0.158,0.5,rbc,0.158,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
39,181,2024-01-02 21:15:00,1.0,6.586010220529974,0.0,1.0,0.0,0.0,0.0,0.0,6.5871769374480635,24.58527622368123,4.0,-0.5015890466553257,0.0,0.0,7104.895239148216,7104.895239148214,0.0,7104.895239148216,51.51049048382457,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
40,182,2024-01-02 21:30:00,1.0,6.586788041955497,0.0,0.0,0.0,1.0,0.0,0.0,6.587954686252974,24.58498317879364,3.8999999999999995,-0.4356461851689672,0.0,0.0,7108.667798458982,7108.6677984589805,0.0,7108.667798458982,51.53784153882763,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
41,183,2024-01-02 21:45:00,1.0,6.587565814640533,0.0,0.0,0.0,1.0,0.0,0.0,6.588732389011874,24.584726998931746,3.8,-0.37109567904044993,0.0,0.0,7112.5030275001445,7112.503027500142,0.0,7112.5030275001445,51.56564694937605,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
42,184,2024-01-02 22:00:00,1.0,6.588343540411058,0.0,0.0,0.0,1.0,0.0,0.0,6.589510047319756,24.58449759965348,3.6499999999999995,-0.2820878603590211,0.0,0.0,7118.037595262032,7118.037595262032,0.0,7118.037595262032,147.69928010168715,0.083,0.0,rbc,0.083,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
43,185,2024-01-02 22:15:00,1.0,6.5891212209498375,0.0,0.0,0.0,1.0,0.0,0.0,6.5902876623357685,24.584293930448943,3.5,0.04744201561355238,0.0,0.0,7141.323025713242,7141.32302571324,0.0,7141.323025713242,51.774591936421004,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
44,186,2024-01-02 22:30:00,1.0,6.589898857644653,0.0,0.0,0.0,1.0,0.0,0.0,6.591065235173616,24.584115885562493,3.3500000000000005,0.11605082698422882,0.0,0.0,7146.791112541062,7146.791112541062,0.0,7146.791112541062,51.8142355659227,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
45,187,2024-01-02 22:45:00,1.0,6.5906764515472664,0.0,0.0,0.0,1.0,0.0,0.0,6.591842766942381,24.583956643831975,3.2,0.1807632711273731,0.0,0.0,7152.168220015081,7152.168220015081,0.0,7152.168220015081,51.85321959510934,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
46,188,2024-01-02 23:00:00,1.0,6.5914540038690275,0.0,0.0,0.0,1.0,0.0,0.0,6.592620258456346,24.583820320444115,3.1250000000000004,0.07099461191425917,0.0,0.0,7143.157958101697,7143.157958101695,0.0,7143.157958101697,148.2205276306102,0.083,0.0,rbc,0.083,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
47,189,2024-01-02 23:15:00,1.0,6.592231515486605,0.0,0.0,0.0,1.0,0.0,0.0,6.593397710707581,24.583699839529615,3.05,-0.25395460495370475,0.0,0.0,7119.821640317514,7119.821640317513,0.0,7119.821640317514,51.61870689230198,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
48,190,2024-01-02 23:30:00,1.0,6.593008987401113,0.0,0.0,0.0,1.0,0.0,0.0,6.59417512438235,24.583590454747778,2.9749999999999996,-0.3602624427160445,0.0,0.0,7113.126892252181,7113.12689225218,0.0,7113.126892252181,51.57016996882832,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
49,191,2024-01-02 23:45:00,1.0,6.593786420365939,0.0,0.0,0.0,1.0,0.0,0.0,6.5949524999617815,24.583488547628605,2.9,-0.4661639167962876,0.0,0.0,7106.856528404749,7106.856528404747,0.0,7106.856528404749,51.524709830934434,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
50,192,2024-01-03 00:00:00,1.0,6.594563814969377,0.0,0.0,0.0,1.0,0.0,0.0,6.595729837770623,24.58337308623785,2.675,-0.65475764667674,0.0,0.0,7096.590013148813,7096.590013148813,0.0,7096.590013148813,51.4502775953289,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
51,193,2024-01-03 00:15:00,1.0,6.595341171663832,0.0,0.0,0.0,1.0,0.0,0.0,6.5965071372247515,24.58325016306902,2.45,-0.8435853401994047,0.0,0.0,7087.33810395346,7087.338103953458,0.0,7087.33810395346,51.383201253662584,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
52,194,2024-01-03 00:30:00,1.0,6.596118490275581,0.0,0.0,0.0,1.0,0.0,0.0,6.597284398003346,24.583120536857248,2.225,-1.0326459548170825,0.0,0.0,7078.97285134751,7078.972851347509,0.0,7078.97285134751,51.32255317226945,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
53,195,2024-01-03 00:45:00,1.0,6.596895770394419,0.0,0.0,0.0,1.0,0.0,0.0,6.598061619818385,24.582983780495745,2.0,-1.2219402789647673,0.0,0.0,7071.391624886058,7071.391624886057,0.0,7071.391624886058,51.26758928042392,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
54,196,2024-01-03 01:00:00,1.0,6.597673011713804,0.0,0.0,0.0,1.0,0.0,0.0,6.598838802363403,24.582873542964798,2.025,-1.0484006388605904,0.0,0.0,7078.306797843091,7078.306797843091,0.0,7078.306797843091,51.31772428436241,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
55,197,2024-01-03 01:15:00,1.0,6.598450213888306,0.0,0.0,0.0,1.0,0.0,0.0,6.59961594678602,24.58278119082964,2.05,-0.8753137644966409,0.0,0.0,7085.862775044769,7085.862775044768,0.0,7085.862775044769,51.372505119074575,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
56,198,2024-01-03 01:30:00,1.0,6.5992273773826815,0.0,0.0,0.0,1.0,0.0,0.0,6.600393053860735,24.58270661101934,2.075,-0.7026811473822282,0.0,0.0,7094.134381517595,7094.134381517595,0.0,7094.134381517595,51.432474266002565,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
57,199,2024-01-03 01:45:00,1.0,6.600004503119488,0.0,0.0,0.0,1.0,0.0,0.0,6.601170124357122,24.58265218970575,2.1,-0.5305070033018727,0.0,0.0,7103.207035199821,7103.207035199821,0.0,7103.207035199821,51.4982510051987,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
58,200,2024-01-03 02:00:00,1.0,6.600781591922167,0.0,0.0,0.0,1.0,0.0,0.0,6.601947159147844,24.582614708884265,2.125,-0.7739034957602298,0.0,0.0,7090.624107857945,7090.624107857945,0.0,7090.624107857945,51.40702478197011,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
59,201,2024-01-03 02:15:00,1.0,6.601558644570812,0.0,0.0,0.0,1.0,0.0,0.0,6.602724158966463,24.58259454762636,2.1500000000000004,-1.019196606327188,0.0,0.0,7079.527702387705,7079.527702387706,0.0,7079.527702387705,51.32657584231087,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
60,202,2024-01-03 02:30:00,1.0,6.6023356618744,0.0,0.0,0.0,1.0,0.0,0.0,6.603501124562889,24.58259061994641,2.1750000000000003,-1.2663917220878866,0.0,0.0,7069.707482689867,7069.707482689867,0.0,7069.707482689867,51.25537924950154,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
61,203,2024-01-03 02:45:00,1.0,6.60311264457958,0.0,0.0,0.0,1.0,0.0,0.0,6.6042780566400765,24.582600200925604,2.2,-1.515492125528417,0.0,0.0,7060.981858158951,7060.98185815895,0.0,7060.981858158951,51.19211847165239,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
62,204,2024-01-03 03:00:00,1.0,6.603889593417842,0.0,0.0,0.0,1.0,0.0,0.0,6.605054955783196,24.582610718932656,2.1500000000000004,-1.3551606473147824,0.0,0.0,7066.472690357345,7066.472690357344,0.0,7066.472690357345,51.23192700509075,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
63,205,2024-01-03 03:15:00,1.0,6.604666508991767,0.0,0.0,0.0,1.0,0.0,0.0,6.60583182203413,24.582621283751493,2.1,-1.1962581739235625,0.0,0.0,7072.367761441785,7072.367761441784,0.0,7072.367761441785,51.27466627045294,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
64,206,2024-01-03 03:30:00,1.0,6.605443391711196,0.0,0.0,0.0,1.0,0.0,0.0,6.6066086553963,24.582630617001318,2.05,-1.0387723733844938,0.0,0.0,7078.702236291597,7078.702236291597,0.0,7078.702236291597,51.32059121311408,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
65,207,2024-01-03 03:45:00,1.0,6.606220241506682,0.0,0.0,0.0,1.0,0.0,0.0,6.607385455817877,24.582638215145156,2.0,-0.8826855317331079,0.0,0.0,7085.520920605633,7085.520920605633,0.0,7085.520920605633,51.37002667439084,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
66,208,2024-01-03 04:00:00,1.0,6.606997058400231,0.0,0.0,0.0,1.0,0.0,0.0,6.608162223225271,24.582653735774436,2.0,-0.8826855317331079,0.0,0.0,7085.52089130609,7085.520891306089,0.0,7085.52089130609,51.370026461969154,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
67,209,2024-01-03 04:15:00,1.0,6.607773842328792,0.0,0.0,0.0,1.0,0.0,0.0,6.608938957962241,24.58268328185145,2.0,-0.8826855317331079,0.0,0.0,7085.521088109856,7085.521088109855,0.0,7085.521088109856,51.37002788879646,0.029,0.0,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
