step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
51,193,2024-01-03 00:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
52,194,2024-01-03 00:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
53,195,2024-01-03 00:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
54,196,2024-01-03 01:00:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
55,197,2024-01-03 01:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
56,198,2024-01-03 01:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
57,199,2024-01-03 01:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
58,200,2024-01-03 02:00:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
59,201,2024-01-03 02:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
60,202,2024-01-03 02:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
61,203,2024-01-03 02:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
62,204,2024-01-03 03:00:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
63,205,2024-01-03 03:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
64,206,2024-01-03 03:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
65,207,2024-01-03 03:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
66,208,2024-01-03 04:00:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
67,209,2024-01-03 04:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
68,210,2024-01-03 04:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
69,211,2024-01-03 04:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
70,212,2024-01-03 05:00:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
71,213,2024-01-03 05:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
72,214,2024-01-03 05:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
73,215,2024-01-03 05:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
74,216,2024-01-03 06:00:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
75,217,2024-01-03 06:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
76,218,2024-01-03 06:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
77,219,2024-01-03 06:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
78,220,2024-01-03 07:00:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
79,221,2024-01-03 07:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
80,222,2024-01-03 07:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
81,223,2024-01-03 07:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
82,224,2024-01-03 08:00:00,rbc,0.158,28.5,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
83,225,2024-01-03 08:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
84,226,2024-01-03 08:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
85,227,2024-01-03 08:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
86,228,2024-01-03 09:00:00,rbc,0.158,222.9,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
87,229,2024-01-03 09:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
88,230,2024-01-03 09:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
89,231,2024-01-03 09:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
90,232,2024-01-03 10:00:00,rbc,0.158,165.18,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
91,233,2024-01-03 10:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
92,234,2024-01-03 10:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
93,235,2024-01-03 10:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
94,236,2024-01-03 11:00:00,rbc,0.083,304.38,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
95,237,2024-01-03 11:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
