timestamp,step,solve_status,objective_value,solve_time_s,mip_gap,mode_index,predicted_peak_grid_kw,episode_peak_grid_so_far_kw
2025-07-01 00:00:00,0,optimal,13741.64561773024,0.05142780000460334,7.232201114206053e-05,-1,21090.0,18000.0
2025-07-01 00:15:00,1,optimal,13733.722040197581,0.08766399999149144,0.00012206005263076182,-1,21090.0,18000.0
2025-07-01 00:30:00,2,optimal,13731.624197730242,0.046056599996518344,0.0007541844589793534,-1,21090.0,18000.0
2025-07-01 00:45:00,3,optimal,13724.113487730241,0.04964460000337567,0.0008338855042502699,-1,21090.0,18000.0
2025-07-01 01:00:00,4,optimal,13716.602777730239,0.045857300006900914,0.0011224963715784912,-1,21090.0,18000.0
2025-07-01 01:15:00,5,optimal,13903.846216788683,0.030058699994697236,0.00028981907209586354,-1,21090.0,18000.0
2025-07-01 01:30:00,6,optimal,14101.818866863863,0.0460124000092037,0.00011554218254834328,-1,21090.0,18000.0
2025-07-01 01:45:00,7,optimal,14304.668439363342,0.0942232000088552,0.0001389642179110936,-1,21090.0,18000.0
2025-07-01 02:00:00,8,optimal,14573.457302082868,0.02936010000121314,0.004604254236944344,-1,21090.0,18000.0
2025-07-01 02:15:00,9,optimal,14732.432827194534,0.02894979999109637,1.1740541539695171e-05,-1,21090.0,18000.0
2025-07-01 02:30:00,10,optimal,14959.132763411068,0.029365100010181777,2.5477341749784857e-05,-1,21090.0,18000.0
2025-07-01 02:45:00,11,optimal,15186.373994976222,0.029542099990067072,3.471365076522215e-05,-1,21090.0,18000.0
2025-07-01 03:00:00,12,optimal,15439.346992987816,0.07853090000571683,0.0003606139163987554,2,21090.0,21090.0
2025-07-01 03:15:00,13,optimal,15673.821791846247,0.09674520000407938,0.0003090644646303754,2,21090.0,21090.0
2025-07-01 03:30:00,14,optimal,15914.348180726463,0.11003019999770913,0.00026985596708608184,2,21090.0,21090.0
2025-07-01 03:45:00,15,optimal,16196.343879138201,0.0361986999923829,0.002752706536605306,2,21049.2,21090.0
2025-07-01 04:00:00,16,optimal,16455.96341636636,0.04080709999834653,0.0030110916785321936,2,21090.0,21090.0
2025-07-01 04:15:00,17,optimal,16712.02454213675,0.04351360000146087,0.003038812560322123,2,21090.0,21090.0
2025-07-01 04:30:00,18,optimal,16968.82241280591,0.039319700008491054,0.0030606286931228245,2,21090.0,21090.0
2025-07-01 04:45:00,19,optimal,17226.340834058545,0.03400619998865295,0.0030769283010142383,2,21090.0,21090.0
2025-07-01 05:00:00,20,optimal,17484.56052607114,0.03314970000064932,0.0030880987344578275,2,21049.2,21090.0
2025-07-01 05:15:00,21,optimal,18109.537460167307,0.039417399995727465,0.002618105130839736,2,21049.2,21090.0
2025-07-01 05:30:00,22,optimal,18736.682704039908,0.02343000000109896,0.0022111131138443946,2,21049.2,21090.0
2025-07-01 05:45:00,23,optimal,19331.44239105234,0.022039700008463115,5.792361645575253e-05,2,21049.2,21090.0
2025-07-01 06:00:00,24,optimal,19975.462900489925,0.020990899996832013,0.00043499001068499223,2,20842.62,21090.0
2025-07-01 06:15:00,25,optimal,20619.057808109712,0.09626399999251589,8.585780655789484e-05,2,20842.62,21090.0
2025-07-01 06:30:00,26,optimal,21279.883049850607,0.0206188000011025,0.0005201823741203319,2,20842.62,21090.0
2025-07-01 06:45:00,27,optimal,21926.269594156947,0.0224307000025874,0.00022670085648344158,2,20842.62,21090.0
2025-07-01 07:00:00,28,optimal,22581.161235289877,0.02214649999223184,0.00028601311249480736,2,20328.24,21090.0
2025-07-01 07:15:00,29,optimal,23394.13506390649,0.023295100007089786,2.4079852218631298e-05,2,20328.24,21090.0
2025-07-01 07:30:00,30,optimal,24216.75542059368,0.022611799999140203,3.5324964636341317e-06,2,20328.24,21090.0
2025-07-01 07:45:00,31,optimal,25047.839715537397,0.10098909999942407,0.0002554695674779041,2,20328.24,21090.0
2025-07-01 08:00:00,32,optimal,25872.593047966115,0.0709424999949988,0.00019867101325152497,-1,20255.34,21090.0
2025-07-01 08:15:00,33,optimal,26184.834497668566,0.08256899999105372,0.00048248884730288914,-1,20255.34,21090.0
2025-07-01 08:30:00,34,optimal,26579.459033643463,0.028871000002254732,0.0025603787163233195,-1,20315.52,21090.0
2025-07-01 08:45:00,35,optimal,26906.062388408573,0.029170800000429153,0.002023165959088641,-1,20315.52,21090.0
2025-07-01 09:00:00,36,optimal,27201.79471935195,0.029072700010146946,0.00033234581114227987,-1,21008.52,21090.0
2025-07-01 09:15:00,37,optimal,27416.736594351947,0.026605500010191463,0.00035977751122385473,-1,21008.52,21090.0
2025-07-01 09:30:00,38,optimal,27626.62839224285,0.026178200001595542,0.0003787694904521925,-1,21008.52,21090.0
2025-07-01 09:45:00,39,optimal,27836.37017324431,0.045126800003345124,0.00032476944638499877,-1,21008.52,21090.0
2025-07-01 10:00:00,40,optimal,28045.862639971347,0.05014600000868086,0.0004183367859900161,-1,21008.52,21090.0
