timestamp,step,solve_status,objective_value,solve_time_s,mip_gap,mode_index,peak_grid_kw
2025-07-01 00:00:00,0,optimal,9950.076723948034,0.3951558999833651,0.0,2,3090.0
2025-07-01 00:15:00,1,optimal,10017.147119489831,0.3756989999965299,0.0,2,3090.0
2025-07-01 00:30:00,2,optimal,10086.11650078169,0.3068136000074446,0.0,2,3090.0
2025-07-01 00:45:00,3,optimal,10151.486583994749,0.35529419998056255,0.0,2,3090.0
2025-07-01 01:00:00,4,optimal,10214.986695805808,0.35189650001120754,0.00018566639507098682,2,3090.0
2025-07-01 01:15:00,5,optimal,10270.128928012065,0.5280349999957252,5.6591702748299474e-05,2,3090.0
2025-07-01 01:30:00,6,optimal,10324.820569617003,0.6286939000128768,0.0004081042340015035,2,3090.0000000000005
2025-07-01 01:45:00,7,optimal,10368.61197695884,0.4064446999982465,0.00023838461965824704,2,3090.0
2025-07-01 02:00:00,8,optimal,10406.935254536962,0.47880979999899864,0.00011964849460916266,2,3090.0
2025-07-01 02:15:00,9,optimal,10439.506969540764,0.5210878000070807,4.413542285755495e-05,2,3090.0000000000005
2025-07-01 02:30:00,10,optimal,10471.460732852587,0.557349599985173,0.0005179806344132859,2,3090.0
2025-07-01 02:45:00,11,optimal,10491.046799611391,0.5045493999787141,0.0004248046661695287,2,3090.0000000000564
2025-07-01 03:00:00,12,optimal,10504.255673440093,0.4756535999767948,0.0003638524552875334,2,3090.0000000000005
2025-07-01 03:15:00,13,optimal,10510.997556432343,0.5040901000029407,0.00033644480359833656,2,3090.0000000000246
2025-07-01 03:30:00,14,optimal,10511.126058580227,0.5217699000204448,0.00033592274765756715,2,3090.000000000296
2025-07-01 03:45:00,15,optimal,10510.688541005795,0.5835165999887977,0.0003359367307686818,2,3090.0
2025-07-01 04:00:00,16,optimal,10509.808678437088,0.5542088999936823,0.00033596485480113337,2,3090.000000000739
2025-07-01 04:15:00,17,optimal,10508.492194454311,0.44945530002587475,0.0003360069438380167,2,3090.0
2025-07-01 04:30:00,18,optimal,10506.746682317671,0.5061388000031002,0.00034780665329958607,2,3090.0000000000005
2025-07-01 04:45:00,19,optimal,10504.581572451641,0.4514881999930367,0.00040504765416716153,2,3090.0
2025-07-01 05:00:00,20,optimal,10502.008092062802,0.5826943999854848,0.0004325385719077098,2,3090.0
2025-07-01 05:15:00,21,optimal,10499.277162062806,0.5540487999969628,0.00046353881713392237,2,3090.000000000581
2025-07-01 05:30:00,22,optimal,10496.165506503825,0.5697645999898668,0.0004967818272619777,2,3090.0
2025-07-01 05:45:00,23,optimal,10492.689424763299,0.7823335999855772,0.0005331200188165269,2,3090.000000000081
2025-07-01 06:00:00,24,optimal,10486.93628266849,0.5376230000110809,0.00039230435406747754,2,3090.0
2025-07-01 06:15:00,25,optimal,10484.860021412991,0.8660345000098459,0.00046156001400041754,2,3090.0
2025-07-01 06:30:00,26,optimal,10480.546788932048,0.8626894000044558,0.0005377930810530377,2,3090.0
2025-07-01 06:45:00,27,optimal,10475.949136859332,0.7161037000187207,0.0005937776026762344,2,3090.000000000133
2025-07-01 07:00:00,28,optimal,10471.305946859255,0.8296245000092313,0.000600578180399465,2,3090.0
2025-07-01 07:15:00,29,optimal,10466.282131859241,0.8761852000025101,0.0006906552031107275,2,3090.0000000000005
2025-07-01 07:30:00,30,optimal,10460.135219054004,0.8889140999817755,0.0006749713535791303,2,3090.0
2025-07-01 07:45:00,31,optimal,10454.139723568069,0.9802885000244714,0.0007120037454495565,2,3090.0
2025-07-01 08:00:00,32,optimal,10447.212747595819,0.9782602000050247,0.000647741210450703,2,3090.0000000000177
2025-07-01 08:15:00,33,optimal,10411.917922959376,0.9497368000156712,0.0004623685556079424,2,3090.0
2025-07-01 08:30:00,34,optimal,10376.58345315708,0.965268499974627,0.0004101505016966501,2,3090.0
2025-07-01 08:45:00,35,optimal,10340.377478283499,0.7913349000154994,0.00027339738439973295,2,3090.0
2025-07-01 09:00:00,36,optimal,10297.555915436296,0.7135269999853335,0.0002116023397988223,2,3090.0
2025-07-01 09:15:00,37,optimal,10264.018960751071,0.8761710999824572,0.00019715026866126936,2,3090.0
2025-07-01 09:30:00,38,optimal,10225.505133539717,0.7404455000068992,0.00018715724686647387,2,3090.0000000002206
2025-07-01 09:45:00,39,optimal,10187.044571363898,0.8356056000047829,0.00018736254586879794,2,3090.0
2025-07-01 10:00:00,40,optimal,10148.675057131528,0.8646478999871761,0.00015230748437531285,2,3090.000000000833
2025-07-01 10:15:00,41,optimal,10120.54941512865,0.8476722000050358,0.0002486129802637061,2,3090.000000000313
2025-07-01 10:30:00,42,optimal,10089.958657131554,0.8801065999723505,0.00018942966862242315,2,3090.0
2025-07-01 10:45:00,43,optimal,10058.100457131439,0.6609273999929428,0.0001834367336777635,2,3090.0
2025-07-01 11:00:00,44,optimal,10026.242257131504,0.72422390000429,0.00018373956764435894,2,3090.0000000002665
2025-07-01 11:15:00,45,optimal,10021.010227131446,0.7097767000086606,0.00017670124198654856,2,3090.0
2025-07-01 11:30:00,46,optimal,10015.77819713146,0.7463958000007551,0.00017415926321658604,2,3090.0
2025-07-01 11:45:00,47,optimal,10010.54616713152,0.6215165999892633,0.00018430813505357967,2,3090.0000000003142
2025-07-01 12:00:00,48,optimal,10005.3141371315,0.7670891000016127,0.00018412389577934055,2,3090.0000000001946
2025-07-01 12:15:00,49,optimal,10003.599337131534,0.8069909000187181,0.0001844361247176058,2,3090.000000000857
2025-07-01 12:30:00,50,optimal,10001.88453713147,0.5658577000140212,0.00018446774586387786,2,3090.0
2025-07-01 12:45:00,51,optimal,10000.169737131455,0.7343985000043176,0.0001844993778474774,2,3090.0
2025-07-01 13:00:00,52,optimal,9998.45493713148,0.5707844999851659,0.00017676947458916627,2,3090.0
2025-07-01 13:15:00,53,optimal,9992.8748471315,0.778191199991852,0.0001846340640855837,2,3090.0
2025-07-01 13:30:00,54,optimal,9987.294757131507,0.5567309999896679,0.00018473722262994465,2,3090.0000000001514
2025-07-01 13:45:00,55,optimal,9981.714667131499,0.5424492000020109,0.00018484049649140482,2,3090.0
2025-07-01 14:00:00,56,optimal,9976.134577131454,0.7333412000152748,0.00018494388589154978,2,3090.0
2025-07-01 14:15:00,57,optimal,9953.905182131486,0.5296613000100479,0.00018535690878592818,2,3090.0
2025-07-01 14:30:00,58,optimal,9926.67578713145,0.5760465000057593,0.0001858653525574842,2,3090.0
2025-07-01 14:45:00,59,optimal,9899.446392131553,0.714824700000463,0.00018218640800654165,2,3090.0000000012783
2025-07-01 15:00:00,60,optimal,9872.21699713147,0.7462732999993023,0.00018548609235189754,2,3090.0
2025-07-01 15:15:00,61,optimal,9843.787837131486,0.9612452000146732,0.00018743040031246068,2,3090.0
2025-07-01 15:30:00,62,optimal,9817.95762405184,1.0367308999993838,0.00015955069930187533,2,3090.0000000000005
2025-07-01 15:45:00,63,optimal,9804.550909600186,0.857768899993971,7.980996446848855e-05,2,3090.0000000001046
2025-07-01 16:00:00,64,optimal,9793.440039313251,0.771319699997548,6.126869930994788e-05,2,3090.0
2025-07-01 16:15:00,65,optimal,9792.2771029327,0.9922325999941677,0.0001963611194308286,2,3090.0
2025-07-01 16:30:00,66,optimal,9787.498706458757,0.8986910000094213,0.00014070812122449054,2,3090.000000000006
2025-07-01 16:45:00,67,optimal,9785.56117148117,0.7884477000043262,3.700717127212648e-06,2,3090.0
2025-07-01 17:00:00,68,optimal,9789.29685726866,0.768972699996084,0.0,2,3090.0
2025-07-01 17:15:00,69,optimal,9753.681026452412,0.8269956999865826,0.0002057495588959198,2,3090.0
2025-07-01 17:30:00,70,optimal,9719.091338052078,0.8362081999948714,6.982751378947847e-05,2,3090.0
2025-07-01 17:45:00,71,optimal,9693.98173879628,0.7868509999825619,0.000488036180785503,2,3090.0
2025-07-01 18:00:00,72,optimal,9694.71524775099,0.6318414999986999,3.144746788547869e-06,2,3090.0
2025-07-01 18:15:00,73,optimal,9727.001252931052,0.6624548000108916,0.00028432729553798137,2,3090.0
2025-07-01 18:30:00,74,optimal,9765.419124235046,0.8689426000055391,0.0005231648000258634,2,3090.0
2025-07-01 18:45:00,75,optimal,9805.226615292882,0.9496314999996684,0.0006855779573560378,2,3090.0
2025-07-01 19:00:00,76,optimal,9844.548741551682,0.8551944000064395,0.0006078031865495011,-1,3090.0
2025-07-01 19:15:00,77,optimal,10013.02818066384,0.7679684999748133,0.0003697520113317145,-1,3090.0
2025-07-01 19:30:00,78,optimal,10187.193817641311,0.4382915000023786,0.0,-1,3090.0
2025-07-01 19:45:00,79,optimal,10378.044811100759,0.4122386000235565,0.0,-1,3090.0
2025-07-01 20:00:00,80,optimal,10585.839508663454,0.5773664999869652,0.0003698369756894703,-1,3090.0
2025-07-01 20:15:00,81,optimal,10828.541264975518,0.12926200000219978,0.003983505351981465,2,3090.0
2025-07-01 20:30:00,82,optimal,10851.264236928893,0.6255749999836553,0.0005615995023950284,2,3090.0000000019845
2025-07-01 20:45:00,83,optimal,10905.343832330596,0.5492864999978337,0.00023016822613058412,2,3090.0
2025-07-01 21:00:00,84,optimal,10969.904666993254,0.5664499999838881,0.0008840527281312847,2,3090.0000000000127
2025-07-01 21:15:00,85,optimal,11030.722127407897,0.29139579998445697,0.0011515035225910315,2,3090.0
2025-07-01 21:30:00,86,optimal,11084.707928527852,0.11131860001478344,0.001667753048697921,2,3090.000000002499
2025-07-01 21:45:00,87,optimal,11139.252635364886,0.10741050000069663,0.0010605167045218875,2,3090.0
2025-07-01 22:00:00,88,optimal,11194.152775472228,0.10583470002165996,0.0005154042181944378,2,3090.0
2025-07-01 22:15:00,89,optimal,11249.175115352364,0.10609650000697002,3.312010777192673e-05,2,3090.0
2025-07-01 22:30:00,90,optimal,11649.78241585991,0.1005752999917604,0.0,2,3090.0
2025-07-01 22:45:00,91,optimal,12462.10111868376,0.09690390000469051,0.0,2,3090.0
2025-07-01 23:00:00,92,optimal,13676.343716637384,0.09704149997560307,0.0,2,3090.0
2025-07-01 23:15:00,93,optimal,15277.235667202513,0.09915049999835901,0.0,2,3090.0
2025-07-01 23:30:00,94,optimal,17248.02384323207,0.09644729999126866,0.0,2,3090.0
2025-07-01 23:45:00,95,optimal,19570.547276208294,0.09828550001839176,0.0,2,3090.0
