timestamp,step,controller,Q_load_kw_th,P_nonplant_kw,P_pv_kw,T_wb_C,price_cny_per_kwh,cp_flag,Q_chiller_kw_th,Q_tes_net_kw_th,P_plant_kw,P_grid_pos_kw,P_spill_kw,d_peak_kw,peak_slack_kw,soc,soc_next,u_signed,signed_du,mode_index,solver_status,solver_time_s
2025-07-01 00:45:00,3,paper_like_mpc_tes,2215.5447396043865,18000.0,0.0,27.22228093207841,0.029,0,0.0,-2215.5447396043865,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.40611716478972654,0.3751426514906041,-0.49234327546764145,0.0023517683351779173,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 01:00:00,4,paper_like_mpc_tes,2204.7239309937154,18000.0,0.0,27.0,0.029,0,0.0,-2204.7239309937154,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.3751426514906041,0.3443339144566128,-0.48993865133193676,0.0024046241357046916,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 01:15:00,5,paper_like_mpc_tes,2193.7116076443867,18000.0,0.0,26.769154760876006,0.029,0,0.0,-2193.7116076443867,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.3443339144566128,0.3136935307265458,-0.4874914683654193,0.0024471829665174694,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 01:30:00,6,paper_like_mpc_tes,2182.554926015625,18000.0,0.0,26.53073372946036,0.029,0,0.0,-2182.554926015625,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.3136935307265458,0.28322342109985443,-0.48501220578125,0.002479262584169306,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 01:45:00,7,paper_like_mpc_tes,2171.3016607309687,18000.0,0.0,26.285757861212645,0.029,0,0.0,-2171.3016607309687,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.28322342109985443,0.25292484187915215,-0.4825114801624375,0.0025007256188124827,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 02:00:00,8,paper_like_mpc_tes,2160.0,18000.0,0.0,26.035276180410083,0.029,0,0.0,-2160.0,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.25292484187915215,0.2227983794582126,-0.48,0.0025114801624375183,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 02:15:00,9,paper_like_mpc_tes,2148.6983392690313,18000.0,0.0,25.780361288064512,0.029,0,0.0,-2148.6983392690313,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.2227983794582126,0.19284394777863584,-0.4774885198375625,0.0025114801624374627,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 02:30:00,10,paper_like_mpc_tes,2137.445073984375,18000.0,0.0,25.522104768880208,0.029,0,0.0,-2137.445073984375,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.19284394777863584,0.16306078866607465,-0.47498779421875004,0.0025007256188124827,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 02:45:00,11,paper_like_mpc_tes,2126.2883923556133,18000.0,0.0,25.26161251692057,0.029,0,0.0,-2126.2883923556133,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.16306078866607465,0.13344747504458032,-0.47250853163458073,0.002479262584169306,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 03:00:00,12,paper_like_mpc_tes,2115.2760690062846,18000.0,0.0,25.0,0.029,0,0.0,-2115.2760690062846,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.13344747504458032,0.10400191701530409,-0.47006134866806326,0.0024471829665174694,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 03:15:00,13,paper_like_mpc_tes,2104.4552603956135,18000.0,0.0,24.73838748307943,0.029,0,0.0,-2104.4552603956135,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.10400191701530409,0.07472137077352403,-0.46765672453235857,0.0024046241357046916,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 03:30:00,14,paper_like_mpc_tes,2093.8723028873123,18000.0,0.0,24.477895231119792,0.029,0,0.0,-2093.8723028873123,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.07472137077352403,0.04560245032581349,-0.46530495619718054,0.0023517683351780283,-1,optimal_relaxed_modes,0.015418800001498312
2025-07-01 03:45:00,15,paper_like_mpc_tes,2083.5725143301565,18000.0,0.0,24.219638711935488,0.029,0,0.0,-2083.5725143301565,0.0,18000.0,0.0,18320.176799999997,535.2638400000033,0.04560245032581349,0.016641141957176187,-0.46301611429559036,0.0022888419015901773,-1,optimal_relaxed_modes,0.015418800001498312
