timestamp,it_load_kw,base_facility_kw,chiller_cooling_kw,chiller_electricity_kw
2025-01-01 00:00:00,6991.685584588679,6991.685584588679,0.0,0.0
2025-01-01 00:15:00,6985.675983160578,6985.675983160578,0.0,0.0
2025-01-01 00:30:00,6981.384313398213,6981.384313398213,0.0,0.0
2025-01-01 00:45:00,6978.230897084646,6978.230897084646,0.0,0.0
2025-01-01 01:00:00,6978.64774078345,6978.64774078345,0.0,0.0
2025-01-01 01:15:00,6979.0867873965935,6979.0867873965935,0.0,0.0
2025-01-01 01:30:00,6979.547204804752,6979.547204804752,0.0,0.0
2025-01-01 01:45:00,6980.02974138278,6980.02974138278,0.0,0.0
2025-01-01 02:00:00,6981.885460586533,6981.885460586533,0.0,0.0
2025-01-01 02:15:00,6984.043950192023,6984.043950192023,0.0,0.0
2025-01-01 02:30:00,6986.5619430668585,6986.5619430668585,0.0,0.0
2025-01-01 02:45:00,6989.510070993714,6989.510070993714,0.0,0.0
2025-01-01 03:00:00,6986.698913932205,6986.698913932205,0.0,0.0
2025-01-01 03:15:00,6984.256810281717,6984.256810281717,0.0,0.0
2025-01-01 03:30:00,6982.135656276128,6982.135656276128,0.0,0.0
2025-01-01 03:45:00,6980.291020311117,6980.291020311117,0.0,0.0
2025-01-01 04:00:00,6979.604532104401,6979.604532104401,0.0,0.0
2025-01-01 04:15:00,6978.967959838964,6978.967959838964,0.0,0.0
2025-01-01 04:30:00,6978.3759389962825,6978.3759389962825,0.0,0.0
2025-01-01 04:45:00,6977.824397044356,6977.824397044356,0.0,0.0
2025-01-01 05:00:00,6979.353829860434,6979.353829860434,0.0,0.0
2025-01-01 05:15:00,6981.145284776489,6981.145284776489,0.0,0.0
2025-01-01 05:30:00,6983.256005898605,6983.256005898605,0.0,0.0
2025-01-01 05:45:00,6985.759789311363,6985.759789311363,0.0,0.0
2025-01-01 06:00:00,6983.804477378428,6983.804477378428,0.0,0.0
2025-01-01 06:15:00,6982.095413003552,6982.095413003552,0.0,0.0
2025-01-01 06:30:00,6980.595795490364,6980.595795490364,0.0,0.0
2025-01-01 06:45:00,6979.273538785428,6979.273538785428,0.0,0.0
2025-01-01 07:00:00,6979.434546117054,6979.434546117054,0.0,0.0
2025-01-01 07:15:00,6979.59900752989,6979.59900752989,0.0,0.0
2025-01-01 07:30:00,6979.766229137689,6979.766229137689,0.0,0.0
2025-01-01 07:45:00,6979.936048661155,6979.936048661155,0.0,0.0
2025-01-01 08:00:00,6980.967760927174,6980.967760927174,0.0,0.0
2025-01-01 08:15:00,6982.085778139151,6982.085778139151,0.0,0.0
2025-01-01 08:30:00,6983.296489092056,6983.296489092056,0.0,0.0
2025-01-01 08:45:00,6984.606946319063,6984.606946319063,0.0,0.0
2025-01-01 09:00:00,6987.484093863069,6987.484093863069,0.0,0.0
2025-01-01 09:15:00,6991.017826701573,6991.017826701573,0.0,0.0
2025-01-01 09:30:00,6995.420042835565,6995.420042835565,0.0,0.0
2025-01-01 09:45:00,7000.9935648463215,7000.9935648463215,0.0,0.0
2025-01-01 10:00:00,7002.749703785913,7002.749703785913,0.0,0.0
2025-01-01 10:15:00,7004.496260159798,7004.496260159798,0.0,0.0
2025-01-01 10:30:00,7006.212764175389,7006.212764175389,0.0,0.0
2025-01-01 10:45:00,7007.873436285528,7007.873436285528,0.0,0.0
2025-01-01 11:00:00,7009.800076948486,7009.800076948486,0.0,0.0
2025-01-01 11:15:00,7011.846207863039,7011.846207863039,0.0,0.0
2025-01-01 11:30:00,7014.025839068812,7014.025839068812,0.0,0.0
2025-01-01 11:45:00,7016.349678745786,7016.349678745786,0.0,0.0
2025-01-01 12:00:00,7021.558666190074,7021.558666190074,0.0,0.0
2025-01-01 12:15:00,7027.498602913012,7027.498602913012,0.0,0.0
2025-01-01 12:30:00,7034.303149502756,7034.303149502756,0.0,0.0
2025-01-01 12:45:00,7042.133491760967,7042.133491760967,0.0,0.0
2025-01-01 13:00:00,7038.230004021809,7038.230004021809,0.0,0.0
2025-01-01 13:15:00,7034.604176830783,7034.604176830783,0.0,0.0
2025-01-01 13:30:00,7031.229825949669,7031.229825949669,0.0,0.0
2025-01-01 13:45:00,7028.08637438214,7028.08637438214,0.0,0.0
2025-01-01 14:00:00,7026.903199489772,7026.903199489772,0.0,0.0
2025-01-01 14:15:00,7025.750523703735,7025.750523703735,0.0,0.0
2025-01-01 14:30:00,7024.6252413632,7024.6252413632,0.0,0.0
2025-01-01 14:45:00,7023.5273787546685,7023.5273787546685,0.0,0.0
2025-01-01 15:00:00,7025.199912540223,7025.199912540223,0.0,0.0
2025-01-01 15:15:00,7026.94615210018,7026.94615210018,0.0,0.0
2025-01-01 15:30:00,7028.772560365739,7028.772560365739,0.0,0.0
2025-01-01 15:45:00,7030.682935900739,7030.682935900739,0.0,0.0
2025-01-01 16:00:00,7026.462221656031,7026.462221656031,0.0,0.0
