sample,ent_coef,critic_loss,actor_loss
0,0.419,3.8,8.85
1,0.18,4.04,99.6
2,0.0818,4.23,177.0
3,0.0471,4.0,221.0
4,0.0565,3.89,236.0
5,0.0737,4.31,243.0
6,0.0941,4.44,233.0
7,0.111,3.18,202.0
8,0.0874,3.59,211.0
9,0.0778,3.3,225.0
10,0.076,3.36,250.0
11,0.0819,3.35,269.0
12,0.0832,3.12,259.0
13,0.205,3.86,1.2
14,0.53,4.16,-1030.0
15,1.23,3.48,-2430.0
16,2.4,3.82,-3110.0
17,2.83,3.61,-3420.0
18,2.67,4.11,-3840.0
19,3.12,4.38,-3870.0
20,3.07,4.04,-3970.0
21,4.48,3.11,-5460.0
22,11.4,1.77,-30900.0
23,23.6,2.82,-41300.0
24,30.3,2.3,-40700.0
25,25.1,2.33,-39800.0
26,24.1,2.52,-40600.0
27,18.8,2.77,-40500.0
28,17.7,2.47,-38600.0
29,23.3,2.56,-37800.0
30,23.7,2.66,-36000.0
31,22.4,2.96,-36500.0
32,23.4,2.12,-36500.0
33,22.9,2.27,-34700.0
34,19.1,2.13,-33000.0
35,17.0,2.06,-30400.0
36,15.1,1.81,-27900.0
37,14.6,1.87,-26000.0
38,15.9,1.8,-25200.0
39,14.0,1.73,-24900.0
40,13.9,2.47,-25400.0
41,14.3,2.26,-25000.0
42,12.6,2.05,-24400.0
43,11.1,2.07,-23700.0
44,11.3,1.92,-22100.0
45,11.3,1.56,-21300.0
46,10.3,1.91,-20500.0
47,9.12,1.51,-19800.0
48,9.26,1.92,-19300.0
49,9.86,2.01,-19100.0
50,9.69,1.99,-19100.0
51,8.59,1.7,-19300.0
52,9.51,2.04,-19200.0
53,9.37,1.88,-19200.0
54,8.52,1.55,-19300.0
55,8.71,1.17,-18900.0
56,8.56,1.49,-18800.0
57,8.97,1.75,-18800.0
58,9.65,1.81,-18400.0
59,9.64,2.16,-18500.0
60,9.41,1.45,-18400.0
61,10.1,2.35,-18500.0
62,10.0,1.48,-18400.0
63,10.1,1.95,-18500.0
64,10.5,1.98,-18400.0
65,10.9,1.65,-18500.0
66,11.2,1.76,-18800.0
67,11.3,1.85,-18900.0
68,12.5,1.2,-18800.0
69,11.3,1.97,-19000.0
70,12.6,2.1,-19000.0
71,11.7,1.97,-18900.0
72,13.0,1.82,-19100.0
73,12.4,2.11,-19000.0
74,12.8,1.64,-19100.0
75,12.1,1.56,-19000.0
76,12.6,1.66,-19300.0
77,12.3,1.9,-19300.0
78,12.4,1.86,-19200.0
79,11.9,2.13,-19200.0
80,11.9,1.63,-19400.0
81,13.4,2.06,-19500.0
82,11.8,2.26,-19300.0
83,12.2,1.87,-19400.0
84,12.7,2.23,-19500.0
85,12.3,2.07,-19500.0
86,12.8,2.06,-19700.0
87,12.5,1.95,-19700.0
88,13.5,1.86,-19900.0
89,13.1,2.59,-19700.0
90,13.3,1.66,-19700.0
91,13.8,1.82,-19900.0
92,12.6,1.85,-19600.0
93,13.8,1.7,-19600.0
94,13.9,1.48,-19500.0
95,14.3,2.05,-19500.0
96,13.9,1.74,-19700.0
97,14.8,1.86,-19600.0
98,15.0,1.99,-19400.0
99,15.3,1.64,-19500.0
100,14.7,1.6,-19500.0
101,15.5,1.61,-19600.0
102,16.2,1.86,-19600.0
103,15.9,1.86,-19500.0
104,16.6,1.3,-19600.0
105,14.9,1.9,-19400.0
106,15.2,2.29,-20000.0
107,14.8,1.47,-20500.0
108,13.6,1.5,-20300.0
109,14.1,2.26,-19800.0
110,14.0,1.47,-19300.0
111,13.8,2.07,-19600.0
112,13.8,1.6,-19800.0
113,14.2,1.79,-20300.0
114,14.7,1.44,-20400.0
115,14.3,1.83,-20600.0
116,14.3,1.79,-20300.0
117,14.4,1.75,-19900.0
118,15.9,1.8,-19700.0
119,16.9,1.87,-19800.0
120,16.8,1.99,-19900.0
121,17.6,2.12,-20000.0
122,18.3,1.64,-20400.0
123,19.2,1.66,-20800.0
124,20.5,1.38,-20900.0
125,19.8,1.66,-21200.0
126,20.6,1.69,-21200.0
127,23.0,1.72,-21700.0
128,22.5,1.72,-22100.0
129,24.6,1.7,-23300.0
130,23.5,2.0,-24000.0
131,22.5,1.83,-24200.0
132,24.4,2.17,-24200.0
