sample,ent_coef,critic_loss,actor_loss
0,0.419,3.25,22.8
1,0.181,3.87,117.0
2,0.082,3.0,236.0
3,0.0697,2.85,771.0
4,0.0943,4.05,943.0
5,0.0706,2.75,705.0
6,0.0547,3.33,598.0
7,0.0587,3.09,495.0
8,0.0832,2.51,490.0
9,0.16,2.3,1630.0
10,0.296,2.93,1940.0
11,0.124,3.6,1320.0
12,0.088,3.63,949.0
13,0.078,3.94,756.0
14,0.169,3.22,1880.0
15,0.227,4.36,2180.0
16,0.134,4.01,1480.0
17,0.116,4.08,1040.0
18,0.087,2.93,794.0
19,0.0735,4.32,650.0
20,0.11,1.88,723.0
21,0.22,2.04,2640.0
22,0.505,4.13,4030.0
23,0.473,3.47,2330.0
24,0.209,3.97,1620.0
25,0.225,2.36,1700.0
26,0.375,3.2,3780.0
27,0.429,5.86,2410.0
28,0.213,3.67,1770.0
29,0.318,2.77,2410.0
30,0.481,3.8,2980.0
31,0.356,3.35,1930.0
32,0.212,2.99,1460.0
33,0.228,3.64,1060.0
34,0.212,3.79,795.0
35,0.215,2.71,602.0
36,0.25,3.41,481.0
37,0.267,3.75,366.0
38,0.236,5.12,317.0
39,0.256,3.28,282.0
40,0.254,3.5,265.0
41,0.239,3.87,249.0
42,0.185,2.74,298.0
43,0.146,2.43,1520.0
44,0.35,2.7,4380.0
45,0.614,4.38,3680.0
46,0.332,3.3,2330.0
47,0.321,2.41,3070.0
48,0.662,3.66,5710.0
49,0.572,3.68,3710.0
50,0.326,3.49,2670.0
51,0.644,2.6,5310.0
52,0.606,3.38,4850.0
53,0.469,3.82,3250.0
54,0.536,2.51,4260.0
55,0.76,4.21,5620.0
56,0.478,4.04,3740.0
57,0.486,2.6,4520.0
58,0.774,3.32,5820.0
59,0.595,3.26,3940.0
60,0.45,3.38,5640.0
61,0.509,4.05,4800.0
62,0.344,4.42,4450.0
63,0.453,3.75,5330.0
64,0.49,3.55,4350.0
65,0.512,4.28,5330.0
66,0.415,4.03,4500.0
67,0.417,3.75,4880.0
68,0.412,3.98,4360.0
69,0.49,3.51,4500.0
70,0.341,2.99,4430.0
71,0.408,4.78,4210.0
72,0.418,3.77,4110.0
73,0.373,3.97,3830.0
74,0.407,3.94,3660.0
75,0.401,3.13,3680.0
76,0.366,3.57,3270.0
77,0.268,3.49,3090.0
78,0.334,3.6,2790.0
79,0.411,4.11,2350.0
80,0.357,3.76,2060.0
81,0.287,3.47,1770.0
82,0.346,3.37,1490.0
83,0.298,3.85,1380.0
84,0.269,3.48,1390.0
85,0.332,3.64,1600.0
86,0.31,3.31,1640.0
87,0.283,4.38,1420.0
88,0.307,2.96,1430.0
89,0.337,3.48,1320.0
90,0.315,3.19,2440.0
91,0.379,1.99,2260.0
92,0.442,4.2,1730.0
93,0.324,3.95,1410.0
94,0.309,3.2,1150.0
95,0.322,3.96,1070.0
96,0.285,3.2,1120.0
97,0.283,2.74,2130.0
98,0.473,3.84,3940.0
99,0.491,3.72,2690.0
100,0.392,3.83,1990.0
101,0.339,3.82,1450.0
102,0.39,3.51,1140.0
103,0.365,4.15,971.0
104,0.449,3.91,844.0
105,0.46,4.03,777.0
106,0.528,2.62,753.0
107,0.499,4.35,741.0
108,0.51,3.14,698.0
109,0.474,4.46,660.0
110,0.458,3.9,624.0
111,0.24,2.92,1890.0
112,0.551,3.48,4710.0
113,0.492,4.12,3070.0
114,0.409,4.15,2270.0
115,0.509,2.61,3150.0
116,1.1,2.79,6930.0
117,0.85,3.58,4400.0
118,0.447,3.23,3070.0
119,0.75,2.43,5710.0
120,1.51,3.61,7730.0
121,0.742,4.77,4990.0
122,0.673,3.09,4280.0
123,1.37,2.76,9280.0
124,1.55,4.16,7710.0
125,0.805,4.01,5600.0
126,0.781,2.97,7500.0
127,1.64,3.53,10900.0
128,1.07,4.21,7090.0
129,1.08,3.02,6520.0
130,1.97,3.52,12100.0
131,1.98,2.89,12100.0
132,1.53,3.28,8970.0
133,0.857,3.67,7050.0
134,1.64,2.27,11200.0
135,1.49,3.67,10000.0
136,0.961,4.32,7970.0
137,1.25,3.58,12100.0
138,1.54,4.26,9490.0
139,1.07,2.97,10000.0
140,1.26,2.67,11300.0
