sample,ent_coef,critic_loss,actor_loss
0,0.419,3.93,9.63
1,0.18,3.63,102.0
2,0.0812,3.72,169.0
3,0.0412,3.61,216.0
4,0.0444,4.0,295.0
5,0.0479,4.4,420.0
6,0.0484,3.95,412.0
7,0.0563,4.58,382.0
8,0.0617,3.15,413.0
9,0.0849,3.03,836.0
10,0.0768,3.72,828.0
11,0.067,3.38,659.0
12,0.0817,3.0,566.0
13,0.0804,3.52,540.0
14,0.102,3.36,992.0
15,0.111,3.5,1210.0
16,0.0901,3.97,915.0
17,0.0775,3.24,724.0
18,0.0921,3.89,597.0
19,0.0799,4.19,523.0
20,0.0895,3.37,465.0
21,0.123,3.73,519.0
22,0.116,3.09,633.0
23,0.159,2.49,1150.0
24,0.243,2.82,2020.0
25,0.171,3.13,1540.0
26,0.121,3.05,1190.0
27,0.116,3.59,900.0
28,0.165,2.66,1480.0
29,0.245,3.1,2240.0
30,0.161,3.66,1610.0
31,0.122,3.41,1210.0
32,0.124,4.06,986.0
33,0.22,2.48,2020.0
34,0.431,3.13,3500.0
35,0.306,4.1,2590.0
36,0.192,4.11,1830.0
37,0.151,3.7,1390.0
38,0.216,2.84,1440.0
39,0.361,3.19,3890.0
40,0.408,4.07,4070.0
41,0.266,4.2,2770.0
42,0.269,4.32,1900.0
43,0.205,3.8,1380.0
44,0.271,3.46,1970.0
45,0.578,2.57,4320.0
46,0.407,3.56,3610.0
47,0.251,3.5,2490.0
48,0.22,3.99,1810.0
49,0.331,2.56,2000.0
50,0.519,3.44,4730.0
51,0.457,4.25,3880.0
52,0.317,3.46,2780.0
53,0.348,3.77,2340.0
54,0.343,3.39,3580.0
55,0.401,3.76,2890.0
56,0.282,4.2,2220.0
57,0.295,3.64,2360.0
58,0.314,4.18,2940.0
59,0.228,4.28,2190.0
60,0.218,3.51,1820.0
61,0.2,3.56,1700.0
62,0.246,3.11,1340.0
63,0.193,3.94,1070.0
64,0.199,3.41,872.0
65,0.227,3.13,753.0
66,0.295,2.73,1250.0
67,0.632,3.46,3070.0
68,0.538,3.94,4030.0
69,0.377,3.08,3080.0
70,0.253,3.8,2330.0
71,0.246,2.95,1850.0
72,0.169,3.76,1520.0
73,0.304,2.58,2390.0
74,0.355,4.3,3710.0
75,0.355,4.28,3670.0
76,0.261,3.51,2550.0
77,0.242,3.77,1980.0
78,0.234,3.32,1520.0
79,0.289,2.49,2970.0
80,0.549,3.86,4730.0
81,0.351,4.18,3260.0
82,0.26,4.12,2360.0
83,0.168,3.29,1740.0
84,0.212,3.3,1700.0
85,0.471,3.44,4130.0
86,0.429,3.68,3860.0
87,0.37,3.76,3570.0
88,0.279,3.0,2570.0
89,0.201,3.21,2190.0
90,0.363,3.16,3690.0
91,0.472,4.11,3270.0
92,0.241,3.97,2440.0
93,0.258,3.86,1900.0
94,0.251,3.6,1740.0
95,0.192,4.53,1470.0
96,0.193,3.97,1210.0
97,0.192,3.16,1160.0
98,0.383,2.58,2120.0
99,0.442,2.5,2290.0
100,0.574,3.38,3710.0
101,0.426,4.82,3290.0
102,0.245,3.13,2320.0
103,0.234,4.48,2320.0
104,0.224,3.96,1820.0
105,0.202,3.6,1500.0
106,0.198,3.37,1270.0
107,0.225,3.51,1760.0
108,0.474,3.05,3890.0
109,0.453,3.62,4100.0
110,0.271,3.73,3040.0
111,0.268,3.54,2220.0
112,0.201,3.68,1780.0
113,0.184,3.39,1410.0
114,0.318,3.06,2290.0
115,0.55,3.89,4720.0
116,0.574,3.21,4350.0
117,0.371,3.37,3130.0
118,0.273,4.13,2400.0
119,0.266,3.98,1900.0
120,0.217,3.32,1560.0
121,0.178,2.97,1340.0
122,0.256,2.37,1840.0
123,0.429,3.22,3520.0
124,0.394,3.32,3640.0
125,0.343,2.84,2620.0
126,0.305,4.75,2140.0
127,0.207,3.68,2110.0
128,0.28,2.79,2420.0
129,0.425,3.33,4140.0
130,0.434,3.28,3340.0
131,0.353,4.35,2620.0
132,0.341,3.56,2130.0
133,0.338,2.79,1760.0
134,0.322,3.49,1510.0
135,0.34,3.81,1340.0
136,0.313,2.75,1150.0
137,0.298,3.22,1000.0
138,0.242,4.43,887.0
139,0.221,3.03,800.0
140,0.228,3.47,730.0
141,0.252,4.42,679.0
142,0.233,3.53,630.0
143,0.225,3.73,611.0
144,0.222,3.34,583.0
145,0.229,4.71,552.0
146,0.228,4.25,539.0
147,0.24,3.21,508.0
148,0.222,3.5,482.0
149,0.227,3.68,453.0
