step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
9218,9218,2024-04-07 00:30:00,0.39901836572392585,9.873232110691475,1.0,1.0,0.0,1.0,187.72356198980881,0.0,9.917811071514112,25.339343298602536,15.85,15.27058336660438,2020.5461888059203,6705.374438516942,9995.748726710708,9995.748726710708,0.0,9995.748726710708,72.46917826865264,0.029,1.0
9219,9219,2024-04-07 00:45:00,0.3934022652311302,9.903165926318076,1.0,1.0,0.0,1.0,181.79787031193925,0.0,9.946371173671277,25.342102969047946,16.0,15.392562826057274,2023.4373986642863,6712.289729252718,9994.199241281636,9994.199241281636,0.0,9994.199241281636,72.45794449929187,0.029,1.0
9220,9220,2024-04-07 01:00:00,0.38795905507553025,9.932178236447424,1.0,1.0,0.0,1.0,175.87662568642767,0.0,9.974021970688261,25.34597975153741,16.0,15.392562826057274,2025.1307827074904,6717.719832721303,10003.992760281208,10003.99276028121,0.0,10003.992760281208,72.52894751203876,0.029,1.0
9221,9221,2024-04-07 01:15:00,0.38268650795972536,9.960280912574664,1.0,1.0,0.0,1.0,170.19093854222376,0.0,10.000799663870701,25.350327714080443,16.0,15.392562826057274,2026.8163177369586,6723.311052836907,10006.422136410873,10006.422136410874,0.0,10006.422136410873,72.54656048897883,0.029,1.0
9222,9222,2024-04-07 01:30:00,0.3775811454734706,9.987492494626402,1.0,1.0,0.0,1.0,164.71707715269127,0.0,10.026736786510698,25.354797608144793,16.0,15.392562826057274,2028.5177356165475,6728.954959260606,10008.610006480676,10008.61000648068,0.0,10008.610006480676,72.5624225469849,0.029,1.0
9223,9223,2024-04-07 01:45:00,0.3726365218162931,10.013847338719158,0.9186694256347155,1.0,0.0,1.0,159.43150046455878,0.0,10.051862265103003,25.35922175027719,16.0,15.392562826057274,2030.2004549190794,6734.536839170754,10010.776521717598,10010.776521717598,0.0,10010.776521717598,72.57812978245259,0.029,0.9186694256347155
9224,9224,2024-04-07 02:00:00,0.36784687356580875,10.03937616389424,0.7524703243104737,1.0,0.0,1.0,154.07061136832095,0.0,10.07616455177561,25.36600960785124,15.8,15.195955890069595,2030.1128661953944,6738.22979306336,10032.271112196975,10032.271112196975,0.0,10032.271112196975,72.73396556342807,0.029,0.7524703243104737
9225,9225,2024-04-07 02:15:00,0.36321059365115677,10.064087535839334,0.591590416002089,1.0,0.0,1.0,148.97445036522612,0.0,10.099684378997331,25.373957090326204,15.6,14.9993561992981,2030.2527327903933,6742.435557233627,10042.207917415615,10042.207917415613,0.0,10042.207917415615,72.80600740126322,0.029,0.591590416002089
9226,9226,2024-04-07 02:30:00,0.3587249143864266,10.087996206320346,0.43593139241350987,1.0,0.0,1.0,144.09910718458673,0.0,10.122455690350543,25.382426567198916,15.399999999999999,14.80275148005142,2030.6382333570198,6746.90941624028,10052.255728482527,10052.255728482529,0.0,10052.255728482527,72.87885403149832,0.029,0.43593139241350987
9227,9227,2024-04-07 02:45:00,0.35438283439826157,10.111139492657266,0.28524844025556256,1.0,0.0,1.0,139.4070275542136,0.0,10.144506639713772,25.391105998887195,15.2,14.606147979035917,2031.2061958888455,6751.440580478117,10062.785593141947,10062.785593141947,0.0,10062.785593141947,72.95519555027911,0.029,0.28524844025556256
9228,9228,2024-04-07 03:00:00,0.3501785317218947,10.133548425922301,0.13934259256144996,1.0,0.0,1.0,135.3384681938101,0.0,10.16593292191624,25.39487334758814,15.149999999999999,14.557078078197915,2033.3372868615909,6759.2102399326905,10057.657220792507,10057.65722079251,0.0,10057.657220792507,72.91801485074568,0.029,0.13934259256144996
9229,9229,2024-04-07 03:15:00,0.34610034962699243,10.15528513648813,-0.0021887270582370143,1.0,0.0,1.0,131.21168382765362,0.0,10.186725400502063,25.396014711683755,15.1,14.508012264073498,2035.076171922243,6765.524224021665,10062.006531773719,10062.006531773717,0.0,10062.006531773719,72.94954735535947,0.029,-0.0021887270582370143
9230,9230,2024-04-07 03:30:00,0.34214022818353523,10.176392583781757,-0.13962465217831577,0.0,1.0,1.0,0.0,-1624.8289391769554,9.93661513646214,24.750098846816755,15.05,14.458938653229497,2572.2247907930955,8748.116544394885,10801.998175375977,10801.998175375977,0.0,10801.998175375977,78.31448677147583,0.029,-0.13962465217831577
9231,9231,2024-04-07 03:45:00,0.3755364076894034,9.99839094701548,1.0,1.0,1.0,1.0,340.5796255283928,-1379.422069557096,9.777867586404607,24.970544005811995,15.0,14.409869630373553,2314.271745894749,7694.794130761913,10469.294447266117,10469.294447266117,0.0,10469.294447266117,75.90238474267935,0.029,1.0
9232,9232,2024-04-07 04:00:00,0.4022960096071963,9.855762268793644,1.0,1.0,0.0,1.0,192.4374612600724,0.0,9.808048617126666,25.11821375973276,15.0,14.409869630373553,1971.4171315322355,6554.855147201336,9975.455188368467,9975.455188368467,0.0,9975.455188368467,72.32205011567139,0.029,1.0
9233,9233,2024-04-07 04:15:00,0.414061883818656,9.793050159246564,1.0,1.0,0.0,1.0,196.54601832731905,0.0,9.838865413045973,25.19605246602535,15.0,14.409869630373553,1995.3394625768572,6634.3956017769215,10004.564137514397,10004.564137514397,0.0,10004.564137514397,72.53308999697938,0.029,1.0
9234,9234,2024-04-07 04:30:00,0.40833939739621883,9.823551011878154,1.0,1.0,0.0,1.0,193.68975233379894,0.0,9.86924638036722,25.23888458473508,15.0,14.409869630373553,2004.6673026900025,6665.410164752992,10018.688200451099,10018.688200451099,0.0,10018.688200451099,72.63548945327047,0.029,1.0
9235,9235,2024-04-07 04:45:00,0.4025987684319148,9.854148564257894,1.0,1.0,0.0,1.0,189.25577710921252,0.0,9.898947948685237,25.263865474165094,15.0,14.409869630373553,2010.3982056514387,6684.465106588535,10026.844770323256,10026.844770323252,0.0,10026.844770323256,72.69462458484361,0.029,1.0
9236,9236,2024-04-07 05:00:00,0.3969628968299206,9.884187759896523,1.0,1.0,0.0,1.0,183.9606003515584,0.0,9.927837220673625,25.281689594182506,14.95,14.335876199365877,2013.7681642105492,6696.255863766369,10043.309947663163,10043.309947663163,0.0,10043.309947663163,72.81399712055794,0.029,1.0
9237,9237,2024-04-07 05:15:00,0.3914670351784475,9.913480702498875,1.0,1.0,0.0,1.0,178.48145803856463,0.0,9.955885669719322,25.295237941751704,14.9,14.26192291132425,2016.3464554815007,6705.3826084660095,10050.76137179756,10050.761371797562,0.0,10050.76137179756,72.86801994553231,0.029,1.0
