timestamp,step,solve_status,objective_value,solve_time_s,mip_gap,mode_index,predicted_peak_grid_kw,episode_peak_grid_so_far_kw
2025-07-01 00:00:00,0,optimal,13571.454099554241,0.03453580000132206,1.886372073130933e-05,-1,20842.62,18000.0
2025-07-01 00:15:00,1,optimal,13562.487444664257,0.026999899999282206,0.0002948786932169666,-1,20728.144786892026,18000.0
2025-07-01 00:30:00,2,optimal,13560.434230648867,0.026197400000455673,0.0011328563008630003,-1,20842.62,18000.0
2025-07-01 00:45:00,3,optimal,13552.38214530974,0.027511200001754332,0.0015635085248489606,-1,20842.62,18000.0
2025-07-01 01:00:00,4,optimal,13520.74277904874,0.1437724999996135,0.00023534838874895135,-1,20842.62,18000.0
2025-07-01 01:15:00,5,optimal,13729.369473300683,0.049747900000511436,0.0010965696752455738,-1,20842.62,18000.0
2025-07-01 01:30:00,6,optimal,13915.231449391345,0.05435380000017176,0.00027373469144439483,-1,20842.62,18000.0
2025-07-01 01:45:00,7,optimal,14110.706221721495,0.02754840000125114,0.00012816969638052835,-1,20842.62,18000.0
2025-07-01 02:00:00,8,optimal,14346.503017777673,0.026762499999676947,0.0027533668657362172,-1,21049.2,18000.0
2025-07-01 02:15:00,9,optimal,14529.05480834554,0.05049139999937324,4.8252919632653013e-05,-1,20921.314701842995,18000.0
2025-07-01 02:30:00,10,optimal,14751.627101728982,0.1868864999996731,9.7094629214519e-05,-1,20842.62,18000.0
2025-07-01 02:45:00,11,optimal,14974.6854404099,0.18921919999957026,0.00014308715690068916,-1,20842.619999999995,18000.0
2025-07-01 03:00:00,12,optimal,15195.727773787918,0.02649099999871396,1.9259376286679912e-05,-1,21049.2,18000.0
2025-07-01 03:15:00,13,optimal,15427.114146159623,0.025826200000665267,5.3542976128832966e-05,-1,21049.2,18000.0
2025-07-01 03:30:00,14,optimal,15659.010920248778,0.0261398000002373,8.423517014016816e-05,-1,21049.2,18000.0
2025-07-01 03:45:00,15,optimal,15891.423510227043,0.11287609999999404,0.0001104998691663679,-1,21049.2,18000.0
2025-07-01 04:00:00,16,optimal,16124.358226152097,0.19187500000043656,0.00013324166854157115,2,21049.2,20397.0
2025-07-01 04:15:00,17,optimal,16360.997180981656,0.2116303999991942,0.0005226010074272183,2,21090.0,20782.47640844059
2025-07-01 04:30:00,18,optimal,16610.638282681055,0.23225430000093183,0.0002827054157443655,2,21090.0,21090.0
