timestamp,step,solve_status,objective_value,solve_time_s,mip_gap,mode_index,predicted_peak_grid_kw,episode_peak_grid_so_far_kw
2025-07-01 00:00:00,0,optimal,11749.714090084492,0.03623230000084732,0.0004690718401200259,-1,21090.0,18000.0
2025-07-01 00:15:00,1,optimal,11745.348566135448,0.07381380000151694,0.00023987939147534425,-1,20397.0,18000.0
2025-07-01 00:30:00,2,optimal,11743.155216630917,0.06934249999176245,0.00018929878675715594,-1,20842.62,18000.0
2025-07-01 00:45:00,3,optimal,11752.589417617042,0.03502350000781007,0.0011214049131018013,-1,21090.0,18000.0
2025-07-01 01:00:00,4,optimal,11739.104038322168,0.03641529999731574,9.676465233478842e-05,-1,21049.2,18000.0
2025-07-01 01:15:00,5,optimal,12021.688035630317,0.03916380000009667,5.4203265112728946e-05,-1,21090.0,18000.0
2025-07-01 01:30:00,6,optimal,12304.406456019848,0.03946820000419393,1.743562340437682e-05,-1,21090.0,18000.0
2025-07-01 01:45:00,7,optimal,12587.736153375525,0.0380386000033468,2.2944659897952026e-05,-1,21090.0,18000.0
2025-07-01 02:00:00,8,optimal,12877.857010718866,0.03554440000152681,0.0005468834819596838,-1,21090.0,18000.0
2025-07-01 02:15:00,9,optimal,13179.702187526656,0.03618010001082439,0.00033402089447493664,-1,21090.0,18000.0
2025-07-01 02:30:00,10,optimal,13480.972221149323,0.13353999999526422,7.278792778259487e-05,-1,21090.0,18000.0
2025-07-01 02:45:00,11,optimal,13786.177540905512,0.034863499997300096,9.433648156727815e-05,2,21090.0,20397.0
2025-07-01 03:00:00,12,optimal,14081.903579657594,0.031234900001436472,3.32588115039568e-05,2,21090.0,20397.0
2025-07-01 03:15:00,13,optimal,14402.973034835053,0.030554600001778454,0.0,2,21090.0,21090.0
2025-07-01 03:30:00,14,optimal,14756.206087448396,0.19267850001051556,0.00021790888834980978,2,21090.0,21090.0
2025-07-01 03:45:00,15,optimal,15110.734113477385,0.25094630000239704,0.0003585276768789676,2,21090.0,21090.0
2025-07-01 04:00:00,16,optimal,15463.529754448466,0.3038598999992246,0.00034955942426062836,2,21090.0,21090.0
2025-07-01 04:15:00,17,optimal,15900.04685959282,0.03650519999791868,0.0013090744230829943,2,21090.0,21090.0
2025-07-01 04:30:00,18,optimal,16309.4609509809,0.07219920000352431,0.0004906267689897818,2,21090.0,21090.0
