timestamp,step,price_usd_per_mwh,pv_kw,outdoor_drybulb_C,ite_power_kw,facility_power_kw,P_grid_kw,P_spill_kw,air_temperature_C,tes_soc,tes_charge_kwth,tes_discharge_kwth,tes_capacity_kwh,pue_actual
2025-07-01 00:00:00,0,29.0,0.0,33.242640687119284,18000.0,22647.914785054894,22647.914785054894,0.0,24.0,0.5,4235.112209028013,0.0,18000.0,1.2582174880586052
2025-07-01 00:15:00,1,29.0,0.0,32.95607489060041,18000.0,22678.222007507844,22678.222007507844,0.0,24.096539853865043,0.5550417427289769,4500.0,0.0,18000.0,1.2599012226393247
2025-07-01 00:30:00,2,29.0,0.0,32.652568574052324,18000.0,22656.369552716384,22656.369552716384,0.0,24.190924738446675,0.6135142218576124,4500.0,0.0,18000.0,1.2586871973731324
2025-07-01 00:45:00,3,29.0,0.0,32.333421398117615,18000.0,22558.190695754,22558.190695754,0.0,24.283071485021953,0.6719574647466836,4108.958646465584,0.0,18000.0,1.2532328164307778
2025-07-01 01:00:00,4,29.0,0.0,32.0,18000.0,22442.39833336981,22442.39833336981,0.0,24.372904703283112,0.7252662238987221,3631.671333523008,0.0,18000.0,1.2467999074094338
2025-07-01 01:15:00,5,29.0,0.0,31.65373214131401,18000.0,22584.453329559223,22584.453329559223,0.0,24.46035711432714,0.7723170776411009,4500.0,0.0,18000.0,1.254691851642179
2025-07-01 01:30:00,6,29.0,0.0,31.296100594190538,18000.0,22502.843660923776,22502.843660923776,0.0,24.54536984885394,0.8306809191022804,4209.526974338697,0.0,18000.0,1.250157981162432
2025-07-01 01:45:00,7,29.0,0.0,30.92863679181897,18000.0,20766.861849010966,20766.861849010966,0.0,24.627892709296457,0.8852232919188179,0.0,4500.0,18000.0,1.1537145471672758
2025-07-01 02:00:00,8,29.0,0.0,30.552914270615126,18000.0,22505.194442868902,22505.194442868902,0.0,24.687634394760646,0.8168458976641628,4500.0,0.0,18000.0,1.2502885801593835
2025-07-01 02:15:00,9,29.0,0.0,30.170541932096768,18000.0,20712.279019110967,20712.279019110967,0.0,24.765176594062325,0.8751874747153308,0.0,4500.0,18000.0,1.1506821677283872
2025-07-01 02:30:00,10,29.0,0.0,29.78315715332031,18000.0,22449.771930423678,22449.771930423678,0.0,24.81988177408877,0.8068150983692775,4500.0,0.0,18000.0,1.2472095516902044
2025-07-01 02:45:00,11,29.0,0.0,29.392418775380857,18000.0,22264.92974001005,22264.92974001005,0.0,24.892350198096945,0.8651616908200929,3685.113058549666,0.0,18000.0,1.2369405411116696
2025-07-01 03:00:00,12,29.0,0.0,29.0,18000.0,20701.53825065043,20701.53825065043,0.0,24.962213083844166,0.9128403082390812,0.0,4132.308746747866,18000.0,1.1500854583694682
2025-07-01 03:15:00,13,29.0,0.0,28.607581224619143,18000.0,20667.886722743486,20667.886722743486,0.0,25.010880245887176,0.85,0.0,4159.29562714546,18000.0,1.1482159290413048
2025-07-01 03:30:00,14,29.0,0.0,28.21684284667969,18000.0,22336.997300345553,22336.997300345553,0.0,25.05694485857039,0.7867837012810167,4500.0,0.0,18000.0,1.2409442944636417
2025-07-01 03:45:00,15,29.0,0.0,27.829458067903232,18000.0,20543.720980889033,20543.720980889033,0.0,25.119269284753504,0.8451403094303762,0.0,4500.0,18000.0,1.1413178322716129
2025-07-01 04:00:00,16,29.0,0.0,27.447085729384874,18000.0,22072.98300784346,22072.98300784346,0.0,25.15881409665872,0.7767829566669654,3415.3227437042897,0.0,18000.0,1.2262768337690813
2025-07-01 04:15:00,17,29.0,0.0,27.07136320818103,18000.0,22254.522766373648,22254.522766373648,0.0,25.2162356245928,0.8209835010092157,4500.000000000003,0.0,18000.0,1.2363623759096471
2025-07-01 04:30:00,18,29.0,0.0,26.70389940580946,18000.0,20980.0341661722,20980.0341661722,0.0,25.271220717250483,0.8793230092587112,0.0,1913.2329552303895,18000.0,1.1655574536762334
2025-07-01 04:45:00,19,29.0,0.0,26.34626785868599,18000.0,20664.269051974836,20664.269051974836,0.0,25.315219986575087,0.85,0.0,3363.3111692527627,18000.0,1.1480149473319352
2025-07-01 05:00:00,20,29.0,42.04073819827044,26.0,18000.0,22038.42487280414,21996.38413460587,0.0,25.350434730594074,0.7988003748603146,3777.4093385815263,0.0,18000.0,1.2243569373780077
2025-07-01 05:15:00,21,29.0,40.83168115466722,25.666578601882385,18000.0,20523.928454473542,20483.096773318874,0.0,25.39863853523448,0.84771715214881,0.0,3820.32602430994,18000.0,1.1402182474707523
2025-07-01 05:30:00,22,29.0,40.32424416957845,25.347431425947676,18000.0,22130.399678052847,22090.075433883267,0.0,25.427504230999975,0.7896192895825493,4500.0,0.0,18000.0,1.2294666487807138
2025-07-01 05:45:00,23,29.0,39.42134796828842,25.043925109399588,18000.0,21475.31393995317,21435.89259198488,0.0,25.471603821471554,0.8479744799377581,1207.1869267972731,0.0,18000.0,1.193072996664065
2025-07-01 06:00:00,24,29.0,258.866180872351,24.757359312880716,18000.0,20322.529870527407,20063.663689655048,0.0,25.513748128716145,0.8633109886865314,0.0,4500.000000000022,18000.0,1.1290294372515226
2025-07-01 06:15:00,25,29.0,233.76647132213165,24.488961155126134,18000.0,22068.589818553697,21834.823347231566,0.0,25.53379344162707,0.7949445505834922,4500.0,0.0,18000.0,1.2260327676974276
2025-07-01 06:30:00,26,29.0,247.38675784976778,24.239879958252587,18000.0,20285.271356994184,20037.884599144418,0.0,25.5724662600155,0.8532970783082005,0.0,4500.0,18000.0,1.1269595198330102
2025-07-01 06:45:00,27,29.0,232.02910582851422,24.01118232618473,18000.0,20268.8051274853,20036.776021656784,0.0,25.589270462068082,0.7849356471603507,0.0,4500.0,18000.0,1.1260447293047389
2025-07-01 07:00:00,28,29.0,733.7199838368447,23.803847577293368,18000.0,21911.593785471232,21177.87380163439,0.0,25.60469371630374,0.7166083967280749,3940.127151511766,0.0,18000.0,1.2173107658595128
2025-07-01 07:15:00,29,29.0,762.9983480583395,23.61876355080387,18000.0,22005.935591042493,21242.937242984153,0.0,25.639113956771805,0.7676906414522255,4500.0,0.0,18000.0,1.2225519772801385
2025-07-01 07:30:00,30,29.0,732.5899176484511,23.45672280493228,18000.0,21990.416315586972,21257.82639793852,0.0,25.672299485738233,0.8260567961314994,4479.96782288561,0.0,18000.0,1.2216897953103873
2025-07-01 07:45:00,31,29.0,716.9604090979477,23.318419223029366,18000.0,21984.31079944273,21267.35039034478,0.0,25.704386866908695,0.8841322365322181,4500.0,0.0,18000.0,1.2213505999690406
2025-07-01 08:00:00,32,165.0,1349.8137282425973,23.20444504226559,18000.0,20210.720043043122,18860.906314800526,0.0,25.735515798911873,0.942440170413952,0.0,4500.0,18000.0,1.1228177801690624
2025-07-01 08:15:00,33,165.0,1235.4190974672517,23.115288317580617,18000.0,20417.29837832637,19181.879280859117,0.0,25.74557852590574,0.8740341677200494,0.0,3435.0119026971647,18000.0,1.134294354351465
2025-07-01 08:30:00,34,165.0,1344.4206254584037,23.051330831757138,18000.0,21965.080435271127,20620.659809812725,0.0,25.759875589921773,0.8217400868877418,4500.0,0.0,18000.0,1.2202822464039516
2025-07-01 08:45:00,35,165.0,1344.9364122291981,23.01284646056838,18000.0,20196.92494516092,18851.988532931722,0.0,25.789190025657096,0.8800792168442979,0.0,4500.0,18000.0,1.1220513858422734
2025-07-01 09:00:00,36,165.0,1925.3680982109397,23.0,18000.0,21881.884828828475,19956.516730617535,0.0,25.797873093103473,0.8117043946271801,4086.601109908077,0.0,18000.0,1.2156602682682487
2025-07-01 09:15:00,37,165.0,2208.1958591904645,23.01284646056838,18000.0,20425.24884270603,18217.052983514983,0.0,25.826685056954762,0.8646513902536664,0.0,3358.3805122744443,18000.0,1.1347360468170018
2025-07-01 09:30:00,38,165.0,2078.6282571008824,23.051330831757138,18000.0,21965.080435271127,19886.452178170246,0.0,25.84029450254485,0.8135188756655076,4500.0,0.0,18000.0,1.2202822464039516
2025-07-01 09:45:00,39,165.0,2066.1188422768028,23.115288317580617,18000.0,21969.68537425042,19903.566531973618,0.0,25.869156581896668,0.8718621162276748,4500.0,0.0,18000.0,1.2205380763472455
2025-07-01 10:00:00,40,165.0,2288.7633881635657,23.20444504226559,18000.0,20210.720043043122,17921.956654879556,0.0,25.898216072909886,0.930176185169561,0.0,4500.0,18000.0,1.1228177801690624
2025-07-01 10:15:00,41,165.0,2438.1053869659027,23.318419223029366,18000.0,20218.926184058113,17780.82079709221,0.0,25.90736361086251,0.8617763144682806,0.0,4500.0,18000.0,1.1232736768921174
2025-07-01 10:30:00,42,165.0,2390.6657031222753,23.45672280493228,18000.0,20228.884041955123,17838.21833883285,0.0,25.91710079868095,0.7934106437023508,0.0,4500.0,18000.0,1.1238268912197291
2025-07-01 10:45:00,43,165.0,2321.0289667270495,23.61876355080387,18000.0,20240.550975657876,17919.522008930828,0.0,25.927561172466113,0.725079155771804,0.0,4500.0,18000.0,1.1244750542032154
2025-07-01 11:00:00,44,83.0,2989.529611550906,23.803847577293368,18000.0,22019.26164094974,19029.732029398834,0.0,25.938874185844263,0.6567818335852225,4500.0,0.0,18000.0,1.2232923133860967
2025-07-01 11:15:00,45,83.0,2640.8333179103065,24.01118232618473,18000.0,22034.189742869916,19393.35642495961,0.0,25.97141466117116,0.7152034426684298,4500.0,0.0,18000.0,1.224121652381662
2025-07-01 11:30:00,46,83.0,2936.9675936902936,24.239879958252587,18000.0,21801.67750936343,18864.70991567314,0.0,26.00493835428686,0.7735958409470957,3205.3119923200866,0.0,18000.0,1.2112043060757463
2025-07-01 11:45:00,47,83.0,2885.3453317702633,24.488961155126134,18000.0,21504.164856770774,18618.819525000512,0.0,26.039559900809166,0.8150561718152456,1564.9901987288163,0.0,18000.0,1.194675825376154
2025-07-01 12:00:00,48,29.0,3520.110061165472,24.757359312880716,18000.0,22087.914485912028,18567.804424746555,0.0,26.0753877828647,0.835080460212742,4500.0,0.0,18000.0,1.227106360328446
2025-07-01 12:15:00,49,29.0,3638.832901777275,25.043925109399588,18000.0,20453.532997818773,16814.7000960415,0.0,26.112523872721034,0.8934129199826356,0.0,3948.14805028999,18000.0,1.1363073887677095
2025-07-01 12:30:00,50,29.0,3394.425485233167,25.347431425947676,18000.0,22130.399678052847,18735.97419281968,0.0,26.133296338451043,0.8333625291885564,4500.0,0.0,18000.0,1.2294666487807138
2025-07-01 12:45:00,51,29.0,3190.97137058373,25.666578601882385,18000.0,22153.378274720148,18962.406904136416,0.0,26.17342584831821,0.8916958479239621,4500.0,0.0,18000.0,1.2307432374844527
2025-07-01 13:00:00,52,83.0,3086.1015325572407,26.0,18000.0,20412.0,17325.89846744276,0.0,26.215124832557006,0.9500000000000001,0.0,4500.0,18000.0,1.134
2025-07-01 13:15:00,53,83.0,2665.520858691985,26.34626785868599,18000.0,20436.931285825387,17771.410427133404,0.0,26.23821475537387,0.8815902173913044,0.0,4500.0,18000.0,1.1353850714347438
2025-07-01 13:30:00,54,83.0,2623.1855442507526,26.703899405809462,18000.0,22108.45708987856,19485.27154562781,0.0,26.263122554080002,0.813214639673913,3878.0369298334504,0.0,18000.0,1.2282476161043645
2025-07-01 13:45:00,55,83.0,2741.6399833062687,27.07136320818103,18000.0,22254.522766373648,19512.88278306738,0.0,26.31015192387098,0.8634379589380129,4500.0,0.0,18000.0,1.2363623759096471
2025-07-01 14:00:00,56,83.0,1849.8621130771587,27.447085729384874,18000.0,20516.19017251571,18666.328059438554,0.0,26.35898373734522,0.9217562399585439,0.0,4500.0,18000.0,1.1397883429175395
2025-07-01 14:15:00,57,83.0,1768.8444944323962,27.829458067903232,18000.0,20543.720980889033,18774.876486456636,0.0,26.389404311050445,0.8533605792298691,0.0,4500.0,18000.0,1.1413178322716129
2025-07-01 14:30:00,58,83.0,1950.6891166946345,28.21684284667969,18000.0,21980.99964732662,20030.310530631985,0.0,26.42180461343274,0.7849991163315585,2648.8122043015474,0.0,18000.0,1.221166647073701
2025-07-01 14:45:00,59,83.0,1772.6476690343936,28.607581224619143,18000.0,22365.130463557194,20592.4827945228,0.0,26.476451703494753,0.8191883316628852,4500.0,0.0,18000.0,1.2425072479753996
2025-07-01 15:00:00,60,83.0,1366.1179774108707,29.0,18000.0,20628.0,19261.88202258913,0.0,26.532989307051075,0.8775287374970537,0.0,4500.0,18000.0,1.146
2025-07-01 15:15:00,61,83.0,1456.6491375878907,29.392418775380857,18000.0,22421.63876721204,20964.98962962415,0.0,26.571166242198913,0.8091551905196096,4500.0,0.0,18000.0,1.2456465981784466
2025-07-01 15:30:00,62,83.0,1464.9904321161748,29.78315715332031,18000.0,20684.38731503906,19219.396882922887,0.0,26.63158578769806,0.8675006129243498,0.0,4500.0,18000.0,1.1491326286132812
2025-07-01 15:45:00,63,83.0,1390.8013893810316,30.170541932096768,18000.0,22122.37744296419,20731.576053583158,0.0,26.673613376629685,0.799132080009192,2652.5118040367497,0.0,18000.0,1.229020969053566
2025-07-01 16:00:00,64,83.0,836.4833274193871,30.552914270615126,18000.0,22505.194442868902,21668.711115449514,0.0,26.737833599754186,0.8333625291885561,4500.0,0.0,18000.0,1.2502885801593835
2025-07-01 16:15:00,65,83.0,872.8940170693763,30.92863679181897,18000.0,20766.861849010966,19893.96783194159,0.0,26.803843428527777,0.8916958479239618,0.0,4500.0,18000.0,1.1537145471672758
2025-07-01 16:30:00,66,83.0,911.3408500869309,31.296100594190538,18000.0,20793.31924278172,19881.97839269479,0.0,26.85134539119629,0.8233152173913042,0.0,4500.0,18000.0,1.1551844023767621
2025-07-01 16:45:00,67,83.0,812.4650778318318,31.65373214131401,18000.0,20819.068714174606,20006.603636342774,0.0,26.90064713921313,0.7549687771739129,0.0,4500.0,18000.0,1.1566149285652558
2025-07-01 17:00:00,68,165.0,349.080955877984,32.0,18000.0,20844.0,20494.919044122016,0.0,26.951683242349947,0.6866565101766303,0.0,4500.0,18000.0,1.158
2025-07-01 17:15:00,69,165.0,362.6803449584039,32.333421398117615,18000.0,20868.006340664466,20505.32599570606,0.0,27.00438002411173,0.6183783993128463,0.0,4500.0,18000.0,1.1593336855924703
2025-07-01 17:30:00,70,165.0,358.610762886839,32.652568574052324,18000.0,20890.984937331767,20532.37417444493,0.0,27.05865588184051,0.5501344275044943,0.0,4500.0,18000.0,1.1606102742962092
2025-07-01 17:45:00,71,165.0,356.4775650584692,32.95607489060041,18000.0,20912.837392123227,20556.359827064756,0.0,27.114421640734204,0.48192457768204633,0.0,4500.0,18000.0,1.1618242995624015
