season,controller,cost_saving,cost_saving_pct,grid_saving_kwh,grid_saving_pct,peak_grid_reduction_kw,peak_grid_reduction_pct,fallback_count,soc_min,soc_final,zone_temp_max_c,temp_violation_degree_hours_27c,temp_violation_delta_vs_no_mpc,zone_temp_max_delta_vs_no_mpc,cost_comparison_valid
winter,default_mpc,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,24.595019414782247,0.0,0.0,0.0,True
winter,measured_data_mpc,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,24.595019414782247,0.0,0.0,0.0,True
