timestamp,step,status,objective_value,fallback,horizon_steps
2025-07-01 00:00:00,0,optimal,13501.76675423401,0,48
2025-07-01 00:15:00,1,optimal,13476.87779423401,0,48
2025-07-01 00:30:00,2,optimal,13451.98883423401,0,48
2025-07-01 00:45:00,3,optimal,13427.099874234009,0,48
2025-07-01 01:00:00,4,optimal,13402.210914234009,0,48
2025-07-01 01:15:00,5,optimal,13577.387927310932,0,48
2025-07-01 01:30:00,6,optimal,13752.667209480207,0,48
2025-07-01 01:45:00,7,optimal,13934.075960242142,0,48
2025-07-01 02:00:00,8,optimal,14115.48164626978,0,48
2025-07-01 02:15:00,9,optimal,14318.536638829786,0,48
2025-07-01 02:30:00,10,optimal,14521.591631389027,0,48
2025-07-01 02:45:00,11,optimal,14724.646623948265,0,48
2025-07-01 03:00:00,12,optimal,14927.701616507506,0,48
2025-07-01 03:15:00,13,optimal,15138.169339066746,0,48
2025-07-01 03:30:00,14,optimal,15348.637061625985,0,48
2025-07-01 03:45:00,15,optimal,15559.104784185225,0,48
2025-07-01 04:00:00,16,optimal,15769.572506744465,0,48
2025-07-01 04:15:00,17,optimal,15997.212629286714,0,48
2025-07-01 04:30:00,18,optimal,16228.455762615185,0,48
2025-07-01 04:45:00,19,optimal,16459.698895943657,0,48
2025-07-01 05:00:00,20,optimal,16690.942029272126,0,48
2025-07-01 05:15:00,21,optimal,17302.53731721598,0,48
2025-07-01 05:30:00,22,optimal,18087.583153426778,0,48
2025-07-01 05:45:00,23,optimal,18682.04382598602,0,48
2025-07-01 06:00:00,24,optimal,19276.50449854526,0,48
2025-07-01 06:15:00,25,optimal,19883.880051104497,0,48
2025-07-01 06:30:00,26,optimal,20491.25560366374,0,48
2025-07-01 06:45:00,27,optimal,21098.631156222982,0,48
2025-07-01 07:00:00,28,optimal,21706.00670878222,0,48
2025-07-01 07:15:00,29,optimal,22477.972566341457,0,48
2025-07-01 07:30:00,30,optimal,23249.938423900698,0,48
2025-07-01 07:45:00,31,optimal,24021.90428145994,0,48
2025-07-01 08:00:00,32,optimal,24793.87013901918,0,48
2025-07-01 08:15:00,33,optimal,25005.43403901918,0,48
2025-07-01 08:30:00,34,optimal,25216.99793901918,0,48
2025-07-01 08:45:00,35,optimal,25428.56183901918,0,48
2025-07-01 09:00:00,36,optimal,25640.125739019182,0,48
2025-07-01 09:15:00,37,optimal,25727.80261401918,0,48
2025-07-01 09:30:00,38,optimal,25815.47948901918,0,48
