scenario_id,controller_type,closed_loop_steps,dt_hours,total_cost,energy_cost,demand_charge_cost,cold_station_proxy_total_cost,cold_station_proxy_energy_cost,cold_station_proxy_grid_import_kwh,cold_station_proxy_pv_spill_kwh,grid_import_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_step_count,pv_actual_kwh,pv_used_kwh,pv_spill_kwh,pv_spill_reduction_vs_no_tes,tes_charge_during_pv_surplus_kwh_th,soc_headroom_before_pv_hours,pv_self_consumption_ratio,pv_load_coverage_ratio,it_energy_kwh,facility_energy_kwh,cold_station_energy_kwh,pue_avg,pue_p95,temp_violation_count,temp_violation_degree_hours,max_temp_c,soc_min,soc_max,soc_violation_count,initial_soc,final_soc_after_last_update,soc_delta,soc_inventory_delta_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_equivalent_cycles,tes_charge_weighted_avg_price,tes_discharge_weighted_avg_price,tes_arbitrage_price_spread,charge_steps,discharge_steps,idle_steps,charge_discharge_switch_count,first_discharge_step,first_discharge_timestamp,avg_chiller_plr,avg_mode_specific_plr,weighted_avg_chiller_cop,time_in_high_plr_region,low_plr_hours,high_plr_hours,time_in_each_mode,mode_switch_count,max_signed_du,signed_valve_violation_count,physical_consistency_violation_count,max_chiller_supply_deficit_kw_th,max_signed_valve_du,tes_discharge_during_peak_cap_violation_kwh_th,dr_event_count,dr_requested_reduction_kwh,dr_served_reduction_kwh,dr_response_rate_avg,dr_revenue_cny,solve_time_avg_s,solve_time_p95_s,optimal_rate,feasible_rate,fallback_count,has_nan,run_dir
robust_base_cp20_soc0p2_mpc_no_tes,mpc_no_tes,2880,0.25,1303101.4322209014,1303101.4322209014,0.0,101338.21492570137,101338.21492570137,1450409.1724911183,124708.02,14285701.15249112,21090.00000000009,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2258345380154355,12960000.0,14672426.112491118,1712426.1124911185,1.1321316444823393,1.1716666666666693,0,0.0,27.0,0.2,0.2,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9767272118529554,0.9767272118529554,7.102325264300172,566.0,0.0,566.0,"{'-1': 154.0, '2': 566.0}",123,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0559294580555514,0.1666430900084378,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_soc0p2_mpc_no_tes
robust_base_cp20_soc0p2_mpc_tes,mpc,2880,0.25,1303089.7812318336,1303089.7812318336,0.0,101326.56393663364,101326.56393663364,1448107.2443791565,124708.02,14283399.224379156,21090.0,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2261385246360905,12960000.0,14670124.184379157,1710124.1843791562,1.1319540265724657,1.1716666666666666,0,5.409006575973764e-13,27.00000000000002,0.1499999999999507,0.3028826219808944,0,0.2,0.1558749999999999,-0.044125,-794.2500000000005,88642.77866701604,71196.5527584189,3.955364042134383,31.26598002653834,198.2945292431465,167.02854921660818,768,269,1843,60,78.0,2025-07-01 19:30:00,0.9752600362402142,0.9752600362402142,7.101202405176137,566.0,0.0,566.0,"{'-1': 154.0, '2': 566.0}",123,0.1000000000001051,0,0,3.637978807091713e-12,0.1000000000001051,0.0,0,0.0,0.0,0.0,0.0,0.1020393034028226,0.3777608299875279,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_soc0p2_mpc_tes
robust_base_cp20_soc0p5_mpc_no_tes,mpc_no_tes,2880,0.25,1303101.4322209014,1303101.4322209014,0.0,101338.21492570137,101338.21492570137,1450409.1724911183,124708.02,14285701.15249112,21090.00000000009,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2258345380154355,12960000.0,14672426.112491118,1712426.1124911185,1.1321316444823393,1.1716666666666693,0,0.0,27.0,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9767272118529554,0.9767272118529554,7.102325264300172,566.0,0.0,566.0,"{'-1': 154.0, '2': 566.0}",123,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0576761019444246,0.1675644200047826,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_soc0p5_mpc_no_tes
robust_base_cp20_soc0p5_mpc_tes,mpc,2880,0.25,1302462.3174966185,1302462.3174966185,0.0,100702.46125141816,100702.46125141816,1448562.7478577103,124728.39,14283834.357857712,21090.0,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.226080999333207,12960000.0,14670559.31785771,1710559.3178577102,1.1319876016865518,1.1716666666666666,0,4.636291350834654e-13,27.000000000000025,0.1499999999999418,0.5264249994523035,0,0.5,0.1558749999999999,-0.344125,-6194.25,104242.66676916264,88853.45492847421,4.9363030515819,30.92687670203896,197.3819978066718,166.45512110463284,622,333,1925,60,74.0,2025-07-01 18:30:00,0.97601915108264,0.97601915108264,7.101783748232808,565.75,0.0,565.75,"{'-1': 154.25, '2': 565.75}",123,0.1000000000017609,0,0,3.637978807091713e-12,0.1000000000017609,0.0,0,0.0,0.0,0.0,0.0,0.0859102245138173,0.3735466399986762,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_soc0p5_mpc_tes
robust_base_cp20_soc0p8_mpc_no_tes,mpc_no_tes,2880,0.25,1303101.4322209014,1303101.4322209014,0.0,101338.21492570137,101338.21492570137,1450409.1724911183,124708.02,14285701.15249112,21090.00000000009,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2258345380154355,12960000.0,14672426.112491118,1712426.1124911185,1.1321316444823393,1.1716666666666693,0,0.0,27.0,0.8,0.8,0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9767272118529554,0.9767272118529554,7.102325264300172,566.0,0.0,566.0,"{'-1': 154.0, '2': 566.0}",123,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0590337867012042,0.1705445700041307,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_soc0p8_mpc_no_tes
robust_base_cp20_soc0p8_mpc_tes,mpc,2880,0.25,1302384.7809928944,1302384.7809928944,0.0,100624.92474769447,100624.92474769447,1447949.9706896436,124728.39,14283221.580689644,21090.0,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2261620178160826,12960000.0,14669946.540689643,1709946.5406896437,1.1319403194976576,1.1716666666666666,0,4.636291350834654e-13,27.000000000000025,0.1499999999999999,0.8,0,0.8,0.1558749999999999,-0.6441250000000001,-11594.250000000002,103740.71898766865,93205.43359718026,5.178079644287792,30.934704728590987,196.47559537618176,165.54089064759077,616,338,1926,60,71.0,2025-07-01 17:45:00,0.975628413858708,0.975628413858708,7.101484616118419,565.75,0.0,565.75,"{'-1': 154.25, '2': 565.75}",123,0.1000000000000012,0,0,0.0,0.1000000000000012,0.0,0,0.0,0.0,0.0,0.0,0.0879270362499129,0.3885616999970807,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_soc0p8_mpc_tes
robust_base_cp20_h6_mpc_no_tes,mpc_no_tes,2880,0.25,1314323.2075217422,1314323.2075217422,0.0,109393.07782074228,109393.07782074228,1419384.653048433,107419.25499999923,14271965.398048434,21090.0,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2276606552616774,12960000.0,14658690.358048435,1698690.358048434,1.1310717868864533,1.1716666666666666,0,8.881784197001252e-16,27.000000000000004,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9204976484770182,0.9204976484770182,7.056067760339819,588.5,0.0,588.5,"{'-1': 117.5, '0': 15.75, '2': 586.75}",160,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0787390615970707,0.2216075050084324,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_h6_mpc_no_tes
robust_base_cp20_h6_mpc_tes,mpc,2880,0.25,1311164.398999732,1311164.398999732,0.0,105941.51500648283,105941.51500648283,1417363.1439633477,105212.15676576251,14272150.987197584,21090.0,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2276357850836195,12960000.0,14658875.947197586,1698875.947197585,1.1310861070368508,1.1716666666666666,0,9.64561763794336e-13,27.00000000000004,0.1400671473265468,0.5,0,0.5,0.15,-0.35,-6300.0,87243.36955147803,75564.20709495874,4.198011505275486,29.635523776264453,162.51120423938397,132.87568046311952,769,475,1636,63,35.0,2025-07-01 08:45:00,0.9312838603347028,0.9312838603347028,7.069538953695284,594.25,0.0,594.25,"{'-1': 119.5, '0': 27.0, '1': 1.0, '2': 572.5}",158,0.1000000000003011,0,0,3.637978807091713e-12,0.1000000000003011,0.0,0,0.0,0.0,0.0,0.0,0.0934154687498499,0.2339050350048634,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_h6_mpc_tes
robust_base_cp20_h12_mpc_no_tes,mpc_no_tes,2880,0.25,1303101.4322209014,1303101.4322209014,0.0,101338.21492570137,101338.21492570137,1450409.1724911183,124708.02,14285701.15249112,21090.00000000009,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2258345380154355,12960000.0,14672426.112491118,1712426.1124911185,1.1321316444823393,1.1716666666666693,0,0.0,27.0,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9767272118529554,0.9767272118529554,7.102325264300172,566.0,0.0,566.0,"{'-1': 154.0, '2': 566.0}",123,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0595571777777826,0.175216880004882,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_h12_mpc_no_tes
robust_base_cp20_h12_mpc_tes,mpc,2880,0.25,1302988.6022383643,1302988.6022383643,0.0,101225.38494316448,101225.38494316448,1447493.948427763,124708.02,14282785.928427763,21090.0,0.0,0,386724.96,386724.96,0.0,,0.0,0.0,1.0,0.2262196530117868,12960000.0,14669510.888427764,1709510.888427763,1.131906704353994,1.1716666666666666,0,7.72715225139109e-13,27.00000000000003,0.1499999999999998,0.5350889721319829,0,0.5,0.1558749999999999,-0.344125,-6194.25,88615.75589259338,75926.10289345661,4.218116827414256,31.265795859232405,197.83409752336587,166.56830166413346,680,304,1896,60,74.0,2025-07-01 18:30:00,0.9748691409474368,0.9748691409474368,7.100902734958176,566.0,0.0,566.0,"{'-1': 154.0, '2': 566.0}",123,0.1000000000000012,0,0,1.8917489796876907e-10,0.1000000000000012,0.0,0,0.0,0.0,0.0,0.0,0.1015823703821095,0.4048995100049068,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\robust_base_cp20_h12_mpc_tes
