timestamp,step,scenario_id,controller_type,outdoor_temp_c,wet_bulb_c,it_load_kw,pv_actual_kw,pv_forecast_kw,price_currency_per_mwh,demand_charge_rate,base_facility_kw,base_cooling_kw_th,q_chiller_kw_th,q_load_kw_th,q_ch_tes_kw_th,q_dis_tes_kw_th,u_ch,u_dis,du_ch,du_dis,mode_index,plant_power_kw,cold_station_power_kw,grid_import_kw,pv_spill_kw,peak_grid_kw,room_temp_c,predicted_room_temp_c,soc,predicted_soc,facility_power_kw,pue,fallback_used,z_mode_0,z_mode_1,z_mode_2
2025-07-01 00:00:00,0,smoke_chiller_rbc,rbc,33.242640687119284,29.242640687119284,18000.0,0.0,0.0,29.0,0.0,21833.470129472586,2160.0,4330.0,3880.0,450.0,0.0,0.1,0.0,0.1,0.0,0,663.58,663.58,663.58,0.0,663.58,24.0,24.0,0.5,0.5,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 00:15:00,1,smoke_chiller_rbc,rbc,32.95607489060041,28.956074890600412,18000.0,0.0,0.0,29.0,0.0,21812.837392123227,2160.0,4330.0,3430.0,900.0,0.0,0.2,0.0,0.1,0.0,0,663.58,663.58,663.58,0.0,663.58,24.12452985386505,24.12452985386505,0.505625,0.505625,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 00:30:00,2,smoke_chiller_rbc,rbc,32.652568574052324,28.652568574052324,18000.0,0.0,0.0,29.0,0.0,21790.984937331767,2160.0,4330.0,2980.0,1350.0000000000002,0.0,0.30000000000000004,0.0,0.10000000000000003,0.0,0,663.58,663.58,663.58,0.0,663.58,24.248772294696682,24.248772294696682,0.5171221875,0.5171221875,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 00:45:00,3,smoke_chiller_rbc,rbc,32.333421398117615,28.333421398117615,18000.0,0.0,0.0,29.0,0.0,21768.006340664466,2160.0,4330.0,2530.0,1800.0,0.0,0.4,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,24.372633648768055,24.372633648768055,0.5344886264062501,0.5344886264062501,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 01:00:00,4,smoke_chiller_rbc,rbc,32.0,28.0,18000.0,0.0,0.0,29.0,0.0,21744.0,2160.0,4330.0,2080.0,2250.0,0.0,0.5,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,24.496028079858146,24.496028079858146,0.5577213820930469,0.5577213820930469,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 01:15:00,5,smoke_chiller_rbc,rbc,31.65373214131401,27.65373214131401,18000.0,0.0,0.0,29.0,0.0,21719.068714174606,2160.0,4330.0,1630.0,2700.0,0.0,0.6,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,24.618877921908943,24.618877921908943,0.5868175214020004,0.5868175214020004,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 01:30:00,6,smoke_chiller_rbc,rbc,31.296100594190538,27.296100594190538,18000.0,0.0,0.0,29.0,0.0,21693.31924278172,2160.0,4330.0,1180.0,3150.0,0.0,0.7,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,24.741113976893097,24.741113976893097,0.6217741126412994,0.6217741126412994,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 01:45:00,7,smoke_chiller_rbc,rbc,30.92863679181897,26.92863679181897,18000.0,0.0,0.0,29.0,0.0,21666.861849010966,2160.0,4330.0,730.0000000000005,3599.9999999999995,0.0,0.7999999999999999,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,24.862675776615394,24.862675776615394,0.6625882255849788,0.6625882255849788,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 02:00:00,8,smoke_chiller_rbc,rbc,30.552914270615126,26.552914270615126,18000.0,0.0,0.0,29.0,0.0,21639.809827484285,2160.0,4330.0,280.00000000000045,4049.9999999999995,0.0,0.8999999999999999,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,24.98351180732591,24.98351180732591,0.7092569314721864,0.7092569314721864,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 02:15:00,9,smoke_chiller_rbc,rbc,30.170541932096768,26.170541932096768,18000.0,0.0,0.0,29.0,0.0,21612.279019110967,2160.0,4499.999999999999,0.0,4499.999999999999,0.0,0.9999999999999999,0.0,0.09999999999999998,0.0,0,684.9999999999999,684.9999999999999,684.9999999999999,0.0,684.9999999999999,25.103579696181914,25.103579696181914,0.7617773030064503,0.7617773030064503,18685.0,1.0380555555555555,False,1,0,0
2025-07-01 02:30:00,10,smoke_chiller_rbc,rbc,29.78315715332031,25.78315715332031,18000.0,0.0,0.0,29.0,0.0,21584.38731503906,2160.0,4330.0,2043.3423761236063,2286.6576238763937,0.0,0.8999999999999999,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,25.222081358758935,25.222081358758935,0.8201464143549471,0.8201464143549471,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 02:45:00,11,smoke_chiller_rbc,rbc,29.392418775380857,25.392418775380857,18000.0,0.0,0.0,29.0,0.0,21556.254151827423,2160.0,4330.0,4298.590137322578,31.40986267742191,0.0,0.7999999999999999,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,25.328542369410787,25.328542369410787,0.8495899267928225,0.8495899267928225,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 03:00:00,12,smoke_chiller_rbc,rbc,29.0,25.0,18000.0,0.0,0.0,29.0,0.0,21528.0,2160.0,4330.0,4297.462513441985,32.53748655801549,0.0,0.7,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,25.42205801857642,25.42205801857642,0.8495752050366037,0.8495752050366037,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 03:15:00,13,smoke_chiller_rbc,rbc,28.607581224619143,24.607581224619143,18000.0,0.0,0.0,29.0,0.0,21499.745848172577,2160.0,4330.0,4297.463077253918,32.536922746082176,0.0,0.6,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,25.512845360911438,25.512845360911438,0.8495752123974817,0.8495752123974817,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 03:30:00,14,smoke_chiller_rbc,rbc,28.21684284667969,24.21684284667969,18000.0,0.0,0.0,29.0,0.0,21471.612684960935,2160.0,4330.0,4297.463076972016,32.536923027984336,0.0,0.5,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,25.600914666297154,25.600914666297154,0.8495752123938013,0.8495752123938013,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 03:45:00,15,smoke_chiller_rbc,rbc,27.829458067903232,23.829458067903232,18000.0,0.0,0.0,29.0,0.0,21443.720980889033,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.4,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,25.68629067846543,25.68629067846543,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 04:00:00,16,smoke_chiller_rbc,rbc,27.447085729384874,23.447085729384874,18000.0,0.0,0.0,29.0,0.0,21416.19017251571,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.30000000000000004,0.0,0.09999999999999998,0.0,0,663.58,663.58,663.58,0.0,663.58,25.769007411184642,25.769007411184642,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 04:15:00,17,smoke_chiller_rbc,rbc,27.07136320818103,23.07136320818103,18000.0,0.0,0.0,29.0,0.0,21389.13815098903,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.20000000000000004,0.0,0.1,0.0,0,663.58,663.58,663.58,0.0,663.58,25.849108017878148,25.849108017878148,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 04:30:00,18,smoke_chiller_rbc,rbc,26.70389940580946,22.70389940580946,18000.0,0.0,0.0,29.0,0.0,21362.68075721828,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.10000000000000003,0.0,0.1,0.0,0,663.58,663.58,663.58,0.0,663.58,25.926644619477226,25.926644619477226,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 04:45:00,19,smoke_chiller_rbc,rbc,26.34626785868599,22.34626785868599,18000.0,0.0,0.0,29.0,0.0,21336.931285825387,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.007230427339521839,0.0,0.0927695726604782,0.0,0,663.58,663.58,663.58,0.0,663.58,26.00167809380397,26.00167809380397,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 05:00:00,20,smoke_chiller_rbc,rbc,26.0,22.0,18000.0,40.8,40.8,29.0,0.0,21312.0,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.007230427339521839,0.0,0.0,0.0,0,663.58,663.58,622.7800000000001,0.0,622.7800000000001,26.07427782738506,26.07427782738506,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 05:15:00,21,smoke_chiller_rbc,rbc,25.666578601882385,21.666578601882385,18000.0,40.8,40.8,29.0,0.0,21287.99365933553,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.007230427339521839,0.0,0.0,0.0,0,663.58,663.58,622.7800000000001,0.0,622.7800000000001,26.144521430759646,26.144521430759646,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 05:30:00,22,smoke_chiller_rbc,rbc,25.347431425947676,21.347431425947676,18000.0,40.8,40.8,29.0,0.0,21265.01506266823,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.007230427339521839,0.0,0.0,0.0,0,663.58,663.58,622.7800000000001,0.0,622.7800000000001,26.21249441850084,26.21249441850084,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
2025-07-01 05:45:00,23,smoke_chiller_rbc,rbc,25.043925109399588,21.043925109399588,18000.0,40.8,40.8,29.0,0.0,21243.16260787677,2160.0,4330.0,4297.463076972152,32.536923027848275,0.0,0.007230427339521839,0.0,0.0,0.0,0,663.58,663.58,622.7800000000001,0.0,622.7800000000001,26.278289855321354,26.278289855321354,0.8495752123938031,0.8495752123938031,18663.58,1.0368655555555557,False,1,0,0
