step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
2548,2548,2024-01-27 13:00:00,0.864703333299172,7.391131233515413,0.579552097418155,0.45,0.0,1.0,0.0,0.0,74.92016423590178,0.0,7.419911867667212,25.92531977510603,3.75,2.4767599591415657,0.0,0.0,7219.401500298844,7219.401500298843,2510.34,4709.061500298844,97.71302613120102,0.083,0.579552097418155
2549,2549,2024-01-27 13:15:00,0.8603998432570786,7.414068835439771,0.5370344881865298,0.45,0.0,1.0,0.0,0.0,-268.31193240151083,0.0,7.379583720972684,25.92002016450343,3.5,2.2402721369906953,0.0,0.0,7262.7664631695,7262.766463169501,0.0,7262.7664631695,52.65505685797888,0.029,0.5370344881865298
2550,2550,2024-01-27 13:30:00,0.8632708784390818,7.398766217919694,0.4845064190444072,0.45,0.0,1.0,0.0,0.0,-554.5765414109405,0.0,7.295378424447001,25.877044871502562,3.25,2.00373482116081,0.0,0.0,7306.146632339981,7306.146632339981,0.0,7306.146632339981,52.969563084464866,0.029,0.4845064190444072
2551,2551,2024-01-27 13:45:00,0.8751535569577427,7.335431541415232,0.42820645455316764,0.45,0.0,1.0,0.0,0.0,-755.9608695555776,0.0,7.180309896777438,25.796640980990645,3.0,1.76714999969972,0.0,0.0,7336.8309785100555,7336.8309785100555,0.0,7336.8309785100555,53.1920245941979,0.029,0.42820645455316764
2552,2552,2024-01-27 14:00:00,0.8939880981082596,7.235043437082976,0.3726668685068492,0.45,0.0,1.0,0.0,0.0,-837.8178195643333,0.0,7.052701536173542,25.68975448380345,3.025,1.545615081859041,0.0,0.0,7335.983104185728,7335.983104185728,1560.18,5775.8031041857275,119.84791441185385,0.083,0.3726668685068492
2553,2553,2024-01-27 14:15:00,0.916810545491491,7.113399792530353,0.31731518469428316,0.45,0.0,1.0,0.0,0.0,-870.677232055969,0.0,6.920064008693042,25.568553866610735,3.05,1.3230219340798905,0.0,0.0,7334.862383546923,7334.8623835469225,0.0,7334.862383546923,53.1777522807152,0.029,0.31731518469428316
2554,2554,2024-01-27 14:30:00,0.9412468184754428,6.98315445752589,0.2618233087505348,0.45,0.0,1.0,0.0,0.0,-899.6703149110041,0.0,6.782990189284999,25.439783010041964,3.075,1.099377089795133,0.0,0.0,7333.595969484157,7333.595969484157,0.0,7333.595969484157,53.16857077876014,0.029,0.2618233087505348
2555,2555,2024-01-27 14:45:00,0.9665683254838506,6.848190825171076,0.20606968737983325,0.45,0.0,1.0,0.0,0.0,-926.5918373304752,0.0,6.641798079510113,25.30585383888015,3.1,0.8746762700702624,0.0,0.0,7332.252947849732,7332.252947849732,0.0,7332.252947849732,53.15883387191056,0.029,0.20606968737983325
2556,2556,2024-01-27 15:00:00,0.9926908736772885,6.708957643300052,0.17319891130196347,0.45,0.0,1.0,0.0,0.0,-876.9004584553649,0.0,6.50822843733567,25.1714284909971,3.0500000000000003,0.8072788817633432,0.0,0.0,7325.399590004727,7325.399590004727,1118.7,6206.699590004727,128.78901649259808,0.083,0.17319891130196347
2557,2557,2024-01-27 15:15:00,1.0,6.571762309780148,0.15019631432926525,0.45,0.0,1.0,0.0,0.0,-728.4015764855279,0.0,6.397420250067597,25.046836887610375,3.0,0.7398432329575829,0.0,0.0,7289.221796003917,7289.221796003915,0.0,7289.221796003917,52.8468580210284,0.029,0.15019631432926525
