timestamp,step,solve_status,objective_value,solve_time_s,mip_gap,mode_index,predicted_peak_grid_kw,episode_peak_grid_so_far_kw,solver_error
2025-07-01 00:00:00,0,optimal,41323.019649269925,0.08014079999702517,0.0004984833928516678,-1,21090.0,18000.0,
2025-07-01 00:15:00,1,optimal,41329.99230447529,0.07213849999243394,0.00017867101995950677,2,21090.0,20397.0,
2025-07-01 00:30:00,2,optimal,41327.469337970884,0.08325090000289492,0.00015384132358553504,2,21090.0,20397.0,
2025-07-01 00:45:00,3,optimal,41329.56259405448,0.07950189999246504,0.00014848537925369663,2,21090.0,20397.0,
2025-07-01 01:00:00,4,optimal,41331.2616502386,0.0769365000014659,0.0001431432667750914,2,21090.0,21042.902789816617,
2025-07-01 01:15:00,5,optimal,41327.87422498022,0.07658930000616238,0.00014429512125519668,2,21090.0,21089.999999999927,
2025-07-01 01:30:00,6,optimal,41323.733150463304,0.07232189999194816,0.0001453262414278987,2,21090.0,21090.0,
2025-07-01 01:45:00,7,optimal,41319.31098162854,0.18188970000483096,0.00014910384714022425,2,21090.0,21090.0,
2025-07-01 02:00:00,8,optimal,41314.84274635099,0.08264220001001377,0.00016093515390198452,2,21090.00000000003,21090.00000000003,
2025-07-01 02:15:00,9,optimal,41310.13089292736,0.18586080000386573,0.00017350131154812782,2,21090.0,21090.00000000003,
2025-07-01 02:30:00,10,optimal,41305.158976786435,0.07502849999582395,0.00018608687741142717,2,21090.0,21090.00000000003,
2025-07-01 02:45:00,11,optimal,41300.02462377747,0.06926979999116156,0.00019862611010446993,2,21090.000000000153,21090.000000000153,
2025-07-01 03:00:00,12,optimal,41294.73506613731,0.08764380001230165,0.00021185033084161653,2,21090.0,21090.000000000153,
2025-07-01 03:15:00,13,optimal,41289.289152583675,0.07729119999567047,0.00022582554844942016,2,21090.0,21090.000000000153,
2025-07-01 03:30:00,14,optimal,41283.686883116556,0.07908099998894613,0.0002405521321297908,2,21090.000000000164,21090.000000000164,
2025-07-01 03:45:00,15,optimal,41277.929409018245,0.07674000000406522,0.00025602658455604107,2,21090.0,21090.000000000164,
2025-07-01 04:00:00,16,optimal,41272.01902792338,0.07939669999177568,0.0002722439325158592,2,21090.000000000204,21090.000000000204,
2025-07-01 04:15:00,17,optimal,41265.92292013274,0.07180910000170115,0.00028919535490039874,2,21090.000000000015,21090.000000000204,
2025-07-01 04:30:00,18,optimal,41259.57619824612,0.07489289999648463,0.0003068774527306523,2,21090.0,21090.000000000204,
2025-07-01 04:45:00,19,optimal,41252.97948000227,0.07074689998989925,0.00032530962633471876,2,21089.999999999978,21090.000000000204,
2025-07-01 05:00:00,20,optimal,41246.13889444783,0.07487660000333562,0.0003444590586982602,2,21049.2,21090.000000000204,
2025-07-01 05:15:00,21,optimal,41239.30893033873,0.07468150000204332,0.0003643039509365093,2,21049.200000000164,21090.000000000204,
2025-07-01 05:30:00,22,optimal,41233.40524392995,0.07351569998718332,0.0004127864859529378,2,21049.2,21090.000000000204,
2025-07-01 05:45:00,23,optimal,41228.61354759598,0.0741390000039246,0.0004941535286078167,2,21049.200000000124,21090.000000000204,
2025-07-01 06:00:00,24,optimal,41234.27361259372,0.07107449999602977,0.0008344875130634739,2,21090.0,21090.000000000204,
2025-07-01 06:15:00,25,optimal,41217.9624653703,0.07218190000276081,0.0006311823607644377,2,21090.0,21090.000000000204,
2025-07-01 06:30:00,26,optimal,41215.60770677583,0.17913669999688864,0.0007711636635604187,2,20933.909383423736,21090.000000000204,
2025-07-01 06:45:00,27,optimal,41318.18764863678,0.07636939999065362,0.0034531241147766722,2,21090.0,21090.000000000204,
2025-07-01 07:00:00,28,optimal,41213.66440367988,0.07281709999369923,0.0011316914032226217,2,21090.0,21090.000000000204,
2025-07-01 07:15:00,29,optimal,41194.576065469446,0.07675340000423603,0.0008251456716481775,2,21090.0,21090.000000000204,
2025-07-01 07:30:00,30,optimal,41203.59128593264,0.16821920000074897,0.0012034170347070068,2,20933.909383423786,21090.000000000204,
2025-07-01 07:45:00,31,optimal,41175.42033613561,0.07496779999928549,0.0006829220918037743,2,21090.0,21090.000000000204,
2025-07-01 08:00:00,32,optimal,41169.57023265796,0.07649239999591373,0.0007063196928914318,-1,21090.0,21090.000000000204,
2025-07-01 08:15:00,33,optimal,41214.43227944242,0.07419329999538604,0.0006237774481227909,-1,21090.0,21090.000000000204,
2025-07-01 08:30:00,34,optimal,41270.0086159271,0.07279120000021067,0.0007972166126239751,-1,21090.0,21090.000000000204,
2025-07-01 08:45:00,35,optimal,41305.49180920391,0.07533150000381283,0.00048069156409476455,-1,21090.0,21090.000000000204,
