step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
1980,1980,2024-01-21 15:00:00,0.2753994995202112,10.532120667557274,-0.7683065899028665,0.45,0.0,0.0,1.0,1.0,0.0,-1794.8572034331673,10.209369061290394,25.240469334162555,12.3,7.136166186019779,2541.5243580595725,8680.99922210692,10830.392254346185,10830.392254346185,77.04,10753.352254346184,223.13205927768334,0.083,-0.7683065899028665,default_mpc,0.083,77.04,0.2753994995202112,-0.7683065899028665,0.0,10297.768525580605,optimal_relaxed_modes,0.001038299989886582,False,,3457.3796545628993,-0.7683065899028665
1981,1981,2024-01-21 15:15:00,0.31049760369326135,10.345047772314917,-0.7683230744288815,0.45,0.0,0.0,1.0,1.0,0.0,-1665.221412102189,9.954498513595441,25.233882360646778,12.2,6.943700073163356,2541.5243580595725,8548.946591029258,10830.332386568427,10830.332386568427,0.0,10830.332386568427,78.5199098026211,0.029,-0.7683230744288815,default_mpc,0.029,0.0,0.31049760369326135,-0.7683230744288815,0.0,10297.768525580605,optimal_relaxed_modes,0.001357900007860735,False,,3457.4538349299664,-0.7683230744288815
1982,1982,2024-01-21 15:30:00,0.3601622501113174,10.080335206906678,-0.7683448182634985,0.45,0.0,0.0,1.0,1.0,0.0,-1544.9739716799245,9.718114291932002,25.230518856177774,12.1,6.751483856691663,2533.6074373671763,8425.927648475426,10822.377408481312,10822.377408481312,0.0,10822.377408481312,78.46223621148951,0.029,-0.7683448182634985,default_mpc,0.029,0.0,0.3601622501113174,-0.7683448182634985,0.0,10297.768525580605,optimal_relaxed_modes,0.0011817000049632043,False,,3457.5516821857436,-0.7683448182634985
1983,1983,2024-01-21 15:45:00,0.40622442573437406,9.834823810835786,-0.7683720810280322,0.45,0.0,0.0,1.0,1.0,0.0,-1433.4444380846717,9.498871511376699,25.228595530191548,12.0,6.5595200024101645,2499.606433808139,8312.851726871048,10788.343823848702,10788.343823848702,0.0,10788.343823848702,78.2154927229031,0.029,-0.7683720810280322,default_mpc,0.029,0.0,0.40622442573437406,-0.7683720810280322,0.0,10297.768525580605,optimal_relaxed_modes,0.0018334000196773559,False,,3457.674364626145,-0.7683720810280322
1984,1984,2024-01-21 16:00:00,0.44894599752495484,9.60711783319199,1.0,0.45,0.0,1.0,1.0,0.0,2649.6634184993363,-14.964089851905888,10.032929518979907,28.330217732192217,11.75,6.437686972360519,0.0,0.0,7043.43892728268,7043.438927282678,10.8,7032.63892728268,145.92725774111562,0.083,1.0,default_mpc,0.083,10.8,0.44894599752495484,1.0,0.0,2339.9259463932494,optimal_relaxed_modes,0.0012494999973569065,False,,-4500.0,1.0
1985,1985,2024-01-21 16:15:00,0.3744369343546569,10.004251139889679,-0.768452501623765,0.45,0.0,1.0,1.0,0.0,1642.151119088811,-6.5667456882632385,10.327717659794699,28.67788578015173,11.5,6.313923213293302,0.0,0.0,7108.908910232314,7108.908910232312,0.0,7108.908910232314,51.53958959918428,0.029,-0.768452501623765,default_mpc,0.029,0.0,0.3744369343546569,-0.768452501623765,0.0,10297.768525580605,optimal_relaxed_modes,0.0013212999911047518,False,,3458.0362573069424,-0.768452501623765
1986,1986,2024-01-21 16:30:00,0.32146105660742186,10.286612568282441,-0.768498765329882,0.45,0.0,0.0,1.0,1.0,0.0,-1678.6751879132676,10.089741799904127,25.331533383424986,11.25,6.188248991449786,2541.5243580595725,8601.919200046455,10867.345649459627,10867.345649459627,0.0,10867.345649459627,78.7882559585823,0.029,-0.768498765329882,default_mpc,0.029,0.0,0.32146105660742186,-0.768498765329882,0.0,10297.768525580605,optimal_relaxed_modes,0.0011738000030163676,False,,3458.2444439844694,-0.768498765329882
1987,1987,2024-01-21 16:45:00,0.3549604926991351,10.10806057391361,-0.7685491929275755,0.45,0.0,0.0,1.0,1.0,0.0,-1568.8077195674862,9.843562774147204,25.244802779265267,11.0,6.0606890178068635,2541.5243580595725,8465.758674395816,10830.51907765148,10830.519077651477,0.0,10830.51907765148,78.52126331297323,0.029,-0.7685491929275755,default_mpc,0.029,0.0,0.3549604926991351,-0.7685491929275755,0.0,10297.768525580605,optimal_relaxed_modes,0.0011208000069018453,False,,3458.4713681740895,-0.7685491929275755
1988,1988,2024-01-21 17:00:00,0.39711031509404104,9.883402020548761,1.0,0.45,0.0,1.0,1.0,0.0,1222.330615941521,-3.8620579934400086,10.149204650312587,28.489985076902876,10.375,5.752387818696086,0.0,0.0,7096.3772900520735,7096.3772900520735,0.0,7096.3772900520735,280.3069029570569,0.158,1.0,default_mpc,0.158,0.0,0.39711031509404104,1.0,0.0,2338.9902281979703,optimal_relaxed_modes,0.0011190999939572066,False,,-4500.0,1.0
1989,1989,2024-01-21 17:15:00,0.3497353204572299,10.135910741962965,-0.7686945542581382,0.45,0.0,1.0,1.0,0.0,304.6338679410202,3.6732675244576365,10.232750289354401,28.665538371356583,9.75,5.431277895882115,0.0,0.0,7179.032223511429,7179.032223511429,0.0,7179.032223511429,52.04798362045786,0.029,-0.7686945542581382,default_mpc,0.029,0.0,0.3497353204572299,-0.7686945542581382,0.0,10297.768525580605,optimal_relaxed_modes,0.0011597000120673329,False,,3459.1254941616216,-0.7686945542581382
