step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th
0,26208,2024-10-01 00:00:00,measured_data_mpc,0.029,0.0,0.0,-0.3263949251168261,0.0,8997.370624580708,optimal_relaxed_modes,0.0015710000006947666,False,,2152.4572894820258
1,26209,2024-10-01 00:15:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8997.710978374167,optimal_relaxed_modes,0.0011911999899894,False,,2152.457289482025
2,26210,2024-10-01 00:30:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8997.938519784559,optimal_relaxed_modes,0.001441000000340864,False,,2152.457289482025
3,26211,2024-10-01 00:45:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8998.120148267295,optimal_relaxed_modes,0.0012346000003162771,False,,2152.457289482025
4,26212,2024-10-01 01:00:00,measured_data_mpc,0.029,0.0,0.0,-0.3263949251168261,0.0,8998.656448337137,optimal_relaxed_modes,0.0016109999851323664,False,,2152.4572894820258
5,26213,2024-10-01 01:15:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8998.85417448688,optimal_relaxed_modes,0.0014177999983076006,False,,2152.457289482025
6,26214,2024-10-01 01:30:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682583,0.0,8998.875989312168,optimal_relaxed_modes,0.0020299000025261194,False,,2152.457289482024
7,26215,2024-10-01 01:45:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8998.82169693185,optimal_relaxed_modes,0.0015753000043332577,False,,2152.457289482025
8,26216,2024-10-01 02:00:00,measured_data_mpc,0.029,0.0,0.0,-0.3263949251168261,0.0,8997.824365914716,optimal_relaxed_modes,0.0017226999916601926,False,,2152.4572894820258
9,26217,2024-10-01 02:15:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682583,0.0,8997.291400238275,optimal_relaxed_modes,0.0015647999825887382,False,,2152.457289482024
10,26218,2024-10-01 02:30:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8997.000655376156,optimal_relaxed_modes,0.001428999996278435,False,,2152.457289482025
11,26219,2024-10-01 02:45:00,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8996.80722217856,optimal_relaxed_modes,0.001324300013948232,False,,2152.457289482025
12,26220,2024-10-01 03:00:00,measured_data_mpc,0.029,0.0,0.002450095464423624,-0.3263949251168261,0.0,8998.665904584072,optimal_relaxed_modes,0.001132499979576096,False,,2152.4572894820258
13,26221,2024-10-01 03:15:00,measured_data_mpc,0.029,0.0,0.07446372043548047,-0.3263949251168261,0.0,8999.45269027224,optimal_relaxed_modes,0.0011434000043664128,False,,2152.4572894820258
14,26222,2024-10-01 03:30:00,measured_data_mpc,0.029,0.0,0.14125169478805225,-0.32639492511682583,0.0,8999.67637425728,optimal_relaxed_modes,0.0016905000084079802,False,,2152.457289482024
15,26223,2024-10-01 03:45:00,measured_data_mpc,0.029,0.0,0.20319365685786622,-0.32639492511682583,0.0,9006.66557281536,optimal_relaxed_modes,0.001277900009881705,False,,2152.457289482024
16,26224,2024-10-01 04:00:00,measured_data_mpc,0.029,0.0,0.2606408920743742,-0.3263949251168261,0.0,9002.531394696034,optimal_relaxed_modes,0.00114969999413006,False,,2152.4572894820258
17,26225,2024-10-01 04:15:00,measured_data_mpc,0.029,0.0,0.31391987663304655,-0.32639492511682583,0.0,9000.249026194266,optimal_relaxed_modes,0.0013072000001557171,False,,2152.457289482024
18,26226,2024-10-01 04:30:00,measured_data_mpc,0.029,0.0,0.3633339719771357,-0.3263949251168261,0.0,8999.282706488753,optimal_relaxed_modes,0.0017586000030860305,False,,2152.4572894820258
19,26227,2024-10-01 04:45:00,measured_data_mpc,0.029,0.0,0.4091638396128549,0.09031299939742772,0.0,6250.791136056244,optimal_relaxed_modes,0.0012792999914381653,False,,-595.5817904288788
20,26228,2024-10-01 05:00:00,measured_data_mpc,0.029,0.0,0.271111970501768,-0.3263949251168261,0.0,8998.525798692775,optimal_relaxed_modes,0.0011341999925207347,False,,2152.4572894820258
21,26229,2024-10-01 05:15:00,measured_data_mpc,0.029,0.0,0.087163284516073,-0.32639492511682583,0.0,8998.34239092941,optimal_relaxed_modes,0.0011156000255141407,False,,2152.457289482024
22,26230,2024-10-01 05:30:00,measured_data_mpc,0.029,0.0,0.12383288673454722,-0.3263949251168261,0.0,8998.212362422353,optimal_relaxed_modes,0.001334800006588921,False,,2152.4572894820258
23,26231,2024-10-01 05:45:00,measured_data_mpc,0.029,0.0,0.18703472689153328,-0.32639492511682583,0.0,8998.104625176937,optimal_relaxed_modes,0.0013174000196158886,False,,2152.457289482024
24,26232,2024-10-01 06:00:00,measured_data_mpc,0.029,184.2,0.2215871224407076,-0.3263949251168261,0.0,8999.082439073667,optimal_relaxed_modes,0.0015112999826669693,False,,2152.4572894820258
25,26233,2024-10-01 06:15:00,measured_data_mpc,0.029,0.0,0.2777004178829793,-0.32639492511682583,0.0,8999.522750370546,optimal_relaxed_modes,0.0013198000087868422,False,,2152.457289482024
26,26234,2024-10-01 06:30:00,measured_data_mpc,0.029,0.0,0.3297423372818909,-0.3263949251168261,0.0,8999.680989264281,optimal_relaxed_modes,0.0013504000089596957,False,,2152.4572894820258
27,26235,2024-10-01 06:45:00,measured_data_mpc,0.029,0.0,0.3780085206291026,-0.3263949251168261,0.0,8999.72313985183,optimal_relaxed_modes,0.0014019000227563083,False,,2152.4572894820258
28,26236,2024-10-01 07:00:00,measured_data_mpc,0.029,1195.68,0.42277399481177,-0.32639492511682594,0.0,8998.737212961541,optimal_relaxed_modes,0.001654499996220693,False,,2152.457289482025
