step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,17376,2024-07-01 00:00:00,0.0,16.36367167302145,-0.7660875461227851,0.45,0.0,0.0,1.0,1.0,0.0,-4564.143415838156,15.662194907113552,25.451811930390868,26.550000000000004,24.471064721091494,2843.5393974522876,11374.791878870477,10618.091877927573,10618.091877927573,0.0,10618.091877927573,76.98116611497491,0.029,-0.7660875461227851,default_mpc,0.029,0.0,0.0,-0.7660875461227851,0.0,10297.768525580605,optimal_relaxed_modes,0.0015470999933313578,False,,3447.393957552533,-0.7660875461227851
1,17377,2024-07-01 00:15:00,0.0,16.00862739087692,-0.7655229766357188,0.45,0.0,0.0,1.0,1.0,0.0,-4233.909881490864,15.011517616010018,25.433987179003594,26.5,24.493252530424748,2844.0542219551726,11132.459108387113,10622.030359405457,10622.030359405457,0.0,10622.030359405457,77.00972010568957,0.029,-0.7655229766357188,default_mpc,0.029,0.0,0.0,-0.7655229766357188,0.0,10297.768525580605,optimal_relaxed_modes,0.0016620999958831817,False,,3444.8533948607346,-0.7655229766357188
2,17378,2024-07-01 00:30:00,0.0,15.332772292250064,-0.7653109639221617,0.45,0.0,0.0,1.0,1.0,0.0,-3927.5951417594797,14.408119466627275,25.413860689564206,26.449999999999996,24.51507596201531,2844.559605940573,10825.97384593403,10621.957450988692,10621.957450988693,0.0,10621.957450988692,77.00919151966802,0.029,-0.7653109639221617,default_mpc,0.029,0.0,0.0,-0.7653109639221617,0.0,10297.768525580605,optimal_relaxed_modes,0.0016827999788802117,False,,3443.8993376497274,-0.7653109639221617
3,17379,2024-07-01 00:45:00,0.0,14.706031763207061,-0.7652445618757445,0.45,0.0,0.0,1.0,1.0,0.0,-3643.668326131659,13.848536221187818,25.58343122390356,26.4,24.536531771133188,2845.0555094288657,10541.068097124467,10626.068793605431,10626.06879360543,0.0,10626.068793605431,77.03899875363938,0.029,-0.7652445618757445,default_mpc,0.029,0.0,0.0,-0.7652445618757445,0.0,10297.768525580605,optimal_relaxed_modes,0.001211199996760115,False,,3443.60052844085,-0.7652445618757445
4,17380,2024-07-01 01:00:00,0.0,14.124816294558153,-0.7638102535222402,0.45,0.0,0.0,1.0,1.0,0.0,-3380.2749383688397,13.32958833597553,25.553144546425248,26.449999999999996,24.584561465842416,2846.1198627857607,10283.055100050578,10623.120141279347,10623.120141279347,0.0,10623.120141279347,77.01762102427527,0.029,-0.7638102535222402,default_mpc,0.029,0.0,0.0,-0.7638102535222402,0.0,10297.768525580605,optimal_relaxed_modes,0.001301399985095486,False,,3437.146140850081,-0.7638102535222402
5,17381,2024-07-01 01:15:00,0.0,13.58580594716535,-0.7651087284169716,0.45,0.0,0.0,1.0,1.0,0.0,-3135.9296286296612,12.848312450426452,25.532923272788402,26.5,24.63259642574291,2847.220477770717,10031.699803456817,10622.906592924286,10622.906592924286,0.0,10622.906592924286,77.01607279870107,0.029,-0.7651087284169716,default_mpc,0.029,0.0,0.0,-0.7651087284169716,0.0,10297.768525580605,optimal_relaxed_modes,0.0011944000143557787,False,,3442.9892778763724,-0.7651087284169716
6,17382,2024-07-01 01:30:00,0.0,13.085930637168278,-0.7657973020404376,0.45,0.0,0.0,1.0,1.0,0.0,-2909.2560570327923,12.40197012289251,25.518681788545916,26.550000000000004,24.680631849804186,2848.3160905191985,9801.054765549157,10622.949978059514,10622.949978059514,0.0,10622.949978059514,77.01638734093149,0.029,-0.7657973020404376,default_mpc,0.029,0.0,0.0,-0.7657973020404376,0.0,10297.768525580605,optimal_relaxed_modes,0.0010949000134132802,False,,3446.087859181969,-0.7657973020404376
7,17383,2024-07-01 01:45:00,0.0,12.622340882583035,-0.7660848484322305,0.45,0.0,0.0,1.0,1.0,0.0,-2698.978848325125,11.988022399710548,25.506635511133428,26.6,24.728666561657885,2849.406604716283,9588.698081895414,10623.027886762147,10623.027886762147,0.0,10623.027886762147,77.01695217902557,0.029,-0.7660848484322305,default_mpc,0.029,0.0,0.0,-0.7660848484322305,0.0,10297.768525580605,optimal_relaxed_modes,0.001883000019006431,False,,3447.3818179450373,-0.7660848484322305
8,17384,2024-07-01 02:00:00,0.0,12.192399244122722,-0.7667136022591553,0.45,0.0,0.0,1.0,1.0,0.0,-2503.9142120354895,11.604115204059797,25.50007009373797,26.650000000000002,24.741761277813463,2849.755994479064,9390.07526665301,10623.99522719825,10623.99522719825,0.0,10623.99522719825,77.02396539718731,0.029,-0.7667136022591553,default_mpc,0.029,0.0,0.0,-0.7667136022591553,0.0,10297.768525580605,optimal_relaxed_modes,0.0012183999933768064,False,,3450.2112101661987,-0.7667136022591553
9,17385,2024-07-01 02:15:00,0.03871287575388966,11.793660372231768,-0.7670078635954802,0.45,0.0,0.0,1.0,1.0,0.0,-2322.9635766055812,11.248066089268324,25.495895500011695,26.700000000000003,24.754736075344702,2850.049408812426,9207.191853805214,10624.029428775559,10624.029428775559,0.0,10624.029428775559,77.0242133586228,0.029,-0.7670078635954802,default_mpc,0.029,0.0,0.03871287575388966,-0.7670078635954802,0.0,10297.768525580605,optimal_relaxed_modes,0.001070300000719726,False,,3451.535386179661,-0.7670078635954802
