step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,17376,2024-07-01 00:00:00,default_mpc,0.029,0.0,0.0,-0.7660875461227851,0.0,10297.768525580605,optimal_relaxed_modes,0.0015470999933313578,False,,3447.393957552533,-0.7660875461227851
1,17377,2024-07-01 00:15:00,default_mpc,0.029,0.0,0.0,-0.7655229766357188,0.0,10297.768525580605,optimal_relaxed_modes,0.0016620999958831817,False,,3444.8533948607346,-0.7655229766357188
2,17378,2024-07-01 00:30:00,default_mpc,0.029,0.0,0.0,-0.7653109639221617,0.0,10297.768525580605,optimal_relaxed_modes,0.0016827999788802117,False,,3443.8993376497274,-0.7653109639221617
3,17379,2024-07-01 00:45:00,default_mpc,0.029,0.0,0.0,-0.7652445618757445,0.0,10297.768525580605,optimal_relaxed_modes,0.001211199996760115,False,,3443.60052844085,-0.7652445618757445
4,17380,2024-07-01 01:00:00,default_mpc,0.029,0.0,0.0,-0.7638102535222402,0.0,10297.768525580605,optimal_relaxed_modes,0.001301399985095486,False,,3437.146140850081,-0.7638102535222402
5,17381,2024-07-01 01:15:00,default_mpc,0.029,0.0,0.0,-0.7651087284169716,0.0,10297.768525580605,optimal_relaxed_modes,0.0011944000143557787,False,,3442.9892778763724,-0.7651087284169716
6,17382,2024-07-01 01:30:00,default_mpc,0.029,0.0,0.0,-0.7657973020404376,0.0,10297.768525580605,optimal_relaxed_modes,0.0010949000134132802,False,,3446.087859181969,-0.7657973020404376
7,17383,2024-07-01 01:45:00,default_mpc,0.029,0.0,0.0,-0.7660848484322305,0.0,10297.768525580605,optimal_relaxed_modes,0.001883000019006431,False,,3447.3818179450373,-0.7660848484322305
8,17384,2024-07-01 02:00:00,default_mpc,0.029,0.0,0.0,-0.7667136022591553,0.0,10297.768525580605,optimal_relaxed_modes,0.0012183999933768064,False,,3450.2112101661987,-0.7667136022591553
9,17385,2024-07-01 02:15:00,default_mpc,0.029,0.0,0.03871287575388966,-0.7670078635954802,0.0,10297.768525580605,optimal_relaxed_modes,0.001070300000719726,False,,3451.535386179661,-0.7670078635954802
10,17386,2024-07-01 02:30:00,default_mpc,0.029,0.0,0.10809435518294123,-0.7671336232632697,0.0,10297.768525580605,optimal_relaxed_modes,0.0015534999838564545,False,,3452.101304684714,-0.7671336232632697
11,17387,2024-07-01 02:45:00,default_mpc,0.029,0.0,0.17244139903524558,-0.7671888994570597,0.0,10297.768525580605,optimal_relaxed_modes,0.0018244000093545765,False,,3452.350047556769,-0.7671888994570597
12,17388,2024-07-01 03:00:00,default_mpc,0.029,0.0,0.23211968969153887,-0.766206110527207,0.0,10297.768525580605,optimal_relaxed_modes,0.0010924999951384962,False,,3447.9274973724314,-0.766206110527207
13,17389,2024-07-01 03:15:00,default_mpc,0.029,0.0,0.2874683004115606,-0.765759618392862,0.0,10297.768525580605,optimal_relaxed_modes,0.0012493999965954572,False,,3445.9182827678787,-0.765759618392862
14,17390,2024-07-01 03:30:00,default_mpc,0.029,0.0,0.3388016718026325,-0.29268811150522317,0.0,8169.688947763842,optimal_relaxed_modes,0.0011264999920967966,False,,1317.0965017735043,-0.29268811150522317
15,17391,2024-07-01 03:45:00,default_mpc,0.029,0.0,0.38641138727130814,1.0,0.0,2352.806439275848,optimal_relaxed_modes,0.0014704999921377748,False,,-4500.0,1.0
16,17392,2024-07-01 04:00:00,default_mpc,0.029,0.0,0.24939006171685402,-0.7660556995493409,0.0,10297.768525580605,optimal_relaxed_modes,0.0011799999920185655,False,,3447.250647972034,-0.7660556995493409
17,17393,2024-07-01 04:15:00,default_mpc,0.029,0.0,0.06557033965633313,-0.7663064638686929,0.0,10297.768525580605,optimal_relaxed_modes,0.0011532999924384058,False,,3448.3790874091183,-0.7663064638686929
18,17394,2024-07-01 04:30:00,default_mpc,0.029,0.0,0.1035185475996858,-0.7664203633507263,0.0,10297.768525580605,optimal_relaxed_modes,0.0016550000000279397,False,,3448.8916350782683,-0.7664203633507263
19,17395,2024-07-01 04:45:00,default_mpc,0.029,0.0,0.16715082410901405,-0.766477365757725,0.0,10297.768525580605,optimal_relaxed_modes,0.0017097000090871006,False,,3449.148145909762,-0.766477365757725
20,17396,2024-07-01 05:00:00,default_mpc,0.029,40.8,0.2035495588641217,-0.7647803529639255,0.0,10297.768525580605,optimal_relaxed_modes,0.001194500015117228,False,,3441.5115883376648,-0.7647803529639255
21,17397,2024-07-01 05:15:00,default_mpc,0.029,0.0,0.26097087827524174,-0.765971427653513,0.0,10297.768525580605,optimal_relaxed_modes,0.0010534000175539404,False,,3446.8714244408084,-0.765971427653513
22,17398,2024-07-01 05:30:00,default_mpc,0.029,0.0,0.3142265755653137,-0.7666084082130334,0.0,10297.768525580605,optimal_relaxed_modes,0.0011579999991226941,False,,3449.7378369586504,-0.7666084082130334
23,17399,2024-07-01 05:45:00,default_mpc,0.029,0.0,0.36361902769610244,0.5653520259171716,0.0,4302.789687924527,optimal_relaxed_modes,0.0010824000055436045,False,,-2544.084116627272,0.5653520259171716
24,17400,2024-07-01 06:00:00,default_mpc,0.029,247.38,0.22774770222156776,-0.765601691268282,0.0,10297.768525580605,optimal_relaxed_modes,0.0012428999762050807,False,,3445.207610707269,-0.765601691268282
25,17401,2024-07-01 06:15:00,default_mpc,0.029,0.0,0.05612208127834767,-0.765027930470402,0.0,10297.768525580605,optimal_relaxed_modes,0.0019014999852515757,False,,3442.625687116809,-0.765027930470402
26,17402,2024-07-01 06:30:00,default_mpc,0.029,0.0,0.08405461054571646,-0.7648193959406411,0.0,10297.768525580605,optimal_relaxed_modes,0.0013319999852683395,False,,3441.687281732885,-0.7648193959406411
27,17403,2024-07-01 06:45:00,default_mpc,0.029,0.0,0.14831627943139827,-0.7647605579531492,0.0,10297.768525580605,optimal_relaxed_modes,0.0014645000046584755,False,,3441.4225107891716,-0.7647605579531492
28,17404,2024-07-01 07:00:00,default_mpc,0.029,761.76,0.18554319753274118,-0.7656633786054877,0.0,10297.768525580605,optimal_relaxed_modes,0.001444099994841963,False,,3445.4852037246947,-0.7656633786054877
29,17405,2024-07-01 07:15:00,default_mpc,0.029,0.0,0.2442709816483565,-0.7660703342770927,0.0,10297.768525580605,optimal_relaxed_modes,0.0011468000011518598,False,,3447.3165042469172,-0.7660703342770927
30,17406,2024-07-01 07:30:00,default_mpc,0.029,0.0,0.298738319862048,-0.7662163720509252,0.0,10297.768525580605,optimal_relaxed_modes,0.0011482000118121505,False,,3447.9736742291634,-0.7662163720509252
31,17407,2024-07-01 07:45:00,default_mpc,0.029,0.0,0.3492544915698258,-0.7648405693398723,0.0,10297.768525580605,optimal_relaxed_modes,0.0010486000101082027,False,,3441.782562029425,-0.7648405693398723
32,17408,2024-07-01 08:00:00,default_mpc,0.165,1310.64,0.3961063453231311,1.0,0.0,2345.3144215872608,optimal_relaxed_modes,0.0011771999998018146,False,,-4500.0,1.0
33,17409,2024-07-01 08:15:00,default_mpc,0.029,0.0,0.2577052788111009,-0.7683795086061204,0.0,10297.768525580605,optimal_relaxed_modes,0.0016647999873384833,False,,3457.707788727542,-0.7683795086061204
34,17410,2024-07-01 08:30:00,default_mpc,0.029,0.0,0.0786005277176634,-0.7688487982045022,0.0,10297.768525580605,optimal_relaxed_modes,0.0011959999974351376,False,,3459.81959192026,-0.7688487982045022
35,17411,2024-07-01 08:45:00,default_mpc,0.029,0.0,0.11149514192412534,-0.769034905823365,0.0,10297.768525580605,optimal_relaxed_modes,0.0011006999993696809,False,,3460.6570762051424,-0.769034905823365
36,17412,2024-07-01 09:00:00,default_mpc,0.165,2125.5,0.17559164066529975,-0.7655214497874501,0.0,10297.768525580605,optimal_relaxed_modes,0.0012132000119891018,False,,3444.8465240435253,-0.7655214497874501
37,17413,2024-07-01 09:15:00,default_mpc,0.029,0.0,0.21063313557732927,-0.763864036174581,0.0,10297.768525580605,optimal_relaxed_modes,0.0011029000161215663,False,,3437.3881627856144,-0.763864036174581
38,17414,2024-07-01 09:30:00,default_mpc,0.029,0.0,0.2675407702947358,-0.7631845744803323,0.0,10297.768525580605,optimal_relaxed_modes,0.0010575999913271517,False,,3434.330585161495,-0.7631845744803323
39,17415,2024-07-01 09:45:00,default_mpc,0.029,0.0,0.3203201868971342,-0.7629095118138135,0.0,10297.768525580605,optimal_relaxed_modes,0.001013799977954477,False,,3433.0928031621606,-0.7629095118138135
40,17416,2024-07-01 10:00:00,default_mpc,0.165,2317.68,0.36927028390675165,0.7751488140197462,0.0,3368.8917119101025,optimal_relaxed_modes,0.001347799989162013,False,,-3488.169663088858,0.7751488140197462
41,17417,2024-07-01 10:15:00,default_mpc,0.029,0.0,0.2327723453897386,-0.7654310292231167,0.0,10297.768525580605,optimal_relaxed_modes,0.0012792999914381653,False,,3444.439631504025,-0.7654310292231167
42,17418,2024-07-01 10:30:00,default_mpc,0.029,0.0,0.061118338467845715,-0.765800412289022,0.0,10297.768525580605,optimal_relaxed_modes,0.0012387000024318695,False,,3446.101855300599,-0.765800412289022
43,17419,2024-07-01 10:45:00,default_mpc,0.029,0.0,0.08792168424283922,-0.76598028042278,0.0,10297.768525580605,optimal_relaxed_modes,0.0011860000086016953,False,,3446.91126190251,-0.76598028042278
44,17420,2024-07-01 11:00:00,default_mpc,0.083,2813.16,0.15372900455189809,-0.767843484203739,0.0,10297.768525580605,optimal_relaxed_modes,0.0011552000069059432,False,,3455.2956789168256,-0.767843484203739
45,17421,2024-07-01 11:15:00,default_mpc,0.029,0.0,0.18970528923556676,-0.7686758958439334,0.0,10297.768525580605,optimal_relaxed_modes,0.001047199999447912,False,,3459.0415312977,-0.7686758958439334
46,17422,2024-07-01 11:30:00,default_mpc,0.029,0.0,0.24813083830968577,-0.7689746224048635,0.0,10297.768525580605,optimal_relaxed_modes,0.001066900003934279,False,,3460.385800821886,-0.7689746224048635
47,17423,2024-07-01 11:45:00,default_mpc,0.029,0.0,0.30231763454767685,-0.7690533466551064,0.0,10297.768525580605,optimal_relaxed_modes,0.0010067999828606844,False,,3460.740059947979,-0.7690533466551064
48,17424,2024-07-01 12:00:00,default_mpc,0.029,3432.96,0.352573383954264,-0.7654085748167117,0.0,10297.768525580605,optimal_relaxed_modes,0.001352999999653548,False,,3444.3385866752024,-0.7654085748167117
49,17425,2024-07-01 12:15:00,default_mpc,0.029,0.0,0.3991834937710251,-0.7637223625681787,0.0,10297.768525580605,optimal_relaxed_modes,0.0012626000097952783,False,,3436.7506315568044,-0.7637223625681787
50,17426,2024-07-01 12:30:00,default_mpc,0.029,0.0,0.44241313098783047,-0.23973264920103005,0.0,7942.762602563098,optimal_relaxed_modes,0.0013399000163190067,False,,1078.7969214046352,-0.23973264920103005
51,17427,2024-07-01 12:45:00,default_mpc,0.029,0.0,0.4825081299783934,1.0,0.0,2374.725956904653,optimal_relaxed_modes,0.0012240000069141388,False,,-4500.0,1.0
52,17428,2024-07-01 13:00:00,default_mpc,0.083,2821.08,0.34424843399040644,-0.09387048387084258,0.0,7285.014404394592,optimal_relaxed_modes,0.0010400999744888395,False,,422.41717741879165,-0.09387048387084258
53,17429,2024-07-01 13:15:00,default_mpc,0.029,0.0,0.15502854821431014,-0.7647182763908408,0.0,10297.768525580605,optimal_relaxed_modes,0.0012187999964226037,False,,3441.2322437587836,-0.7647182763908408
54,17430,2024-07-01 13:30:00,default_mpc,0.029,0.0,0.176281135854237,-0.7652637672634638,0.0,10297.768525580605,optimal_relaxed_modes,0.001108700002077967,False,,3443.686952685587,-0.7652637672634638
55,17431,2024-07-01 13:45:00,default_mpc,0.029,0.0,0.23280556589264298,-0.7654838787996587,0.0,10297.768525580605,optimal_relaxed_modes,0.001412999990861863,False,,3444.6774545984645,-0.7654838787996587
