timestamp,step,solve_status,objective_value,solve_time_s,mip_gap
2025-07-01 00:00:00,0,optimal,171572.25882028718,0.32142759999260306,0.004034708832033578
2025-07-01 00:15:00,1,optimal,172739.241159987,0.3223959000024479,0.004051243169162589
2025-07-01 00:30:00,2,optimal,173962.12682369305,0.339130300009856,0.004313955691611942
2025-07-01 00:45:00,3,optimal,175033.90923459147,0.34215019998373464,0.00365630076573901
2025-07-01 01:00:00,4,optimal,176249.11890493738,0.31210209999699146,0.0037609205884537615
2025-07-01 01:15:00,5,optimal,177479.26809614428,0.36964970000553876,0.0039002358458408676
2025-07-01 01:30:00,6,optimal,178721.1417779796,0.3071631000202615,0.0040556539587447305
2025-07-01 01:45:00,7,optimal,179975.25759528566,0.32958220000728033,0.0038731346679056005
2025-07-01 02:00:00,8,optimal,181247.56377394614,0.3634174999897368,0.0040399519973162564
2025-07-01 02:15:00,9,optimal,182433.4694926225,0.34873520000837743,0.0036665596278217818
2025-07-01 02:30:00,10,optimal,183720.8420412419,0.35974650000571273,0.0039298884680415945
2025-07-01 02:45:00,11,optimal,184950.3596485929,0.37019109999528155,0.0036005247196146243
2025-07-01 03:00:00,12,optimal,186177.35474346028,0.35508030001074076,0.003378526877568069
2025-07-01 03:15:00,13,optimal,187521.58844454464,0.2499293000146281,0.003854646254426976
2025-07-01 03:30:00,14,optimal,188770.41779098078,0.2585267999966163,0.00363936448550536
2025-07-01 03:45:00,15,optimal,190070.13597812704,0.2155932000023313,0.003764708305453179
2025-07-01 04:00:00,16,optimal,191223.70821266307,0.2605881000054069,0.0030622713905404256
2025-07-01 04:15:00,17,optimal,192586.68237308142,0.2438937000115402,0.0034726409367647334
2025-07-01 04:30:00,18,optimal,193812.03274256608,0.28439860002254136,0.0032088684789207235
2025-07-01 04:45:00,19,optimal,195167.26341202288,0.32965620001778007,0.0035565549287509155
2025-07-01 05:00:00,20,optimal,196480.6968669917,0.299937299976591,0.0036758976046968885
2025-07-01 05:15:00,21,optimal,197929.95908585674,0.3297727000026498,0.004533552330910708
2025-07-01 05:30:00,22,optimal,199075.97513437856,0.29165430000284687,0.003513732418000622
2025-07-01 05:45:00,23,optimal,200395.67721763428,0.3010734000126831,0.003736817490846025
2025-07-01 06:00:00,24,optimal,201674.51453540035,0.2959748999855947,0.003682595137521562
2025-07-01 06:15:00,25,optimal,202947.56558123263,0.3331076000176836,0.0030920746030816265
2025-07-01 06:30:00,26,optimal,204259.68759414626,0.30597600000328384,0.003292395400572815
2025-07-01 06:45:00,27,optimal,205450.5348634479,0.4232534999900963,0.002897716286497922
2025-07-01 07:00:00,28,optimal,206756.8177986693,0.2790200999879744,0.0030887622370470726
2025-07-01 07:15:00,29,optimal,208089.7337700272,0.29681189998518676,0.0034182075198062765
2025-07-01 07:30:00,30,optimal,209387.55654114805,0.3129655999946408,0.0031186145784371355
2025-07-01 07:45:00,31,optimal,210623.3483844381,0.24770999999600463,0.0030725811899937347
2025-07-01 08:00:00,32,optimal,211917.51142246881,0.30038560001412407,0.0033639261703314396
2025-07-01 08:15:00,33,optimal,213071.0626226591,0.29273539999849163,0.0029011661789026246
2025-07-01 08:30:00,34,optimal,214419.84063153234,0.30680399999255314,0.003313815438588358
2025-07-01 08:45:00,35,optimal,215611.34830421917,0.2841506999975536,0.0033489710762391375
2025-07-01 09:00:00,36,optimal,217025.44153183815,0.22340740001527593,0.00408177730575291
2025-07-01 09:15:00,37,optimal,217995.64513759888,0.24533340000198223,0.002690015739914721
2025-07-01 09:30:00,38,optimal,219350.7053702246,0.25527860000147484,0.003108869087343792
2025-07-01 09:45:00,39,optimal,220457.16070032318,0.25921230000676587,0.002369872401886798
2025-07-01 10:00:00,40,optimal,221773.12543980972,0.23954429998411797,0.0025978766394596817
2025-07-01 10:15:00,41,optimal,223092.66553931095,0.2590771999966819,0.0028913227703065134
2025-07-01 10:30:00,42,optimal,224418.72069320182,0.29220530000748113,0.003236491088139827
2025-07-01 10:45:00,43,optimal,225552.3558539643,0.272893599991221,0.0027460177503827363
2025-07-01 11:00:00,44,optimal,226875.9402962859,0.25297639999189414,0.0031082252725207855
2025-07-01 11:15:00,45,optimal,228049.04648666768,0.256484499986982,0.0030066930777758833
2025-07-01 11:30:00,46,optimal,229085.69134029778,0.2723517999984324,0.002335756974134097
2025-07-01 11:45:00,47,optimal,230423.85109226065,0.24311490001855418,0.0030191588312401137
2025-07-01 12:00:00,48,optimal,231508.15286565595,0.29555049998452887,0.0025982108373061204
2025-07-01 12:15:00,49,optimal,232749.06308025168,0.3114579999819398,0.0027770485552331167
2025-07-01 12:30:00,50,optimal,233866.26330888295,0.3139884000120219,0.002429748398962241
2025-07-01 12:45:00,51,optimal,235104.5032177242,0.3188757000025362,0.0026009637699893444
2025-07-01 13:00:00,52,optimal,236397.62275536175,0.32222139998339117,0.0030014547371166227
2025-07-01 13:15:00,53,optimal,237494.16057944892,0.2922146999917459,0.0026596677600390084
2025-07-01 13:30:00,54,optimal,238755.8366645222,0.273472100001527,0.0030038246850868223
2025-07-01 13:45:00,55,optimal,240087.58982927655,0.25800190001609735,0.003460467389198728
2025-07-01 14:00:00,56,optimal,241129.98186185356,0.25481170002603903,0.0028703334955251392
2025-07-01 14:15:00,57,optimal,242310.65430426045,0.2793946000165306,0.0028187133037868867
2025-07-01 14:30:00,58,optimal,243409.5030668809,0.2550947999989148,0.002306494577982439
2025-07-01 14:45:00,59,optimal,244653.13338354672,0.283086799987359,0.002506101713931068
2025-07-01 15:00:00,60,optimal,245876.00604588172,0.2833219000021927,0.0024611072746929617
2025-07-01 15:15:00,61,optimal,247153.20065826492,0.26815290001104586,0.002734896447875178
2025-07-01 15:30:00,62,optimal,248271.96956646352,0.2549678000214044,0.00220174140245145
2025-07-01 15:45:00,63,optimal,249629.64732415098,0.2278035000199452,0.002590759308333355
2025-07-01 16:00:00,64,optimal,250799.5119193891,0.25846260000253096,0.0023788620147605667
2025-07-01 16:15:00,65,optimal,252075.16895378422,0.2605907999968622,0.002564477410548565
2025-07-01 16:30:00,66,optimal,253212.80307653328,0.2400562999828253,0.0021679968323806077
2025-07-01 16:45:00,67,optimal,254451.3864677564,0.22199590000673197,0.0020268888838435167
2025-07-01 17:00:00,68,optimal,255851.14776237943,0.20483729999978095,0.0026688777716486114
2025-07-01 17:15:00,69,optimal,257300.54011288143,0.19285400002263486,0.003256354882849396
2025-07-01 17:30:00,70,optimal,258383.09719311836,0.19684350001625717,0.0023994949738300113
2025-07-01 17:45:00,71,optimal,259757.84310906962,0.20666570001048967,0.002680140928616594
2025-07-01 18:00:00,72,optimal,260902.0899560883,0.20784650000859983,0.0020833631563521153
2025-07-01 18:15:00,73,optimal,262270.30718988884,0.21962210000492632,0.0023474615209080397
2025-07-01 18:30:00,74,optimal,263542.1240925408,0.20871979999355972,0.0022396987681265776
2025-07-01 18:45:00,75,optimal,264910.6389921066,0.20816029998240992,0.0025162153296870203
2025-07-01 19:00:00,76,optimal,266192.5589485538,0.2067762000078801,0.0024924155964323757
2025-07-01 19:15:00,77,optimal,267421.06801979995,0.20857749998685904,0.0022864503235364092
2025-07-01 19:30:00,78,optimal,268780.4650178557,0.18881079999846406,0.0025748139523527045
2025-07-01 19:45:00,79,optimal,269992.45951617917,0.18900569999823347,0.0023120848512387516
2025-07-01 20:00:00,80,optimal,271321.0497615742,0.21250700001837686,0.002471240027598501
2025-07-01 20:15:00,81,optimal,272642.5008571929,0.21796979999635369,0.0030034474351807575
2025-07-01 20:30:00,82,optimal,273765.55798438145,0.2175639999913983,0.0024601786074752536
2025-07-01 20:45:00,83,optimal,275020.249635112,0.2628598999872338,0.002794789376569378
2025-07-01 21:00:00,84,optimal,276176.42817777145,0.20804389999830164,0.0021704205835510475
2025-07-01 21:15:00,85,optimal,277407.7218945505,0.2157700000097975,0.0024115083733719134
2025-07-01 21:30:00,86,optimal,278468.29428387777,0.2455377000151202,0.0020520359009771156
2025-07-01 21:45:00,87,optimal,279606.6585141743,0.22506220001378097,0.0017739268800915525
2025-07-01 22:00:00,88,optimal,280918.4316405338,0.2306780999933835,0.00216144809315944
2025-07-01 22:15:00,89,optimal,281985.4178547494,0.27486380000482313,0.0018286840986451313
2025-07-01 22:30:00,90,optimal,283210.8378412241,0.22433830000227317,0.0020940702349352912
2025-07-01 22:45:00,91,optimal,284325.93159421074,0.23782729997765273,0.0018797844701894315
