timestamp,step,controller_mode,soc,soc_after_update,room_temp_c,outdoor_temp_c,it_load_kw,pv_actual_kw,price_cny_per_kwh,q_ch_tes_kw_th,q_dis_tes_kw_th,q_chiller_kw_th,q_load_kw_th,plant_power_kw,grid_import_kw,pv_spill_kw,step_cost,u_ch,u_dis,u_signed,mode_index,fallback,solver_status
2025-07-01 00:00:00,0,mpc,0.5,0.49975,24.0,33.242640687119284,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 00:15:00,1,mpc,0.49975,0.4995001250000001,24.00462132034356,32.95607489060041,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 00:30:00,2,mpc,0.4995001250000001,0.4992503749375001,24.009097047128687,32.652568574052324,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 00:45:00,3,mpc,0.4992503749375001,0.49900074975003134,24.01341878289215,32.333421398117615,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 01:00:00,4,mpc,0.49900074975003134,0.49875124937515636,24.017578784199763,32.0,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 01:15:00,5,mpc,0.49875124937515636,0.4985018737504688,24.021569994807663,31.65373214131401,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 01:30:00,6,mpc,0.4985018737504688,0.49825262281359356,24.025386075880917,31.296100594190538,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 01:45:00,7,mpc,0.49825262281359356,0.4980034965021868,24.029021433140073,30.92863679181897,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 02:00:00,8,mpc,0.4980034965021868,0.49775449475393574,24.03247124081941,30.552914270615126,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 02:15:00,9,mpc,0.49775449475393574,0.4975056175065588,24.035731462334308,30.170541932096768,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 02:30:00,10,mpc,0.4975056175065588,0.49725686469780556,24.038798867569188,29.78315715332031,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 02:45:00,11,mpc,0.49725686469780556,0.4970082362654567,24.041671046712064,29.392418775380857,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 03:00:00,12,mpc,0.4970082362654567,0.496759732147324,24.0443464205764,29.0,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 03:15:00,13,mpc,0.496759732147324,0.4965113522812504,24.04682424736611,28.607581224619143,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 03:30:00,14,mpc,0.4965113522812504,0.49626309660510975,24.04910462585474,28.21684284667969,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 03:45:00,15,mpc,0.49626309660510975,0.4960149650568072,24.05118849496515,27.829458067903232,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 04:00:00,16,mpc,0.4960149650568072,0.4957669575742788,24.05307762975162,27.447085729384874,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 04:15:00,17,mpc,0.4957669575742788,0.4955190740954917,24.054774633801436,27.07136320818103,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 04:30:00,18,mpc,0.4955190740954917,0.495271314558444,24.056282928088628,26.70389940580946,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 04:45:00,19,mpc,0.495271314558444,0.4950236789011648,24.05760673632749,26.34626785868599,18000.0,0.0,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18415.384615384617,0.0,133.5115384615385,0.0,0.0,0.0,0,0,optimal
2025-07-01 05:00:00,20,mpc,0.4950236789011648,0.49477616706171423,24.058751066888668,26.0,18000.0,40.8,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18374.584615384618,0.0,133.21573846153848,0.0,0.0,0.0,0,0,optimal
2025-07-01 05:15:00,21,mpc,0.49477616706171423,0.4945287789781834,24.059721691355225,25.666578601882385,18000.0,40.8,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18374.584615384618,0.0,133.21573846153848,0.0,0.0,0.0,0,0,optimal
2025-07-01 05:30:00,22,mpc,0.4945287789781834,0.49428151458869435,24.06052511981049,25.347431425947676,18000.0,40.8,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18374.584615384618,0.0,133.21573846153848,0.0,0.0,0.0,0,0,optimal
2025-07-01 05:45:00,23,mpc,0.49428151458869435,0.49403437383140003,24.061168572963556,25.043925109399588,18000.0,40.8,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18374.584615384618,0.0,133.21573846153848,0.0,0.0,0.0,0,0,optimal
2025-07-01 06:00:00,24,mpc,0.49403437383140003,0.49378735664448437,24.061659951231775,24.757359312880716,18000.0,247.38,0.029,0.0,0.0,2160.0,2160.0,415.38461538461536,18168.004615384616,0.0,131.71803346153848,0.0,0.0,0.0,0,0,optimal
