timestamp,step,solve_status,objective_value,solve_time_s,mip_gap,mode_index,predicted_peak_grid_kw,episode_peak_grid_so_far_kw,solver_error
2025-07-01 00:00:00,0,optimal,2550.880663581596,0.8354341000085697,0.0007230958871035798,2,3090.0000000000214,3090.0,
2025-07-01 00:15:00,1,optimal,2579.2634391037072,0.6633450000081211,0.00028848138007498336,2,3090.000000000001,3090.0,
2025-07-01 00:30:00,2,optimal,2610.98992717385,0.8055452999833506,0.0,2,3090.0,3090.0,
2025-07-01 00:45:00,3,optimal,2645.0181288463614,1.1220976999902632,0.0008116510944572303,2,3090.0,3090.0,
2025-07-01 01:00:00,4,optimal,2675.617701510263,1.9375569999974687,0.0012706104354950455,2,3090.0000000000005,3090.0,
2025-07-01 01:15:00,5,optimal,2701.830464092865,1.226552800013451,0.0010872945071049923,2,3090.0,3090.0,
2025-07-01 01:30:00,6,optimal,2727.3619753885146,2.0826291000121273,0.0016668485797308636,2,3090.0,3090.0,
2025-07-01 01:45:00,7,optimal,2749.4334033107366,1.1403128000092693,0.0020316262283574847,2,3090.000000000001,3090.0,
2025-07-01 02:00:00,8,optimal,2765.971459538087,1.1980063999944832,0.0014862096355230802,2,3090.000000000113,3090.0,
2025-07-01 02:15:00,9,optimal,2780.9302986206476,1.2488273999770172,0.001451754087375076,2,3090.0,3090.0,
2025-07-01 02:30:00,10,optimal,2793.693563294201,1.306134500016924,0.0017352897183286484,2,3090.0,3090.0,
2025-07-01 02:45:00,11,optimal,2803.153375892989,1.1666855000075884,0.0019568657831430534,2,3090.0,3090.0,
2025-07-01 03:00:00,12,optimal,2810.1154265165674,1.2845957000099588,0.002112671641384573,2,3090.0,3090.0,
2025-07-01 03:15:00,13,optimal,2813.639120199882,1.4759896000032313,0.002191457003560127,2,3090.0,3090.0,
2025-07-01 03:30:00,14,optimal,2813.721137873299,1.3706997999979649,0.002193723548197058,2,3090.0,3090.0,
2025-07-01 03:45:00,15,optimal,2813.2262315066137,1.3696026999969035,0.0021953179211041357,2,3090.0000000001573,3090.0,
2025-07-01 04:00:00,16,optimal,2812.2207362094296,1.2588363999966532,0.0021961310221044247,2,3090.0,3090.0,
2025-07-01 04:15:00,17,optimal,2810.7110682219445,1.5265269000083208,0.002197294576372886,2,3090.0,3090.0,
2025-07-01 04:30:00,18,optimal,2808.706222336008,1.5137726000102703,0.0038988903097061296,2,3090.0,3090.0,
2025-07-01 04:45:00,19,optimal,2806.2175378175107,1.419446699990658,0.002200765342552545,2,3090.0,3090.0,
2025-07-01 05:00:00,20,optimal,2803.26774834591,2.1462950999848545,0.0022030496397153,2,3090.0,3090.0,
2025-07-01 05:15:00,21,optimal,2800.3038430373604,1.4172504000016488,0.002266088404952819,2,3090.0,3090.0,
2025-07-01 05:30:00,22,optimal,2797.1809854140142,1.4867164999886882,0.0024023287215570724,2,3090.0,3090.0,
2025-07-01 05:45:00,23,optimal,2793.7035534504566,1.6135901999950875,0.002553162531347885,2,3090.0,3090.0,
2025-07-01 06:00:00,24,optimal,2789.1091773940075,1.5810913000022992,0.0024328322700859517,2,3090.0000000012587,3090.0,
2025-07-01 06:15:00,25,optimal,2786.3631537805895,1.6756984999810811,0.0028049547080493003,2,3090.0000000000005,3090.0,
2025-07-01 06:30:00,26,optimal,2782.0715797800704,1.564490199991269,0.002744803534259567,2,3090.0,3090.0,
2025-07-01 06:45:00,27,optimal,2778.79443184462,1.7613690000143833,0.003119998922662755,2,3090.0,3090.0,
2025-07-01 07:00:00,28,optimal,2773.6366661834127,1.6529827000049409,0.003020606248231464,2,3090.0,3090.0,
2025-07-01 07:15:00,29,optimal,2771.9222730987026,1.3498121000011452,0.003319678600898689,2,3090.0,3090.0,
2025-07-01 07:30:00,30,optimal,2769.3639993665743,1.5526706000091508,0.003503611578742988,2,3090.0,3090.0,
2025-07-01 07:45:00,31,optimal,2767.66126959906,1.7545823999971617,0.004101793055127012,2,3090.0,3090.0,
2025-07-01 08:00:00,32,optimal,2763.720593496477,1.4924646000145003,0.0038919525405601172,0,3090.0,3090.0,
2025-07-01 08:15:00,33,optimal,2774.1273984340205,1.6463682999892626,0.003456338295557363,0,3090.0,3090.0,
2025-07-01 08:30:00,34,optimal,2789.71162202737,1.3796131999988575,0.003046644355286923,0,3090.0,3090.0,
2025-07-01 08:45:00,35,optimal,2805.5382283345816,1.5960586000001058,0.0025577170203530597,0,3090.0,3090.0,
2025-07-01 09:00:00,36,optimal,2822.104432474452,1.1375372000038624,0.0021872069109775093,2,3090.0,3090.0,
2025-07-01 09:15:00,37,optimal,2837.682107011305,1.605922599992482,0.003458453994963199,2,3090.000000000003,3090.0,
2025-07-01 09:30:00,38,optimal,2859.9935952478077,1.4140639000106603,0.0029342040715388683,2,3090.0,3090.0,
2025-07-01 09:45:00,39,optimal,2886.0006476608287,1.5071129999996629,0.003640913820594558,2,3090.0,3090.0,
2025-07-01 10:00:00,40,optimal,2919.0422316124304,0.990601700003026,0.0021145724619404485,2,3090.0,3090.0,
2025-07-01 10:15:00,41,optimal,2974.3057265036036,1.0969034000008833,0.0020752830696563105,2,3090.0,3090.0,
