timestamp,it_load_kw,base_facility_kw,chiller_cooling_kw,chiller_electricity_kw
2025-01-01 00:00:00,8251.42618161404,10306.854943212042,6835.665926927223,2055.428761598001
2025-01-01 00:15:00,8251.391677576654,10306.783175145316,6835.541999277471,2055.3914975686616
2025-01-01 00:30:00,8251.35594398708,10306.694383207348,6835.36554502567,2055.338439220267
2025-01-01 00:45:00,8251.319943210592,10306.613126049777,6835.2150374975445,2055.2931828391843
2025-01-01 01:00:00,8251.311998355573,10306.577893679289,6835.124288383197,2055.2658953237155
2025-01-01 01:15:00,8251.31450943205,10306.558819503023,6835.052503080077,2055.2443100709734
2025-01-01 01:30:00,8251.31966061941,10306.54555240051,6834.991250032112,2055.2258917811
2025-01-01 01:45:00,8251.325499872299,10306.53618811824,6834.940688178936,2055.21068824594
2025-01-01 02:00:00,8251.303751129095,10306.478012910393,6834.819545988148,2055.1742617812984
2025-01-01 02:15:00,8251.271880409751,10306.404329291712,6834.680490324117,2055.1324488819605
2025-01-01 02:30:00,8251.239270682167,10306.32905607834,6834.538605895158,2055.089785396175
2025-01-01 02:45:00,8251.20395410279,10306.251150153988,6834.396968033635,2055.0471960511986
2025-01-01 03:00:00,8251.21003700484,10306.262731242072,6834.415253154306,2055.052694237233
2025-01-01 03:15:00,8251.233459015177,10306.308612096716,6834.489943729653,2055.0751530815405
2025-01-01 03:30:00,8251.259428963473,10306.367079953308,6834.598020861094,2055.107650989836
2025-01-01 03:45:00,8251.287281652609,10306.436606242678,6834.736613263072,2055.1493245900697
2025-01-01 04:00:00,8251.297116685198,10306.472591402491,6834.823579806006,2055.175474717292
2025-01-01 04:15:00,8251.299922106473,10306.499808222234,6834.904763920902,2055.1998861157613
2025-01-01 04:30:00,8251.301028858044,10306.524596921075,6834.98352212603,2055.2235680630306
2025-01-01 04:45:00,8251.30170470701,10306.547114018922,6835.056158786358,2055.245409311912
2025-01-01 05:00:00,8251.31120739967,10306.587076204938,6835.157456834123,2055.2758688052663
2025-01-01 05:15:00,8251.324167618584,10306.631430527224,6835.261863081008,2055.30726290864
2025-01-01 05:30:00,8251.337989236557,10306.67514393381,6835.361273133415,2055.337154697252
2025-01-01 05:45:00,8251.352012665067,10306.717474441177,6835.455412973263,2055.365461776109
2025-01-01 06:00:00,8251.345745211916,10306.72733963544,6835.509064741839,2055.3815944235234
2025-01-01 06:15:00,8251.33188395639,10306.724801305569,6835.546720990762,2055.3929173491783
2025-01-01 06:30:00,8251.316034337644,10306.718087533587,6835.577103749638,2055.402053195944
2025-01-01 06:45:00,8251.299606493001,10306.709432811478,6835.602954545261,2055.409826318476
2025-01-01 07:00:00,8251.297167349834,10306.713508712162,6835.624621393613,2055.416341362328
2025-01-01 07:15:00,8251.299775150674,10306.721754259304,6835.643370644876,2055.4219791086302
2025-01-01 07:30:00,8251.303644568292,10306.730869884928,6835.660817771228,2055.4272253166364
2025-01-01 07:45:00,8251.307819834126,10306.741069187312,6835.680851694149,2055.433249353185
2025-01-01 08:00:00,8251.302841504548,10306.730396946568,6835.6619156574125,2055.4275554420205
2025-01-01 08:15:00,8251.294155769087,10306.713726517628,6835.635361247857,2055.4195707485424
2025-01-01 08:30:00,8251.284453869786,10306.69653838962,6835.610464564762,2055.412084519834
2025-01-01 08:45:00,8251.274414708181,10306.680527890636,6835.590605901586,2055.406113182454
2025-01-01 09:00:00,8251.277721529394,10306.705723741134,6835.663401463489,2055.42800221174
2025-01-01 09:15:00,8251.286466190799,10306.74572866192,6835.767362590197,2055.4592624711213
2025-01-01 09:30:00,8251.29650848822,10306.790979156398,6835.884453232045,2055.494470668178
2025-01-01 09:45:00,8251.306796725863,10306.839455006617,6836.011452409537,2055.532658280754
2025-01-01 10:00:00,8251.309802279318,10306.881890942275,6836.142584621535,2055.5720886629574
2025-01-01 10:15:00,8251.30991070507,10306.924309848053,6836.283295071867,2055.6143991429835
2025-01-01 10:30:00,8251.309044083253,10306.969301862526,6836.435805498595,2055.6602577792733
2025-01-01 10:45:00,8251.307684590214,10307.018064085636,6836.602493497556,2055.7103794954223
2025-01-01 11:00:00,8251.315473911445,10307.080270355462,6836.783465997458,2055.7647964440166
2025-01-01 11:15:00,8251.326649364508,10307.149640685757,6836.977002619526,2055.822991321249
2025-01-01 11:30:00,8251.338741104999,10307.22239226736,6837.17873688382,2055.883651162362
2025-01-01 11:45:00,8251.351090891148,10307.297700324209,6837.388114953184,2055.946609433059
2025-01-01 12:00:00,8251.352142124284,10307.364701338529,6837.607441781999,2056.0125592142444
2025-01-01 12:15:00,8251.348799872658,10307.430527535607,6837.837472818279,2056.081727662949
2025-01-01 12:30:00,8251.343966622286,10307.498118279917,6838.078330707388,2056.1541516576303
2025-01-01 12:45:00,8251.338359659976,10307.567287789185,6838.327012144789,2056.228928129209
2025-01-01 13:00:00,8251.341145100203,10307.634804365473,6838.54228616909,2056.293659265269
2025-01-01 13:15:00,8251.346701384535,10307.702315077018,6838.748325792088,2056.355613692484
2025-01-01 13:30:00,8251.352957103318,10307.769511985369,6838.950995726871,2056.4165548820506
2025-01-01 13:45:00,8251.359372389874,10307.835154191662,6839.147964575787,2056.4757818017874
2025-01-01 14:00:00,8251.359920391043,10307.892994971053,6839.338501119436,2056.5330745800093
2025-01-01 14:15:00,8251.358319338326,10307.943805309573,6839.512803808958,2056.585485971247
2025-01-01 14:30:00,8251.356061882068,10307.987063480412,6839.664173502279,2056.631001598344
2025-01-01 14:45:00,8251.353494096165,10308.02163241399,6839.787677762187,2056.6681383178247
2025-01-01 15:00:00,8251.366803660538,10308.072387847877,6839.912210151302,2056.705584187338
2025-01-01 15:15:00,8251.386093856509,10308.125427155848,6840.024448366158,2056.739333299339
2025-01-01 15:30:00,8251.406977448365,10308.176808066746,6840.125872209466,2056.769830618382
2025-01-01 15:45:00,8251.428387997645,10308.225068172866,6840.21516482046,2056.7966801752204
2025-01-01 16:00:00,8251.432001750956,10308.241580035929,6840.258059602799,2056.8095782849714
2025-01-01 16:15:00,8251.42896894214,10308.241362720191,6840.267422987448,2056.8123937780506
2025-01-01 16:30:00,8251.424137990765,10308.228242588251,6840.239855956076,2056.804104597485
2025-01-01 16:45:00,8251.418653370023,10308.201696290833,6840.1698118911545,2056.783042920809
