step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
7954,7954,2024-03-24 20:30:00,0.4775013127291612,9.454918003153571,1.0,1.0,0.0,1.0,38.44940843271615,0.0,9.46858028509179,25.50567416245298,6.25,3.826912791467465,1483.0350566360135,4932.076652077165,9733.018230707907,9733.018230707909,0.0,9733.018230707907,70.56438217263232,0.029,1.0
7955,7955,2024-03-24 20:45:00,0.47555266429438336,9.465304299310937,1.0,1.0,0.0,1.0,-10.48825710609928,0.0,9.46766511927267,25.506132463589594,6.0,3.5464096408495567,1381.540331987357,4594.539275931714,9631.5397108706,9631.5397108706,0.0,9631.5397108706,69.82866290381186,0.029,1.0
7956,7956,2024-03-24 21:00:00,0.475024406979451,9.468119910799526,1.0,1.0,0.0,1.0,-20.6031332985223,0.0,9.465198370317117,25.505954372206972,6.0,3.6014463814647315,1359.4192392928123,4520.97194904419,9609.42531775561,9609.42531775561,0.0,9609.42531775561,360.3534494158353,0.15,1.0
7957,7957,2024-03-24 21:15:00,0.47534254767942585,9.46642422086866,1.0,1.0,0.0,1.0,-16.88688372546137,0.0,9.4633018024615,25.50553941874518,6.0,3.6565199937461754,1366.1419744085504,4543.329508802516,9616.148050909138,9616.148050909138,0.0,9616.148050909138,69.71707336909125,0.029,1.0
7958,7958,2024-03-24 21:30:00,0.4757515381622815,9.46424430159504,1.0,1.0,0.0,1.0,-9.029790472091259,0.0,9.46261059238715,25.50514626851356,6.0,3.711633042731613,1382.0184951993397,4596.129486225901,9632.022016031722,9632.022016031726,0.0,9632.022016031722,69.83215961622999,0.029,1.0
7959,7959,2024-03-24 21:45:00,0.47599360428927584,9.46295408913816,1.0,1.0,0.0,1.0,-0.068369934124784,0.0,9.463294093177774,25.504888686415928,6.0,3.7667784192476828,1400.8636917606966,4658.802282494726,9650.864728780336,9650.864728780336,0.0,9650.864728780336,69.96876928365744,0.029,1.0
7960,7960,2024-03-24 22:00:00,0.4759935407965874,9.46295442755419,1.0,1.0,0.0,1.0,-11.981633138451931,0.0,9.46215003727337,25.50464963612664,5.75,3.6344961575725048,1375.6929153200397,4575.092731434473,9625.692708454322,9625.692708454326,0.0,9625.692708454322,199.7331237004272,0.083,1.0
7961,7961,2024-03-24 22:15:00,0.4760377906759663,9.4627185756971,1.0,1.0,0.0,1.0,-31.19412211578234,0.0,9.45805879167044,25.504230112481686,5.5,3.49984820112827,1333.9724504325961,4436.344473350868,9583.97101290247,9583.971012902468,0.0,9583.97101290247,69.48378984354291,0.029,1.0
7962,7962,2024-03-24 22:30:00,0.4765305936944647,9.460091935608503,1.0,1.0,0.0,1.0,-52.4458035989176,0.0,9.450707671159241,25.503494540658888,5.25,3.3628704454250027,1286.404960580268,4278.150973440795,9536.400291673148,9536.400291673146,0.0,9536.400291673148,69.13890211463033,0.029,1.0
7963,7963,2024-03-24 22:45:00,0.4776058518786044,9.454360809487039,1.0,1.0,0.0,1.0,-74.10240632601045,0.0,9.440034710568622,25.502382875863525,5.0,3.223594495569472,1236.333365748901,4111.629661152852,9486.322117816293,9486.322117816293,0.0,9486.322117816293,68.77583535416812,0.029,1.0
