closed_loop_steps,controller_mode,total_cost,energy_cost,grid_import_kwh,peak_grid_kw,pv_actual_kwh,pv_spill_kwh,pv_used_kwh,facility_energy_kwh,cold_station_energy_kwh,it_energy_kwh,pue_avg,initial_soc,final_soc_after_last_update,soc_delta,soc_inventory_delta_kwh_th,soc_min,soc_max,soc_violation_count,tes_charge_kwh_th,tes_discharge_kwh_th,tes_charge_weighted_avg_price,tes_discharge_weighted_avg_price,tes_arbitrage_price_spread,charge_steps,discharge_steps,idle_steps,charge_discharge_switch_count,simultaneous_charge_discharge_count,physical_consistency_violation_count,max_chiller_supply_deficit_kw_th,optimal_rate,feasible_rate,fallback_count,unsupported_advanced_features,case_id,config_path,summary_path
96,mpc,38780.29128853072,38780.29128853072,422240.5176014154,19280.76923076923,20343.6,0.0,20343.6,442584.1176014154,10584.11760141543,432000.0,1.0245002722254986,0.5,0.5,0.0,0.0,0.1499999999999999,0.85,0,20477.41152736024,17280.0,0.0530354201705947,0.17375,0.1207145798294053,22,32,42,8,0,0,0.0,1.0,1.0,0,True,smoke_mpc,mpc_v2/config/base.yaml,results\mpc_rebuild_v0_4_0_20260507\smoke_mpc\summary.csv
96,no_tes,39148.82434153847,39148.82434153847,421625.6307692308,18415.384615384617,20343.6,0.0,20343.6,441969.2307692308,9969.230769230768,432000.0,1.0230769230769232,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0,0,96,0,0,0,0.0,1.0,1.0,0,True,smoke_no_tes,mpc_v2/config/base.yaml,results\mpc_rebuild_v0_4_0_20260507\smoke_no_tes\summary.csv
96,rbc,38690.28386558191,38690.28386558191,420993.42328931706,19280.76923076923,20343.6,0.0,20343.6,441337.023289317,9337.023289317034,432000.0,1.021613479836382,0.5,0.1494721826886866,-0.3505278173113133,-6309.50071160364,0.1494721826886866,0.8496038961768932,0,14652.249467418766,17939.72836297019,0.0459142454985079,0.1704126947895641,0.1244984492910561,51,34,11,5,0,0,0.0,1.0,1.0,0,True,smoke_rbc,mpc_v2/config/base.yaml,results\mpc_rebuild_v0_4_0_20260507\smoke_rbc\summary.csv
96,mpc,38780.29128853072,38780.29128853072,422240.5176014154,19280.76923076923,20343.6,0.0,20343.6,442584.1176014154,10584.11760141543,432000.0,1.0245002722254986,0.5,0.5,0.0,0.0,0.1499999999999999,0.85,0,20477.41152736024,17280.0,0.0530354201705947,0.17375,0.1207145798294053,22,32,42,8,0,0,0.0,1.0,1.0,0,True,rebuild_mpc_24h,mpc_v2/config/base.yaml,results\mpc_rebuild_v0_4_0_20260507\matrix\rebuild_mpc_24h\summary.csv
96,no_tes,39148.82434153847,39148.82434153847,421625.6307692308,18415.384615384617,20343.6,0.0,20343.6,441969.2307692308,9969.230769230768,432000.0,1.0230769230769232,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0,0,96,0,0,0,0.0,1.0,1.0,0,True,rebuild_no_tes_24h,mpc_v2/config/base.yaml,results\mpc_rebuild_v0_4_0_20260507\matrix\rebuild_no_tes_24h\summary.csv
96,rbc,38690.28386558191,38690.28386558191,420993.42328931706,19280.76923076923,20343.6,0.0,20343.6,441337.023289317,9337.023289317034,432000.0,1.021613479836382,0.5,0.1494721826886866,-0.3505278173113133,-6309.50071160364,0.1494721826886866,0.8496038961768932,0,14652.249467418766,17939.72836297019,0.0459142454985079,0.1704126947895641,0.1244984492910561,51,34,11,5,0,0,0.0,1.0,1.0,0,True,rebuild_rbc_24h,mpc_v2/config/base.yaml,results\mpc_rebuild_v0_4_0_20260507\matrix\rebuild_rbc_24h\summary.csv
