timestamp,it_load_kw,base_facility_kw,chiller_cooling_kw,chiller_electricity_kw
2025-01-01 00:00:00,6743.169391883764,7008.10394683319,0.0,0.0
2025-01-01 00:15:00,6743.169821866371,7012.874790028266,0.0,0.0
2025-01-01 00:30:00,6743.1704439284495,7018.305126160895,0.0,0.0
2025-01-01 00:45:00,6743.17078712428,7024.4090797291465,0.0,0.0
2025-01-01 01:00:00,6743.171424770312,7017.554274906571,0.0,0.0
2025-01-01 01:15:00,6743.170801894724,7011.70664928325,0.0,0.0
2025-01-01 01:30:00,6743.169852963617,7006.742222709856,0.0,0.0
2025-01-01 01:45:00,6743.168825982077,7002.49616480993,0.0,0.0
2025-01-01 02:00:00,6743.167783298419,7005.425663156,0.0,0.0
2025-01-01 02:15:00,6743.167690376815,7008.71958533995,0.0,0.0
2025-01-01 02:30:00,6743.16784580106,7012.436587454694,0.0,0.0
2025-01-01 02:45:00,6743.168074523785,7016.652222938746,0.0,0.0
2025-01-01 03:00:00,6743.168322414284,7009.63656140666,0.0,0.0
2025-01-01 03:15:00,6743.167352449562,7003.828001081176,0.0,0.0
2025-01-01 03:30:00,6743.166044469461,6998.982382849223,0.0,0.0
2025-01-01 03:45:00,6743.16462636285,6994.909871724366,0.0,0.0
2025-01-01 04:00:00,6743.163165761932,6992.676570730715,0.0,0.0
2025-01-01 04:15:00,6743.161992600562,6990.656828740912,0.0,0.0
2025-01-01 04:30:00,6743.1608718005455,6988.825455386986,0.0,0.0
2025-01-01 04:45:00,6743.1597401687295,6987.16212966015,0.0,0.0
2025-01-01 05:00:00,6743.158578539615,6989.922432738452,0.0,0.0
2025-01-01 05:15:00,6743.158751317977,6993.221176271061,0.0,0.0
2025-01-01 05:30:00,6743.159291418286,6997.20279149712,0.0,0.0
2025-01-01 05:45:00,6743.159971244848,7002.062700827198,0.0,0.0
2025-01-01 06:00:00,6743.1607268845655,6997.700705887501,0.0,0.0
2025-01-01 06:15:00,6743.15997224096,6994.019266233653,0.0,0.0
2025-01-01 06:30:00,6743.1588315309855,6990.889333339312,0.0,0.0
2025-01-01 06:45:00,6743.157596974677,6988.209685830325,0.0,0.0
2025-01-01 07:00:00,6743.156340776341,6988.9740076181015,0.0,0.0
2025-01-01 07:15:00,6743.156136289982,6989.768554710748,0.0,0.0
2025-01-01 07:30:00,6743.156213619121,6990.593242080733,0.0,0.0
2025-01-01 07:45:00,6743.156377537588,6991.448762065614,0.0,0.0
2025-01-01 08:00:00,6743.156636174733,6993.040008727091,0.0,0.0
2025-01-01 08:15:00,6743.157350962965,6994.738006061954,0.0,0.0
2025-01-01 08:30:00,6743.158544914689,6996.548299126354,0.0,0.0
2025-01-01 08:45:00,6743.160342859988,6998.476170011803,0.0,0.0
2025-01-01 09:00:00,6743.16277090863,7002.159262965456,0.0,0.0
2025-01-01 09:15:00,6743.16589035812,7006.447088001764,0.0,0.0
2025-01-01 09:30:00,6743.169540938531,7011.474710997086,0.0,0.0
2025-01-01 09:45:00,6743.173557744895,7017.416102569582,0.0,0.0
2025-01-01 10:00:00,6743.177760444391,7024.119876157931,0.0,0.0
2025-01-01 10:15:00,6743.182525598489,7030.5152186304185,0.0,0.0
2025-01-01 10:30:00,6743.187398917708,7036.720640950842,0.0,0.0
2025-01-01 10:45:00,6743.192272993266,7042.338076885326,0.0,0.0
2025-01-01 11:00:00,6743.197084418513,7041.781286919101,0.0,0.0
2025-01-01 11:15:00,6743.2007323158805,7041.2104561874,0.0,0.0
2025-01-01 11:30:00,6743.2038993246,7040.627234681802,0.0,0.0
2025-01-01 11:45:00,6743.206696663093,7040.032262442205,0.0,0.0
2025-01-01 12:00:00,6743.209137272185,7040.775192224415,0.0,0.0
2025-01-01 12:15:00,6743.211238797575,7041.51076031965,0.0,0.0
2025-01-01 12:30:00,6743.213047933235,7042.238531799644,0.0,0.0
2025-01-01 12:45:00,6743.214616529735,7042.957965895523,0.0,0.0
2025-01-01 13:00:00,6743.215973161237,7047.182300409442,0.0,0.0
2025-01-01 13:15:00,6743.217366368895,7051.6844824698765,0.0,0.0
2025-01-01 13:30:00,6743.218637106096,7056.488049128163,0.0,0.0
2025-01-01 13:45:00,6743.219768971938,7061.612899478604,0.0,0.0
2025-01-01 14:00:00,6743.220756617063,7067.407946890743,0.0,0.0
2025-01-01 14:15:00,6743.221392761549,7073.712049544565,0.0,0.0
2025-01-01 14:30:00,6743.221828310684,7080.5829509165815,0.0,0.0
2025-01-01 14:45:00,6743.222102499262,7088.0923652342335,0.0,0.0
2025-01-01 15:00:00,6743.222232201539,7085.474440320162,0.0,0.0
2025-01-01 15:15:00,6743.222039004852,7082.924191061628,0.0,0.0
2025-01-01 15:30:00,6743.221637710134,7080.439905990533,0.0,0.0
2025-01-01 15:45:00,6743.221064733409,7078.019234020695,0.0,0.0
2025-01-01 16:00:00,6743.220314614683,7073.388435923485,0.0,0.0
2025-01-01 16:15:00,6743.21900176251,7068.857044884357,0.0,0.0
2025-01-01 16:30:00,6743.217382190653,7064.439470672825,0.0,0.0
2025-01-01 16:45:00,6743.215524312326,7060.147110937094,0.0,0.0
2025-01-01 17:00:00,6743.213435744715,7057.391659939461,0.0,0.0
2025-01-01 17:15:00,6743.211509772537,7054.747471247527,0.0,0.0
2025-01-01 17:30:00,6743.209381593627,7052.208215240541,0.0,0.0
2025-01-01 17:45:00,6743.207029879784,7049.768630140481,0.0,0.0
2025-01-01 18:00:00,6743.204592397581,7051.115880101443,0.0,0.0
2025-01-01 18:15:00,6743.201624044418,7051.880966992263,0.0,0.0
2025-01-01 18:30:00,6743.198619026127,7052.0700389501735,0.0,0.0
2025-01-01 18:45:00,6743.195707598469,7051.70367588926,0.0,0.0
2025-01-01 19:00:00,6743.192936005172,7048.356599414385,0.0,0.0
2025-01-01 19:15:00,6743.190606355485,7045.154787762076,0.0,0.0
2025-01-01 19:30:00,6743.188501497398,7042.089141334379,0.0,0.0
2025-01-01 19:45:00,6743.186566697589,7039.155074300544,0.0,0.0
2025-01-01 20:00:00,6743.18477733516,7032.21740950498,0.0,0.0
2025-01-01 20:15:00,6743.182854783408,7026.130826962134,0.0,0.0
2025-01-01 20:30:00,6743.180982766082,7020.766966503492,0.0,0.0
2025-01-01 20:45:00,6743.179189241184,7015.880847946699,0.0,0.0
2025-01-01 21:00:00,6743.177475013473,7015.502824767704,0.0,0.0
2025-01-01 21:15:00,6743.175892599941,7014.928029040906,0.0,0.0
2025-01-01 21:30:00,6743.174397619412,7014.174136069284,0.0,0.0
2025-01-01 21:45:00,6743.172962607289,7013.260476688153,0.0,0.0
2025-01-01 22:00:00,6743.171572477359,7012.473685520361,0.0,0.0
2025-01-01 22:15:00,6743.170394401512,7011.642557566542,0.0,0.0
2025-01-01 22:30:00,6743.169297508639,7010.772516173553,0.0,0.0
2025-01-01 22:45:00,6743.168254140442,7009.869718834741,0.0,0.0
2025-01-01 23:00:00,6743.167255127558,7008.371613751082,0.0,0.0
2025-01-01 23:15:00,6743.1667922693405,7006.875008221855,0.0,0.0
2025-01-01 23:30:00,6743.166498043345,7005.383431285313,0.0,0.0
2025-01-01 23:45:00,6743.166298458793,7003.900643597463,0.0,0.0
2025-01-02 00:00:00,6743.166158361416,7001.487552544918,0.0,0.0
2025-01-02 00:15:00,6743.165075348292,6999.086923560436,0.0,0.0
2025-01-02 00:30:00,6743.163764104171,6996.74102280165,0.0,0.0
2025-01-02 00:45:00,6743.162378306455,6994.478885289064,0.0,0.0
2025-01-02 01:00:00,6743.160958281635,6996.457510867178,0.0,0.0
2025-01-02 01:15:00,6743.160588298147,6998.65207030735,0.0,0.0
2025-01-02 01:30:00,6743.160502610758,7001.094389255017,0.0,0.0
2025-01-02 01:45:00,6743.160521808678,7003.821090641432,0.0,0.0
2025-01-02 02:00:00,6743.160595878111,7002.702049082486,0.0,0.0
2025-01-02 02:15:00,6743.16054079115,7001.605672672466,0.0,0.0
2025-01-02 02:30:00,6743.160463026235,7000.532772328513,0.0,0.0
2025-01-02 02:45:00,6743.16038786019,6999.483384872326,0.0,0.0
2025-01-02 03:00:00,6743.160320552066,6996.143380395373,0.0,0.0
2025-01-02 03:15:00,6743.159445655278,6993.221188799984,0.0,0.0
2025-01-02 03:30:00,6743.158354337958,6990.655338933865,0.0,0.0
2025-01-02 03:45:00,6743.157188332161,6988.392908258727,0.0,0.0
2025-01-02 04:00:00,6743.15598855256,6990.480646144105,0.0,0.0
2025-01-02 04:15:00,6743.155750600133,6992.883102169167,0.0,0.0
2025-01-02 04:30:00,6743.155778388684,6995.66514496659,0.0,0.0
2025-01-02 04:45:00,6743.155901484529,6998.908162781338,0.0,0.0
2025-01-02 05:00:00,6743.156071087393,6997.941316605263,0.0,0.0
2025-01-02 05:15:00,6743.156105371345,6996.994312345042,0.0,0.0
2025-01-02 05:30:00,6743.156118764318,6996.06639512773,0.0,0.0
2025-01-02 05:45:00,6743.156135912069,6995.158152470418,0.0,0.0
2025-01-02 06:00:00,6743.156162503243,6994.06453515844,0.0,0.0
2025-01-02 06:15:00,6743.155675521886,6992.993374288684,0.0,0.0
2025-01-02 06:30:00,6743.1550602087045,6991.948017480881,0.0,0.0
2025-01-02 06:45:00,6743.154403816107,6990.929549066708,0.0,0.0
2025-01-02 07:00:00,6743.1537293354295,6990.161542368565,0.0,0.0
2025-01-02 07:15:00,6743.153157213149,6989.413875453381,0.0,0.0
2025-01-02 07:30:00,6743.152586456104,6988.686405859569,0.0,0.0
2025-01-02 07:45:00,6743.151991370206,6987.979100557235,0.0,0.0
2025-01-02 08:00:00,6743.151434719361,6992.110339578605,0.0,0.0
2025-01-02 08:15:00,6743.15267494703,6997.17580512099,0.0,0.0
2025-01-02 08:30:00,6743.154768202072,7003.40050798858,0.0,0.0
2025-01-02 08:45:00,6743.157643737293,7011.057521611497,0.0,0.0
2025-01-02 09:00:00,6743.161256969191,7016.445239901188,0.0,0.0
2025-01-02 09:15:00,6743.164869641707,7022.642100243439,0.0,0.0
2025-01-02 09:30:00,6743.168835719941,7029.793195740583,0.0,0.0
2025-01-02 09:45:00,6743.173111913212,7038.070245567663,0.0,0.0
2025-01-02 10:00:00,6743.177557704495,7059.144013157059,0.0,0.0
2025-01-02 10:15:00,6743.183000285818,7086.748903036864,0.0,0.0
