timestamp,outdoor_temp_c,outdoor_wetbulb_c,zone_temp_c
2025-01-01 00:00:00,-1.6749999999999998,-4.305965422776245,24.57877346949788
2025-01-01 00:15:00,-1.0499999999999998,-3.881403890573511,24.578649357693138
2025-01-01 00:30:00,-0.4249999999999999,-3.466934812000152,24.578629061706945
2025-01-01 00:45:00,0.2,-3.0682753811691788,24.57864512247066
2025-01-01 01:00:00,-0.35,-3.520680746888573,24.578551832127665
2025-01-01 01:15:00,-0.9,-3.979660526116951,24.57843409351444
2025-01-01 01:30:00,-1.45,-4.439857240224712,24.578312569741325
2025-01-01 01:45:00,-2.0,-4.901308352630715,24.57818872924664
2025-01-01 02:00:00,-1.725,-4.574987857970416,24.578147632656663
2025-01-01 02:15:00,-1.45,-4.246997299697888,24.57812953115428
2025-01-01 02:30:00,-1.175,-3.91732709554092,24.57811625662131
2025-01-01 02:45:00,-0.9,-3.5859698327757843,24.578103162269755
2025-01-01 03:00:00,-1.675,-4.162057792456701,24.577976023898294
2025-01-01 03:15:00,-2.45,-4.7481530667992455,24.577812728925974
2025-01-01 03:30:00,-3.225,-5.3439595174104175,24.57763591648528
2025-01-01 03:45:00,-4.0,-5.949185700355263,24.5774487133674
2025-01-01 04:00:00,-4.5,-6.334428508062052,24.57727969108557
2025-01-01 04:15:00,-5.0,-6.724142704869528,24.57710721046673
2025-01-01 04:30:00,-5.5,-7.118230586023184,24.576924798276345
2025-01-01 04:45:00,-6.0,-7.516590193065928,24.57673177379179
2025-01-01 05:00:00,-5.325,-6.875994059389095,24.576661694633525
2025-01-01 05:15:00,-4.65,-6.234799198258547,24.576637033138866
2025-01-01 05:30:00,-3.975,-5.592924419375036,24.57663622631573
2025-01-01 05:45:00,-3.3,-4.950285365968624,24.57665458742645
2025-01-01 06:00:00,-3.975,-5.520997977004313,24.57654337665288
2025-01-01 06:15:00,-4.65,-6.096167502988902,24.576402265133368
2025-01-01 06:30:00,-5.325,-6.67570452403946,24.57625518525532
2025-01-01 06:45:00,-6.0,-7.259517110878881,24.576100661887608
2025-01-01 07:00:00,-5.75,-7.082742491482042,24.57604166456411
2025-01-01 07:15:00,-5.5,-6.907870035350197,24.576011664956752
2025-01-01 07:30:00,-5.25,-6.734929851842308,24.5760143142885
2025-01-01 07:45:00,-5.0,-6.563954777543042,24.57609488225789
2025-01-01 08:00:00,-4.55,-6.266382947792877,24.57634215734929
2025-01-01 08:15:00,-4.1,-5.97507349933822,24.5767997062078
2025-01-01 08:30:00,-3.65,-5.690204566182761,24.577476085746163
2025-01-01 08:45:00,-3.2,-5.41195863815624,24.57835199722773
2025-01-01 09:00:00,-2.6500000000000004,-4.939873314707734,24.579409793734083
2025-01-01 09:15:00,-2.1,-4.469166450407209,24.580591896047448
2025-01-01 09:30:00,-1.55,-3.999801593426264,24.58183575559557
2025-01-01 09:45:00,-1.0,-3.5317310526608625,24.583090320581256
2025-01-01 10:00:00,0.0,-3.08769660350059,24.58438285894511
2025-01-01 10:15:00,1.0,-2.7270279438541984,24.585678062864687
2025-01-01 10:30:00,2.0,-2.422483099427063,24.58695485433233
2025-01-01 10:45:00,3.0,-2.177855764016765,24.58819475288389
2025-01-01 11:00:00,3.1,-2.2017819464690054,24.58927098737838
2025-01-01 11:15:00,3.2,-2.2264134251676966,24.590220911917232
2025-01-01 11:30:00,3.3,-2.2517620468903323,24.591048708968817
2025-01-01 11:45:00,3.4,-2.277835815605229,24.59176006591535
2025-01-01 12:00:00,3.5,-2.2463276392762888,24.59237023970001
2025-01-01 12:15:00,3.6,-2.2155140473275194,24.59289733125465
2025-01-01 12:30:00,3.7,-2.185399321374388,24.59335098213785
2025-01-01 12:45:00,3.8,-2.15599104938034,24.593736824995496
2025-01-01 13:00:00,4.1,-1.9895939954514896,24.594079869441394
2025-01-01 13:15:00,4.4,-1.825160472429272,24.594374694401377
2025-01-01 13:30:00,4.7,-1.6627075296521543,24.594619653911344
2025-01-01 13:45:00,5.0,-1.502245147004834,24.594813150637822
2025-01-01 14:00:00,5.125,-1.3348385227274877,24.59493662548821
2025-01-01 14:15:00,5.25,-1.167392264944446,24.59500343209482
2025-01-01 14:30:00,5.375,-0.9999031027081092,24.595019414782247
2025-01-01 14:45:00,5.5,-0.8323723048823396,24.594983382695023
2025-01-01 15:00:00,5.475,-0.8890998931630271,24.594875723669592
2025-01-01 15:15:00,5.45,-0.9460406963572672,24.59470885621728
2025-01-01 15:30:00,5.425000000000001,-1.003194094393817,24.59448070427605
2025-01-01 15:45:00,5.4,-1.0605701807249053,24.59417822681684
2025-01-01 16:00:00,5.075000000000001,-1.1754404183754723,24.59376939263412
2025-01-01 16:15:00,4.75,-1.2947212130481196,24.59327751250756
2025-01-01 16:30:00,4.425,-1.418337014567807,24.59270505930162
2025-01-01 16:45:00,4.1,-1.5462087457318896,24.592047406846635
2025-01-01 17:00:00,4.125,-1.6325801145966383,24.591320227919844
2025-01-01 17:15:00,4.15,-1.718985702390764,24.59051683473461
2025-01-01 17:30:00,4.175000000000001,-1.805419871438024,24.589685863181995
2025-01-01 17:45:00,4.2,-1.89188600457711,24.58887358757055
2025-01-01 18:00:00,3.725000000000001,-1.843072063541917,24.588046213696504
2025-01-01 18:15:00,3.25,-1.8156070144468277,24.58724814669308
2025-01-01 18:30:00,2.775,-1.8085215586914325,24.58649544634453
2025-01-01 18:45:00,2.3,-1.8209124936387664,24.585792196515367
2025-01-01 19:00:00,2.075,-1.941526254650653,24.58516609670188
2025-01-01 19:15:00,1.85,-2.06366646162204,24.584598667170148
2025-01-01 19:30:00,1.6249999999999998,-2.1873197224501584,24.584081396603604
2025-01-01 19:45:00,1.4,-2.312471937374435,24.583608815829823
2025-01-01 20:00:00,0.9499999999999998,-2.639438750818793,24.5831552731482
2025-01-01 20:15:00,0.4999999999999999,-2.968974771670833,24.582730052451737
2025-01-01 20:30:00,0.0499999999999999,-3.3010786131505685,24.58233329673528
2025-01-01 20:45:00,-0.4,-3.646451577930317,24.58196298279592
2025-01-01 21:00:00,-0.8,-3.6748026554988487,24.5816203405568
2025-01-01 21:15:00,-1.2,-3.718731686673952,24.581295859893626
2025-01-01 21:30:00,-1.6,-3.777600797181676,24.580984651976088
2025-01-01 21:45:00,-2.0,-3.8508056340712655,24.580684077059782
2025-01-01 22:00:00,-2.25,-3.915447343492153,24.580410453485392
2025-01-01 22:15:00,-2.5,-3.985491654245087,24.580154245665536
2025-01-01 22:30:00,-2.75,-4.060807646074898,24.57991249394898
2025-01-01 22:45:00,-3.0,-4.141268877493338,24.57968380229575
2025-01-01 23:00:00,-2.825,-4.28020917412564,24.57951555564342
2025-01-01 23:15:00,-2.65,-4.426230229513428,24.579382858336626
2025-01-01 23:30:00,-2.475,-4.57952737962259,24.57927369767641
2025-01-01 23:45:00,-2.3,-4.740306713136812,24.57918419189
2025-01-02 00:00:00,-2.975,-5.021923101069805,24.5790158132724
2025-01-02 00:15:00,-3.65,-5.329992680756028,24.57882090458132
2025-01-02 00:30:00,-4.325,-5.663114133622906,24.57861312645372
2025-01-02 00:45:00,-5.0,-6.019998646234532,24.57839484744206
2025-01-02 01:00:00,-4.75,-5.704995796777244,24.57827138791002
2025-01-02 01:15:00,-4.5,-5.387925599244042,24.578181739293484
2025-01-02 01:30:00,-4.25,-5.068783593834577,24.57810900217459
2025-01-02 01:45:00,-4.0,-4.747558531656521,24.57804980308809
2025-01-02 02:00:00,-3.9,-4.8753599576461575,24.57798526341652
2025-01-02 02:15:00,-3.8,-5.00592827528169,24.57792412428524
2025-01-02 02:30:00,-3.7,-5.139312865968584,24.5778680980389
2025-01-02 02:45:00,-3.6,-5.275559281186391,24.577817268238004
2025-01-02 03:00:00,-4.2,-5.7527014150485005,24.577693846536047
2025-01-02 03:15:00,-4.8,-6.235392398943031,24.57754592256549
2025-01-02 03:30:00,-5.4,-6.723482078676891,24.577387268137542
2025-01-02 03:45:00,-6.0,-7.216839099732574,24.57722038393703
2025-01-02 04:00:00,-5.75,-6.758451935588589,24.577140761068865
2025-01-02 04:15:00,-5.5,-6.294699773197312,24.577090144275942
2025-01-02 04:30:00,-5.25,-5.82566510682662,24.577052121099086
2025-01-02 04:45:00,-5.0,-5.3514367091100965,24.577023468336915
2025-01-02 05:00:00,-4.9,-5.485723480697669,24.5769901856406
2025-01-02 05:15:00,-4.8,-5.622972437865568,24.57696069886248
2025-01-02 05:30:00,-4.699999999999999,-5.763226907156058,24.57693689914497
2025-01-02 05:45:00,-4.6,-5.906543935779584,24.576919589263877
2025-01-02 06:00:00,-4.949999999999999,-6.087626033980628,24.576858293704294
2025-01-02 06:15:00,-5.3,-6.27473541900543,24.57678244195548
2025-01-02 06:30:00,-5.65,-6.467706704522143,24.576699994110516
2025-01-02 06:45:00,-6.0,-6.6663976925670925,24.576612015606344
2025-01-02 07:00:00,-6.25,-6.823855033105911,24.57652417999944
2025-01-02 07:15:00,-6.5,-6.984051444911241,24.576427683802965
2025-01-02 07:30:00,-6.75,-7.146939601225457,24.57634488705
2025-01-02 07:45:00,-7.0,-7.312464179749559,24.576320088792315
2025-01-02 08:00:00,-5.85,-6.435816141151622,24.57658790569967
2025-01-02 08:15:00,-4.7,-5.595316557003796,24.577125600484635
2025-01-02 08:30:00,-3.55,-4.793573041147615,24.577918061572483
2025-01-02 08:45:00,-2.4,-4.0333611998942525,24.57893181431137
2025-01-02 09:00:00,-1.7999999999999998,-3.600484526235939,24.580067755775584
2025-01-02 09:15:00,-1.2,-3.176897001753303,24.5813098919604
2025-01-02 09:30:00,-0.6,-2.762892273006069,24.582609191041804
2025-01-02 09:45:00,0.0,-2.358778406301561,24.583918993161504
2025-01-02 10:00:00,1.425,-1.572181265542466,24.58530785783246
2025-01-02 10:15:00,2.85,-0.8566622646214943,24.58671051668172
2025-01-02 10:30:00,4.275,0.0818299840984356,24.58809529649529
