timestamp,step,controller,Q_load_kw_th,P_nonplant_kw,P_pv_kw,T_wb_C,price_cny_per_kwh,cp_flag,Q_chiller_kw_th,Q_tes_net_kw_th,P_plant_kw,P_grid_pos_kw,P_spill_kw,d_peak_kw,peak_slack_kw,soc,soc_next,u_signed,signed_du,mode_index,solver_status,solver_time_s,mode_integrality,strict_success,fallback_reason,mode_fractionality_max,solver_message,plant_tracking_error_kw_th
2025-07-01 03:15:00,13,paper_like_mpc_tes,2104.4552603956135,18000.0,0.0,24.73838748307943,0.093,0,0.0,-2104.4552603956135,0.0,18000.0,0.0,18950.9328,0.0,0.1948660458605765,0.1655400675543738,-0.46765672453235857,0.0024046241357046916,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 03:30:00,14,paper_like_mpc_tes,2093.8723028873123,18000.0,0.0,24.477895231119792,0.093,0,6593.872302887312,4500.0,920.8279101638013,18920.8279101638,0.0,18950.9328,0.0,0.1655400675543738,0.22795729752059662,1.0,1.4676567245323586,0,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 03:45:00,15,paper_like_mpc_tes,2083.5725143301565,18000.0,0.0,24.219638711935488,0.093,0,0.0,-2083.5725143301565,0.0,18000.0,0.0,18950.9328,0.0,0.22795729752059662,0.19890481172836194,-0.46301611429559036,-1.4630161142955904,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 04:00:00,16,paper_like_mpc_tes,2073.6,18000.0,0.0,23.964723819589917,0.093,0,0.0,-2073.6,0.0,18000.0,0.0,18950.9328,0.0,0.19890481172836194,0.17000535932249777,-0.4608,0.0022161142955903768,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 04:15:00,17,paper_like_mpc_tes,2063.997463734213,18000.0,0.0,23.714242138787352,0.093,0,6563.997463734213,4500.0,917.0636804305109,18917.06368043051,0.0,18950.9328,0.0,0.17000535932249777,0.23242035664283653,1.0,1.4607999999999999,0,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 04:30:00,18,paper_like_mpc_tes,2054.806025067293,18000.0,0.0,23.46926627053964,0.093,0,0.0,-2054.806025067293,0.0,18000.0,0.0,18950.9328,0.0,0.23242035664283653,0.20376517389413606,-0.4566235611260651,-1.4566235611260652,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 04:45:00,19,paper_like_mpc_tes,2046.065043150708,18000.0,0.0,23.230845239123994,0.093,0,0.0,-2046.065043150708,0.0,18000.0,0.0,18950.9328,0.0,0.20376517389413606,0.17524572126342916,-0.45468112070015737,0.0019424404259077432,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 05:00:00,20,paper_like_mpc_tes,2037.8119482109646,18000.0,40.8,23.0,0.093,0,6537.811948210965,4500.0,913.7643054745816,18872.964305474583,0.0,18950.9328,0.0,0.17524572126342916,0.23765809840279745,1.0,1.4546811207001573,0,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 05:15:00,21,paper_like_mpc_tes,2030.082081267633,18000.0,40.8,22.77771906792159,0.093,0,0.0,-2030.082081267633,0.0,17959.2,0.0,18950.9328,0.0,0.23765809840279745,0.20934368489154562,-0.4511293513928073,-1.4511293513928072,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 05:30:00,22,paper_like_mpc_tes,2022.9085427976745,18000.0,40.8,22.564954283965115,0.093,0,0.0,-2022.9085427976745,0.0,17959.2,0.0,18950.9328,0.0,0.20934368489154562,0.1811430610657988,-0.44953523173281656,0.0015941196599907337,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 05:45:00,23,paper_like_mpc_tes,2016.3220509941202,18000.0,40.8,22.362616739599723,0.093,0,0.0,-2016.3220509941202,0.0,17959.2,0.0,18950.9328,0.0,0.1811430610657988,0.15304801660479203,-0.44807156688758226,0.0014636648452343026,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 06:00:00,24,paper_like_mpc_tes,2010.350810226049,18000.0,247.38,22.17157287525381,0.093,0,6510.350810226049,4500.0,910.3042020884823,18662.92420208848,0.0,18950.9328,0.0,0.15304801660479203,0.21547149259648965,1.0,1.4480715668875823,0,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 06:15:00,25,paper_like_mpc_tes,2005.0203902631515,18000.0,247.38,21.99264077008409,0.093,0,0.0,-2005.0203902631515,0.0,17752.62,0.0,18950.9328,0.0,0.21547149259648965,0.18751625142986986,-0.4455600867251448,-1.4455600867251448,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 06:30:00,26,paper_like_mpc_tes,2000.3536167820496,18000.0,247.38,21.82658663883506,0.093,0,0.0,-2000.3536167820496,0.0,17752.62,0.0,18950.9328,0.0,0.18751625142986986,0.15963980418218204,-0.44452302595156656,0.0010370607735782356,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 06:45:00,27,paper_like_mpc_tes,1996.3704736232457,18000.0,247.38,21.67412155078982,0.093,0,6496.370473623246,4500.0,908.542679676529,18661.162679676527,0.0,18950.9328,0.0,0.15963980418218204,0.22205998428009094,1.0,1.4445230259515665,0,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 07:00:00,28,paper_like_mpc_tes,1993.088017217249,18000.0,761.76,21.535898384862247,0.093,0,0.0,-1993.088017217249,0.0,17238.24,0.0,18950.9328,0.0,0.22205998428009094,0.19426717627104467,-0.4429084482704998,-1.4429084482705,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
2025-07-01 07:15:00,29,paper_like_mpc_tes,1990.5203035463219,18000.0,761.76,21.412509033869245,0.093,0,0.0,-1990.5203035463219,0.0,17238.24,0.0,18950.9328,0.0,0.19426717627104467,0.16652392735587693,-0.44233784523251596,0.0005706030379838412,-1,optimal,0.17066679999697953,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
