case_id,controller,steps,cost_total,whole_facility_energy_cost,plant_energy_cost,grid_import_kwh,plant_energy_kwh,pv_used_kwh,pv_spill_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_kwh,soc_initial,soc_target,soc_final,terminal_soc_abs_error,soc_delta,soc_min,soc_max,soc_violation_count,TES_charge_kwh_th,TES_discharge_kwh_th,TES_charge_weighted_avg_price,TES_discharge_weighted_avg_price,TES_arbitrage_spread,solver_time_avg_s,solver_time_p95_s,solver_status,mode_integrality,strict_success,fallback_reason,mode_fractionality_max,solver_message,max_signed_du,signed_valve_violation_count,grid_balance_violation_count
direct_no_tes,direct_no_tes,96,19344.56882668093,19344.56882668093,393.14735668092897,435605.93999999994,8691.84,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.00010649999603629112,0.00010649999603629112,direct_no_tes,fixed,True,,0.0,,0.0,0,0
mpc_no_tes,mpc_no_tes,96,19344.56882668093,19344.56882668093,393.14735668092897,435605.93999999994,8691.84,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.014367499999934807,0.014367499999934807,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0
storage_priority_tes,storage_priority_tes,96,19219.318217597436,19219.318217597436,267.8967475974368,436151.91888267023,9237.818882670234,5085.9,0.0,18940.0464,0.0,0.0,0.5,0.5,0.8495752123978183,0.3495752123978183,0.3495752123978183,0.5,0.849594530547207,0,15243.0244701359,8231.287306086435,0.028999999999999995,0.13170915273016962,0.10270915273016962,0.0002823999966494739,0.0002823999966494739,storage_priority,fixed,True,,0.0,,1.0503932033328458,47,0
storage_priority_neutral_tes,storage_priority_neutral_tes,96,19188.838898842045,19188.838898842045,237.41742884204336,435100.90789110493,8186.807891104943,5085.9,0.0,18937.4920898362,0.0,0.0,0.5,0.5,0.5000000000000004,4.440892098500626e-16,4.440892098500626e-16,0.4607854827588313,0.7465744445514622,0,13875.379968740843,13419.285594892084,0.029000000000000005,0.09200100993517436,0.06300100993517435,0.0002725000085774809,0.0002725000085774809,storage_priority_neutral,fixed,True,,0.0,,1.3446854139750313,52,0
paper_like_mpc_tes,paper_like_mpc_tes,96,19162.45679351464,19162.45679351464,211.03532351464037,434191.1801211945,7277.0801211944945,5085.9,0.0,18950.88618276389,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.14999999999999997,0.5,0,34675.756990163485,34475.43856798495,0.028999999999999995,0.053522633509638116,0.024522633509638122,0.18013339999015443,0.18013339999015443,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.5184000000000002,55,0
