metric,formula,value
MPC_value,cost(direct_no_tes) - cost(mpc_no_tes),0.0
TES_value,cost(mpc_no_tes) - cost(paper_like_mpc_tes),182.11203316628962
RBC_gap_non_neutral,cost(storage_priority_tes) - cost(paper_like_mpc_tes),56.861424082795565
RBC_gap_neutral,cost(storage_priority_neutral_tes) - cost(paper_like_mpc_tes),26.382105327404133
