timestamp,step,controller,Q_load_kw_th,P_nonplant_kw,P_pv_kw,T_wb_C,price_cny_per_kwh,cp_flag,Q_chiller_kw_th,Q_tes_net_kw_th,P_plant_kw,P_grid_pos_kw,P_spill_kw,d_peak_kw,peak_slack_kw,soc,soc_next,u_signed,signed_du,mode_index,solver_status,solver_time_s
2025-07-01 00:00:00,0,mpc_no_tes,2246.4,18000.0,0.0,27.828427124746188,0.029,0,2246.4,0.0,373.0464,18373.0464,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 00:15:00,1,mpc_no_tes,2236.4274856698435,18000.0,0.0,27.637383260400277,0.029,0,2236.4274856698435,0.0,371.78986319440025,18371.7898631944,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 00:30:00,2,mpc_no_tes,2226.127697112687,18000.0,0.0,27.43504571603488,0.029,0,2226.127697112687,0.0,370.4920898361986,18370.4920898362,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 00:45:00,3,mpc_no_tes,2215.5447396043865,18000.0,0.0,27.22228093207841,0.029,0,2215.5447396043865,0.0,369.1586371901527,18369.158637190154,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 01:00:00,4,mpc_no_tes,2204.7239309937154,18000.0,0.0,27.0,0.029,0,2204.7239309937154,0.0,367.79521530520816,18367.795215305207,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 01:15:00,5,mpc_no_tes,2193.7116076443867,18000.0,0.0,26.769154760876006,0.029,0,2193.7116076443867,0.0,366.40766256319273,18366.407662563193,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 01:30:00,6,mpc_no_tes,2182.554926015625,18000.0,0.0,26.53073372946036,0.029,0,2182.554926015625,0.0,365.00192067796877,18365.00192067797,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 01:45:00,7,mpc_no_tes,2171.3016607309687,18000.0,0.0,26.285757861212645,0.029,0,2171.3016607309687,0.0,363.5840092521021,18363.584009252103,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 02:00:00,8,mpc_no_tes,2160.0,18000.0,0.0,26.035276180410083,0.029,0,2160.0,0.0,362.16,18362.16,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
2025-07-01 02:15:00,9,mpc_no_tes,2148.6983392690313,18000.0,0.0,25.780361288064512,0.029,0,2148.6983392690313,0.0,360.735990747898,18360.735990747897,0.0,18383.9328,0.0,0.5,0.5,0.0,0.0,0,optimal,0.009973000007448718
