step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
501,501,2024-01-06 05:15:00,1.0,6.405587473046362,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.4068073044318545,25.22587719235833,8.45,5.7414900746143305,2055.1776281242855,6834.830741314634,10306.18880631287,10306.18880631287,0.0,10306.18880631287,74.71986884576832,0.029,0.0
502,502,2024-01-06 05:30:00,1.0,6.406400702546335,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.407620474893221,25.225792775979684,8.175,5.540369119868616,2055.1552033071703,6834.7561639023015,10306.15443323453,10306.154433234531,0.0,10306.15443323453,74.71961964095034,0.029,0.0
503,503,2024-01-06 05:45:00,1.0,6.4072138925874125,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.408433606816995,25.225720128718216,7.9,5.3380272691484265,2055.13440491023,6834.686995417383,10306.121392557825,10306.121392557827,0.0,10306.121392557825,74.71938009604423,0.029,0.0
504,504,2024-01-06 06:00:00,1.0,6.408027043785264,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.40924670071335,25.225685307756173,7.925000000000001,5.315659086773746,2055.1281296453503,6834.666125993387,10306.11153721002,10306.111537210021,0.0,10306.11153721002,74.71930864477264,0.029,0.0
505,505,2024-01-06 06:15:00,1.0,6.408840156674532,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.410059758218367,25.225661145296375,7.95,5.293024537958165,2055.1266063262865,6834.661059945653,10306.108197659594,10306.108197659596,0.0,10306.108197659594,74.71928443303206,0.029,0.0
506,506,2024-01-06 06:30:00,1.0,6.409653232380292,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.41087277979414,25.22563845973997,7.975,5.270136975849743,2055.1264137598278,6834.660419534266,10306.106578562185,10306.106578562187,0.0,10306.106578562185,74.71927269457585,0.029,0.0
507,507,2024-01-06 06:45:00,1.0,6.410466271914775,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.411685765506,25.225615208788362,8.0,5.246985183637235,2055.126422889903,6834.660449897832,10306.10525155573,10306.10525155573,0.0,10306.10525155573,74.71926307377905,0.029,0.0
508,508,2024-01-06 07:00:00,1.0,6.411279275593301,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.41249871533104,25.22558863130796,8.0,5.352482852732601,2055.125191552803,6834.656354884071,10306.107842053372,10306.107842053372,55.26,10250.847842053372,74.31864685488695,0.029,0.0
509,509,2024-01-06 07:15:00,1.0,6.412092243340837,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.413311629127037,25.225559868454337,8.0,5.457636591353381,2055.1236006174195,6834.651063967162,10306.110279303824,10306.110279303824,0.0,10306.110279303824,74.71929952495273,0.029,0.0
510,510,2024-01-06 07:30:00,1.0,6.412905175171327,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.414124506801084,25.225540682643924,8.0,5.5624572497375055,2055.121818216234,6834.645136299281,10306.114104104565,10306.114104104568,0.0,10306.114104104565,74.7193272547581,0.029,0.0
